seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,vehicle_total,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,no_vehicle_failures,wait_limit_failures,non_capacity_failures,competition_event,collapse_event
49,P0_no_policy,fleet_6,W0,normal,workday,50,58,56,0.965517,36,35,0.972222,0,0,0,104,104,0,1.0,2,64,32,6,0.019231,0.615385,0.307692,0.057692,7,6,1,1,1,1,1,0,2,2,0,1,7.704,7.471,14,0.4375,27.079,9.757,64.32,4.524,56,0.965517,37,2,0.054054,24,0.421053,726.706,64,17,81,6,732.706,0.680054,17.414,47,57,6,6,0,"{""Z1"": 1, ""Z2"": 0, ""Z3"": 2, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 1, ""Z8"": 0, ""Z9"": 1}",True,True,0,0,58,0,0,2149.709,0.0,0.0,0.0,0.0,0.0,0.0,810.659,6,11.220143,20.0,1,0,0,True,False
49,P0_no_policy,fleet_6,W2,heavy_rain,workday,50,58,53,0.913793,36,34,0.944444,2,0,0,101,101,0,1.0,1,48,43,9,0.009901,0.475248,0.425743,0.089109,15,9,6,6,6,6,6,0,4,3,0,2,8.651,8.791,24,0.55814,31.375,11.834,68.11,6.988,52,0.928571,26,4,0.153846,34,0.596491,714.706,48,31,79,9,723.706,0.747442,16.075,44,57,6,6,0,"{""Z1"": 0, ""Z2"": 0, ""Z3"": 2, ""Z4"": 1, ""Z5"": 0, ""Z6"": 0, ""Z7"": 1, ""Z8"": 0, ""Z9"": 2}",True,True,47,0,56,0,0,2352.83,0.0,0.0,0.0,0.0,0.0,1450.866113,1019.802,6,15.100267,22.0,5,1,0,True,False
50,P0_no_policy,fleet_16,W0,normal,workday,50,60,58,0.966667,35,34,0.971429,0,0,0,106,106,0,1.0,1,54,44,7,0.009434,0.509434,0.415094,0.066038,7,7,0,0,0,0,0,0,1,2,0,1,7.187,8.829,23,0.522727,28.443,9.048,63.589,5.045,59,0.983333,27,0,0.0,35,0.555556,706.941,54,28,82,7,713.941,0.690307,17.712,43,63,16,16,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,60,0,0,2256.495,0.0,0.0,0.0,0.0,0.0,0.0,839.882,16,9.047714,10.667,0,0,0,False,False
50,P0_no_policy,fleet_16,W2,heavy_rain,workday,50,60,56,0.933333,35,34,0.971429,3,0,0,97,97,0,1.0,1,33,53,10,0.010309,0.340206,0.546392,0.103093,10,10,0,0,0,0,0,0,1,1,0,1,7.705,9.169,31,0.584906,31.09,9.667,64.858,6.611,53,0.981481,14,0,0.0,42,0.736842,718.941,33,40,73,10,728.941,0.741145,17.158,40,57,16,16,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,40,3,54,0,0,2204.506,0.0,0.0,0.0,0.0,0.0,1304.681668,836.893,16,9.6667,13.333,0,0,0,False,False
50,P0_no_policy,fleet_12,W0,normal,workday,50,60,58,0.966667,35,34,0.971429,0,0,0,106,106,0,1.0,1,54,44,7,0.009434,0.509434,0.415094,0.066038,7,7,0,0,0,0,0,0,1,2,0,1,7.187,8.829,23,0.522727,28.443,9.048,63.589,5.045,59,0.983333,27,0,0.0,35,0.555556,706.941,54,28,82,7,713.941,0.690307,17.712,43,63,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,60,0,0,2256.495,0.0,0.0,0.0,0.0,0.0,0.0,839.882,12,9.047714,10.667,0,0,0,False,False
50,P0_no_policy,fleet_12,W2,heavy_rain,workday,50,60,56,0.933333,35,34,0.971429,3,0,0,97,97,0,1.0,1,33,53,10,0.010309,0.340206,0.546392,0.103093,10,10,0,0,0,0,0,0,1,1,0,1,7.705,9.169,31,0.584906,31.09,9.667,64.858,6.611,53,0.981481,14,0,0.0,42,0.736842,718.941,33,40,73,10,728.941,0.741145,17.158,40,57,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,40,3,54,0,0,2204.506,0.0,0.0,0.0,0.0,0.0,1304.681668,836.893,12,9.6667,13.333,0,0,0,False,False
50,P0_no_policy,fleet_10,W0,normal,workday,50,60,58,0.966667,35,34,0.971429,0,0,0,106,106,0,1.0,1,55,44,6,0.009434,0.518868,0.415094,0.056604,7,6,1,1,1,1,1,0,1,2,0,1,7.342,8.829,23,0.522727,28.443,8.778,64.04,4.833,59,0.983333,27,0,0.0,35,0.555556,706.941,55,28,83,6,712.941,0.690279,17.466,43,63,10,10,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,60,0,0,2293.542,0.0,0.0,0.0,0.0,0.0,0.0,864.929,10,10.381,20.0,1,0,0,True,False
50,P0_no_policy,fleet_10,W2,heavy_rain,workday,50,60,56,0.933333,35,34,0.971429,3,0,0,97,97,0,1.0,1,34,53,9,0.010309,0.350515,0.546392,0.092784,10,9,1,1,1,1,1,0,1,1,0,1,7.941,9.169,31,0.584906,31.09,9.556,65.351,6.379,53,0.981481,14,0,0.0,42,0.736842,718.941,34,40,74,9,727.941,0.741106,16.809,40,57,10,10,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,40,3,54,0,0,2241.553,0.0,0.0,0.0,0.0,0.0,1304.681668,861.94,10,10.6,20.0,1,0,0,True,False
50,P0_no_policy,fleet_8,W0,normal,workday,50,60,57,0.95,35,34,0.971429,0,0,0,106,106,0,1.0,2,55,44,5,0.018868,0.518868,0.415094,0.04717,7,5,2,2,2,2,2,0,2,3,0,1,7.342,8.829,23,0.522727,28.443,8.933,64.695,4.635,58,0.966667,27,0,0.0,35,0.555556,706.941,55,28,83,5,711.941,0.693821,17.208,43,63,8,8,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 0, ""Z9"": 1}",True,True,0,0,60,0,0,2375.13,0.0,0.0,0.0,0.0,0.0,0.0,876.929,8,12.095286,20.0,2,0,0,True,False
50,P0_no_policy,fleet_8,W2,heavy_rain,workday,50,60,54,0.9,35,33,0.942857,3,0,0,97,97,0,1.0,2,35,53,7,0.020619,0.360825,0.546392,0.072165,10,7,3,3,3,3,3,0,3,3,0,2,7.877,9.169,31,0.584906,31.09,9.81,66.579,5.893,51,0.944444,15,1,0.066667,42,0.736842,718.941,35,40,75,7,725.941,0.753243,16.185,40,57,8,8,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 0, ""Z9"": 1}",True,True,40,3,54,0,0,2351.522,0.0,0.0,0.0,0.0,0.0,1333.062668,890.321,8,12.8667,20.0,3,0,0,True,False
