vehicle_total,weather_scenario,metric,mean,std_dev,median,minimum,maximum
10,W0,fallback_succeeded,1.0,1.247219,1.0,0.0,4.0
10,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
10,W0,late_but_reached,1.9,1.595131,2.0,0.0,6.0
10,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
10,W0,mandatory_activity_incomplete,1.7,1.251666,1.0,1.0,5.0
10,W0,activity_completion_rate,0.964504,0.023212,0.966092,0.903846,0.981818
10,W0,necessary_activity_completion_rate,0.954674,0.032839,0.971826,0.868421,0.974359
10,W0,walking_mode_share,0.017368,0.00975,0.019717,0.0,0.030612
10,W0,bus_mode_share,0.542756,0.053364,0.548758,0.474747,0.618557
10,W0,metro_mode_share,0.390328,0.053479,0.39898,0.307692,0.464646
10,W0,ride_hailing_mode_share,0.049549,0.018065,0.054075,0.019048,0.073684
10,W0,mean_total_travel_time,63.4095,2.232618,63.0305,60.45,68.898
10,W0,mean_road_speed_kmh,17.2333,0.432122,17.3395,16.626,18.022
10,W2,ride_hailing_requests,13.0,3.464102,13.5,7.0,18.0
10,W2,successful_ride_hailing_requests,10.5,2.635231,10.0,7.0,16.0
10,W2,ride_hailing_failed,2.5,2.635231,1.5,0.0,8.0
10,W2,mean_ride_hailing_wait_minutes_per_request,12.672166,1.989243,12.961092,10.012692,15.232001
10,W2,max_ride_hailing_wait_minutes,22.359512,5.224557,21.4805,13.333,32.855112
10,W2,fallback_attempts,2.5,2.635231,1.5,0.0,8.0
10,W2,fallback_succeeded,2.5,2.635231,1.5,0.0,8.0
10,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
10,W2,late_but_reached,2.0,1.763834,1.5,0.0,5.0
10,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
10,W2,mandatory_activity_incomplete,1.4,1.264911,1.5,0.0,4.0
10,W2,activity_completion_rate,0.944463,0.033197,0.93782,0.895833,1.0
10,W2,necessary_activity_completion_rate,0.962423,0.033556,0.959399,0.894737,1.0
10,W2,walking_mode_share,0.008386,0.006577,0.010417,0.0,0.020619
10,W2,bus_mode_share,0.37628,0.056485,0.364147,0.315789,0.475248
10,W2,metro_mode_share,0.503375,0.050576,0.517931,0.425743,0.56701
10,W2,ride_hailing_mode_share,0.111959,0.031564,0.109319,0.069307,0.177778
10,W2,mean_total_travel_time,64.7297,2.460552,64.412,60.78,69.189
10,W2,mean_road_speed_kmh,16.6465,0.764234,16.486,15.771,18.152
8,W0,ride_hailing_requests,5.9,2.469818,6.0,2.0,11.0
8,W0,successful_ride_hailing_requests,3.8,2.097618,4.0,0.0,6.0
8,W0,ride_hailing_failed,2.1,2.13177,1.5,0.0,6.0
8,W0,mean_ride_hailing_wait_minutes_per_request,13.231786,3.771412,13.314543,8.0,20.0
8,W0,max_ride_hailing_wait_minutes,18.45706,5.548312,20.0,10.0,29.2366
8,W0,fallback_attempts,2.1,2.13177,1.5,0.0,6.0
8,W0,fallback_succeeded,2.1,2.13177,1.5,0.0,6.0
8,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
8,W0,late_but_reached,2.5,2.173067,2.0,0.0,8.0
8,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
8,W0,mandatory_activity_incomplete,2.0,1.825742,1.5,1.0,7.0
8,W0,activity_completion_rate,0.952938,0.036272,0.963275,0.865385,0.981818
8,W0,necessary_activity_completion_rate,0.946847,0.047831,0.960074,0.815789,0.973684
8,W0,walking_mode_share,0.019422,0.010457,0.019717,0.0,0.033333
8,W0,bus_mode_share,0.552175,0.051491,0.548758,0.484848,0.639175
8,W0,metro_mode_share,0.390328,0.053479,0.39898,0.307692,0.464646
8,W0,ride_hailing_mode_share,0.038075,0.021057,0.039049,0.0,0.061856
8,W0,mean_total_travel_time,63.9931,2.047989,63.715,60.888,68.898
8,W0,mean_road_speed_kmh,16.9401,0.517515,16.9835,15.988,17.744
8,W2,ride_hailing_requests,13.0,3.464102,13.5,7.0,18.0
8,W2,successful_ride_hailing_requests,8.2,2.529822,7.0,4.0,12.0
8,W2,ride_hailing_failed,4.8,3.966527,4.5,0.0,14.0
8,W2,mean_ride_hailing_wait_minutes_per_request,14.146182,2.508597,14.681923,10.481,17.856556
8,W2,max_ride_hailing_wait_minutes,22.357845,5.223788,21.4805,13.333,32.855112
8,W2,fallback_attempts,4.8,3.966527,4.5,0.0,14.0
8,W2,fallback_succeeded,4.8,3.966527,4.5,0.0,14.0
8,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
8,W2,late_but_reached,3.4,2.796824,3.0,0.0,9.0
8,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
8,W2,mandatory_activity_incomplete,2.3,1.702939,2.0,0.0,6.0
8,W2,activity_completion_rate,0.91775,0.051329,0.920533,0.833333,1.0
8,W2,necessary_activity_completion_rate,0.938367,0.045145,0.945906,0.842105,1.0
8,W2,walking_mode_share,0.010492,0.008547,0.010582,0.0,0.021505
8,W2,bus_mode_share,0.398111,0.058387,0.39047,0.326316,0.505376
8,W2,metro_mode_share,0.504486,0.050344,0.517931,0.425743,0.56701
8,W2,ride_hailing_mode_share,0.086911,0.027692,0.078661,0.043011,0.133333
8,W2,mean_total_travel_time,65.9836,2.267767,66.2125,62.766,70.049
8,W2,mean_road_speed_kmh,16.0827,0.786704,16.119,14.537,17.176
6,W0,ride_hailing_requests,5.9,2.469818,6.0,2.0,11.0
6,W0,successful_ride_hailing_requests,3.7,2.002776,4.0,0.0,6.0
6,W0,ride_hailing_failed,2.2,2.043961,1.5,0.0,6.0
6,W0,mean_ride_hailing_wait_minutes_per_request,13.431786,3.628021,13.314543,8.0,20.0
6,W0,max_ride_hailing_wait_minutes,18.99036,5.397797,20.0,10.0,29.2366
6,W0,fallback_attempts,2.2,2.043961,1.5,0.0,6.0
6,W0,fallback_succeeded,2.2,2.043961,1.5,0.0,6.0
6,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
