vehicle_total,weather_scenario,competition_seed_share,collapse_seed_share,classification,mechanism_screen_not_calibration
16,W0,0.1,0.0,loose_supply,True
16,W2,0.3,0.0,loose_supply,True
12,W0,0.1,0.0,loose_supply,True
12,W2,0.5,0.0,moderate_competition,True
10,W0,0.6,0.0,moderate_competition,True
10,W2,0.8,0.0,tight_competition,True
8,W0,0.7,0.0,moderate_competition,True
8,W2,0.9,0.0,tight_competition,True
6,W0,0.8,0.0,tight_competition,True
6,W2,1.0,0.0,tight_competition,True
