agent_id,age_group,work_status,medical_need_level,day_of_week,is_weekend,activity_id,activity_sequence,sequence_order,activity_purpose,home_zone,destination_zone,planned_start_datetime,planned_end_datetime,is_mandatory,baseline_cancel_probability,weather_scenario,day_type,weather_type,departure_time,weather_exposed,remote_work_applicable,remote_work_probability_source,p_remote_work,remote_work_draw,remote_work,p_weather_cancel,weather_cancel_draw,weather_cancellation,travel_required,final_status,completed,transport_unmet,transport_succeeded,activity_completed,actual_arrival_time,arrival_delay_minutes,on_time_arrival
20,18-39,regular_worker,,Tuesday,False,activity-20-2026-07-07-003,3,1,work,Z2,Z3,2026-07-07 10:30:00,2026-07-07 18:30:00,True,0.03,W0,workday,normal,2026-07-07 09:35:00,False,True,normal,0.0,0.6985308790847344,False,0.0,0.5751071238277978,False,True,completed,True,False,True,True,2026-07-07 10:20:02.027760,0.0,True
21,40-59,regular_worker,,Tuesday,False,activity-21-2026-07-07-002,2,1,work,Z9,Z6,2026-07-07 10:30:00,2026-07-07 19:30:00,True,0.03,W0,workday,normal,2026-07-07 09:05:00,False,True,normal,0.0,0.20118670364601487,False,0.0,0.2740394303123945,False,True,completed,True,False,True,True,2026-07-07 10:40:58.307100,10.972,False
22,40-59,regular_worker,,Tuesday,False,activity-22-2026-07-07-002,2,1,work,Z5,Z7,2026-07-07 08:30:00,2026-07-07 17:00:00,True,0.03,W0,workday,normal,2026-07-07 07:30:00,False,True,normal,0.0,0.22098593095903354,False,0.0,0.891475695275547,False,True,completed,True,False,True,True,2026-07-07 08:25:00,0.0,True
24,40-59,regular_worker,,Tuesday,False,activity-24-2026-07-07-002,2,1,work,Z7,Z4,2026-07-07 09:30:00,2026-07-07 19:30:00,True,0.03,W0,workday,normal,2026-07-07 08:35:00,False,True,normal,0.0,0.4267396615127731,False,0.0,0.442347587616561,False,True,completed,True,False,True,True,2026-07-07 09:20:00,0.0,True
25,40-59,regular_worker,,Tuesday,False,activity-25-2026-07-07-002,2,1,work,Z7,Z7,2026-07-07 08:30:00,2026-07-07 17:30:00,True,0.03,W0,workday,normal,2026-07-07 07:45:00,False,True,normal,0.0,0.49735084988697603,False,0.0,0.7274070929438206,False,True,completed,True,False,True,True,2026-07-07 08:25:15.900000,0.0,True
26,40-59,regular_worker,,Tuesday,False,activity-26-2026-07-07-002,2,1,work,Z8,Z3,2026-07-07 10:00:00,2026-07-07 19:30:00,True,0.03,W0,workday,normal,2026-07-07 08:35:00,False,True,normal,0.0,0.48475674341311076,False,0.0,0.14982420098556984,False,True,completed,True,False,True,True,2026-07-07 10:14:29.570940,14.493,False
27,40-59,regular_worker,,Tuesday,False,activity-27-2026-07-07-003,3,1,work,Z3,Z1,2026-07-07 08:00:00,2026-07-07 17:00:00,True,0.03,W0,workday,normal,2026-07-07 07:30:00,False,True,normal,0.0,0.7632311181443735,False,0.0,0.6079268425876984,False,True,completed,True,False,True,True,2026-07-07 07:50:00,0.0,True
28,40-59,regular_worker,,Tuesday,False,activity-28-2026-07-07-002,2,1,work,Z4,Z7,2026-07-07 09:30:00,2026-07-07 17:30:00,True,0.03,W0,workday,normal,2026-07-07 08:35:00,False,True,normal,0.0,0.7484650703443408,False,0.0,0.643397609280913,False,True,completed,True,False,True,True,2026-07-07 09:20:50.658120,0.0,True
29,40-59,regular_worker,,Tuesday,False,activity-29-2026-07-07-002,2,1,work,Z6,Z6,2026-07-07 10:00:00,2026-07-07 19:00:00,True,0.03,W0,workday,normal,2026-07-07 09:20:00,False,True,normal,0.0,0.633527345029098,False,0.0,0.12079808952828235,False,True,completed,True,False,True,True,2026-07-07 09:49:59.704440,0.0,True
3,18-39,regular_worker,,Tuesday,False,activity-3-2026-07-07-002,2,1,work,Z2,Z3,2026-07-07 09:00:00,2026-07-07 17:00:00,True,0.03,W0,workday,normal,2026-07-07 08:05:00,False,True,normal,0.0,0.8578229348707717,False,0.0,0.8483625545340552,False,True,completed,True,False,True,True,2026-07-07 08:55:00,0.0,True
30,40-59,regular_worker,,Tuesday,False,activity-30-2026-07-07-003,3,1,work,Z1,Z3,2026-07-07 09:00:00,2026-07-07 18:00:00,True,0.03,W0,workday,normal,2026-07-07 08:30:00,False,True,normal,0.0,0.9213494381427608,False,0.0,0.8535623773130633,False,True,completed,True,False,True,True,2026-07-07 08:50:00,0.0,True
