group_value,baseline_scenario,priority_scenario,interpretation,E03_ride_requests,E19_ride_requests,delta_ride_requests,E03_ride_successes,E19_ride_successes,delta_ride_successes,E03_ride_failures,E19_ride_failures,delta_ride_failures,E03_ride_success_rate,E19_ride_success_rate,delta_ride_success_rate,E03_mean_successful_ride_pickup_wait_minutes,E19_mean_successful_ride_pickup_wait_minutes,delta_mean_successful_ride_pickup_wait_minutes,E03_mean_ride_queue_wait_minutes,E19_mean_ride_queue_wait_minutes,delta_mean_ride_queue_wait_minutes,E03_fallback_attempts,E19_fallback_attempts,delta_fallback_attempts,E03_transport_unmet_legs,E19_transport_unmet_legs,delta_transport_unmet_legs,E03_activity_completion_rate,E19_activity_completion_rate,delta_activity_completion_rate,E03_necessary_activity_completion_rate,E19_necessary_activity_completion_rate,delta_necessary_activity_completion_rate
60+,E03,E19,descriptive same-seed P4-minus-P0 allocation contrast; total supply fixed,84,84,0.0,84,78,-6.0,0,6,6.0,1.0,0.9285714285714286,-0.0714285714285714,8.286526154761905,8.857942205128206,0.5714160503663006,0.21646663095238172,1.8359463333333341,1.6194797023809524,1,7,6.0,1,1,0.0,0.9278846153846154,0.9278846153846154,0.0,1.0,1.0,0.0
under_60,E03,E19,descriptive same-seed P4-minus-P0 allocation contrast; total supply fixed,908,917,9.0,899,907,8.0,9,10,1.0,0.9900881057268722,0.9890948745910578,-0.0009932311358143986,10.710116120875048,10.706117459022417,-0.003998661852630647,0.2825841328928045,0.28331792293711355,0.0007337900443090684,9,10,1.0,0,0,0.0,0.9625377643504531,0.9637462235649547,0.0012084592145015227,0.9914396887159533,0.9922178988326849,0.0007782101167315147
