vehicle_total,weather_scenario,seed_count,ride_hailing_requests,successful_ride_hailing_requests,ride_hailing_failed,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,fallback_attempts,fallback_succeeded,fallback_failed,late_but_reached,transport_unmet,mandatory_activity_incomplete,activity_completion_rate,necessary_activity_completion_rate,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,mean_total_travel_time,mean_road_speed_kmh,successful_orders_per_vehicle,vehicle_used_share,competition_seed_share,collapse_seed_share,no_vehicle_failure_seed_share
36,W0,10,23.5,23.5,0.0,10.81538,20.735941,0.0,0.0,0.0,4.1,0.0,3.3,0.981786,0.977543,0.013682,0.572276,0.354608,0.059433,62.5136,17.3696,0.652778,0.35,0.0,0.0,0.0
36,W1,10,26.8,26.8,0.0,10.701099,21.435941,0.0,0.0,0.0,4.1,0.0,3.3,0.957545,0.977543,0.013176,0.557076,0.360605,0.069144,62.5444,17.5706,0.744444,0.375,0.0,0.0,0.0
36,W2,10,56.4,55.2,1.2,11.415378,25.884664,1.2,1.1,0.1,5.2,0.1,4.7,0.93425,0.968055,0.006701,0.393109,0.452413,0.147777,64.6293,17.1584,1.533333,0.627778,0.6,0.1,0.0
24,W0,10,23.5,23.3,0.2,10.845014,20.049173,0.2,0.2,0.0,4.2,0.0,3.5,0.980877,0.976164,0.013682,0.57278,0.354608,0.058929,62.5496,17.3605,0.970833,0.504167,0.1,0.0,0.0
24,W1,10,26.8,26.6,0.2,10.724352,20.749173,0.2,0.2,0.0,4.2,0.0,3.5,0.956636,0.976164,0.013176,0.557593,0.360605,0.068627,62.5813,17.5612,1.108333,0.541667,0.1,0.0,0.0
24,W2,10,56.4,52.6,3.8,11.799331,26.390283,3.8,3.4,0.4,6.7,0.4,6.3,0.926318,0.957169,0.00721,0.398548,0.45332,0.140923,64.9651,17.0512,2.191667,0.766667,1.0,0.3,0.0
