seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,vehicle_total,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,no_vehicle_failures,wait_limit_failures,non_capacity_failures,successful_orders_per_vehicle,vehicle_used_share,competition_event,collapse_event
52,P0_no_policy,fleet_24,W1,extreme_heat,workday,200,214,201,0.939252,145,141,0.972414,8,0,0,376,376,0,1.0,7,202,146,21,0.018617,0.537234,0.388298,0.055851,21,21,0,0,0,0,0,0,4,5,0,4,7.054,7.609,71,0.486301,26.402,10.325,63.918,5.151,202,0.980583,99,3,0.030303,121,0.537778,1018.941,202,81,283,21,1039.941,0.701887,17.338,151,225,24,24,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 2, ""Z4"": 2, ""Z5"": 3, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 2}",True,True,29,0,206,0,0,7051.302,48363.202336,53107.959286,33121.457751,234.903956,228.423847,0.0,2752.625,24,10.324857,16.8,0,0,0,0.875,0.458333,False,False
52,P0_no_policy,fleet_24,W2,heavy_rain,workday,200,214,196,0.915888,145,141,0.972414,13,0,0,355,355,0,1.0,3,139,166,47,0.008451,0.391549,0.467606,0.132394,50,47,3,3,3,3,3,0,4,5,0,4,7.483,8.539,97,0.584337,31.16,11.334,66.75,7.998,188,0.979167,64,2,0.03125,138,0.657143,1018.941,139,122,261,47,1065.941,0.773914,16.846,145,210,24,24,0,"{""Z1"": 7, ""Z2"": 1, ""Z3"": 1, ""Z4"": 2, ""Z5"": 3, ""Z6"": 3, ""Z7"": 4, ""Z8"": 2, ""Z9"": 1}",True,True,169,9,192,0,0,7232.024,0.0,0.0,0.0,0.0,0.0,5050.787247,3050.277,24,11.854299,30.654926,0,3,0,1.958333,0.708333,True,False
53,P0_no_policy,fleet_36,W0,normal,workday,200,219,216,0.986301,148,146,0.986486,0,0,0,399,399,0,1.0,9,229,141,20,0.022556,0.573935,0.353383,0.050125,20,20,0,0,0,0,0,0,3,3,0,2,7.013,7.396,63,0.446809,27.286,11.574,60.332,4.758,216,0.986301,113,2,0.017699,115,0.529954,1018.941,229,73,302,20,1038.941,0.706489,17.152,182,217,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 2, ""Z9"": 2}",True,True,0,0,219,0,0,7536.859,0.0,0.0,0.0,0.0,0.0,0.0,2880.345,36,11.57405,20.0,0,0,0,0.555556,0.277778,False,False
53,P0_no_policy,fleet_36,W1,extreme_heat,workday,200,219,211,0.96347,148,146,0.986486,5,0,0,391,391,0,1.0,9,215,142,25,0.023018,0.549872,0.363171,0.063939,25,25,0,0,0,0,0,0,3,3,0,2,6.975,7.417,64,0.450704,27.318,11.219,60.334,5.197,211,0.985981,107,2,0.018692,116,0.539535,1018.941,215,74,289,25,1043.941,0.71049,17.467,176,215,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 2, ""Z9"": 2}",True,True,28,0,214,0,0,7371.83,52938.9605,59154.160764,35930.242766,246.097553,242.771911,0.0,2833.216,36,11.21924,20.0,0,0,0,0.694444,0.333333,False,False
53,P0_no_policy,fleet_36,W2,heavy_rain,workday,200,219,207,0.945205,148,145,0.97973,9,0,0,385,385,0,1.0,2,161,162,60,0.005195,0.418182,0.420779,0.155844,64,60,4,4,4,4,4,0,5,3,0,3,7.576,7.953,80,0.493827,31.499,11.405,62.151,8.123,203,0.975962,71,2,0.028169,134,0.644231,1018.941,161,99,260,60,1078.941,0.794438,16.927,177,208,36,36,0,"{""Z1"": 6, ""Z2"": 11, ""Z3"": 0, ""Z4"": 2, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 1, ""Z9"": 3}",True,True,169,2,208,0,0,7640.131,0.0,0.0,0.0,0.0,0.0,5123.725935,3272.486,36,11.942649,34.027548,0,4,0,1.666667,0.638889,True,False
53,P0_no_policy,fleet_24,W0,normal,workday,200,219,216,0.986301,148,146,0.986486,0,0,0,399,399,0,1.0,9,229,141,20,0.022556,0.573935,0.353383,0.050125,20,20,0,0,0,0,0,0,3,3,0,2,7.013,7.396,63,0.446809,27.286,11.574,60.332,4.758,216,0.986301,113,2,0.017699,115,0.529954,1018.941,229,73,302,20,1038.941,0.706489,17.152,182,217,24,24,0,"{""Z1"": 3, ""Z2"": 5, ""Z3"": 2, ""Z4"": 2, ""Z5"": 2, ""Z6"": 4, ""Z7"": 4, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,219,0,0,7536.859,0.0,0.0,0.0,0.0,0.0,0.0,2880.345,24,11.57405,20.0,0,0,0,0.833333,0.416667,False,False
53,P0_no_policy,fleet_24,W1,extreme_heat,workday,200,219,211,0.96347,148,146,0.986486,5,0,0,391,391,0,1.0,9,215,142,25,0.023018,0.549872,0.363171,0.063939,25,25,0,0,0,0,0,0,3,3,0,2,6.975,7.417,64,0.450704,27.318,11.219,60.334,5.197,211,0.985981,107,2,0.018692,116,0.539535,1018.941,215,74,289,25,1043.941,0.71049,17.467,176,215,24,24,0,"{""Z1"": 3, ""Z2"": 5, ""Z3"": 2, ""Z4"": 2, ""Z5"": 2, ""Z6"": 4, ""Z7"": 4, ""Z8"": 1, ""Z9"": 1}",True,True,28,0,214,0,0,7371.83,52938.9605,59154.160764,35930.242766,246.097553,242.771911,0.0,2833.216,24,11.21924,20.0,0,0,0,1.041667,0.5,False,False
53,P0_no_policy,fleet_24,W2,heavy_rain,workday,200,219,204,0.931507,148,142,0.959459,9,0,0,385,385,0,1.0,2,164,163,56,0.005195,0.425974,0.423377,0.145455,64,56,8,8,8,8,8,0,8,6,0,6,7.626,7.956,81,0.496933,31.36,11.034,62.629,7.868,200,0.961538,73,4,0.054795,135,0.649038,1018.941,164,100,264,56,1074.941,0.793049,16.772,177,208,24,24,0,"{""Z1"": 3, ""Z2"": 9, ""Z3"": 0, ""Z4"": 1, ""Z5"": 2, ""Z6"": 2, ""Z7"": 5, ""Z8"": 0, ""Z9"": 2}",True,True,169,2,208,0,0,7754.57,0.0,0.0,0.0,0.0,0.0,5238.215165,3325.425,24,12.154898,26.376502,0,8,0,2.333333,0.791667,True,False
54,P0_no_policy,fleet_36,W0,normal,workday,200,211,208,0.985782,145,142,0.97931,0,0,0,392,392,0,1.0,3,221,142,26,0.007653,0.563776,0.362245,0.066327,26,26,0,0,0,0,0,0,3,3,0,3,7.113,7.833,67,0.471831,28.088,10.462,61.252,5.505,208,0.985782,117,2,0.017094,120,0.528634,1018.941,221,81,302,26,1044.941,0.701678,17.531,165,227,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 4, ""Z5"": 3, ""Z6"": 5, ""Z7"": 5, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,211,0,0,7266.953,0.0,0.0,0.0,0.0,0.0,0.0,2956.269,36,10.461923,22.0,0,0,0,0.722222,0.388889,False,False
54,P0_no_policy,fleet_36,W1,extreme_heat,workday,200,211,201,0.952607,145,142,0.97931,7,0,0,379,379,0,1.0,2,207,140,30,0.005277,0.546174,0.369393,0.079156,30,30,0,0,0,0,0,0,3,3,0,3,6.949,7.844,66,0.471429,28.346,10.467,61.358,5.917,201,0.985294,110,2,0.018182,118,0.524444,1018.941,207,81,288,30,1048.941,0.711499,17.726,154,225,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 4, ""Z5"": 2, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,38,0,204,0,0,6934.213,49961.233668,55731.198131,35153.992264,247.563326,242.441326,0.0,2850.479,36,10.4668,22.0,0,0,0,0.833333,0.416667,False,False
