preference_scenario,seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes
J_final_candidate,51,P0_no_policy,P0_baseline,W0,normal,workday,200,217,213,0.981567,145,141,0.972414,0,0,0,397,397,0,1.0,4,245,130,18,0.010076,0.617128,0.327456,0.04534,18,18,0,0,0,0,0,0,6,4,0,4,7.143,7.693,64,0.492308,25.46,11.102,62.916,4.747,211,0.97235,130,1,0.007692,111,0.476395,1018.941,245,70,315,18,1036.941,0.696087,17.049,164,233,36,36,0,"{""Z1"": 6, ""Z2"": 7, ""Z3"": 2, ""Z4"": 3, ""Z5"": 4, ""Z6"": 3, ""Z7"": 5, ""Z8"": 4, ""Z9"": 2}",True,True,0,0,217,0,0,7343.177,0.0,0.0,0.0,0.0,0.0,0.0,2949.978
J_final_candidate,51,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,217,209,0.963134,145,141,0.972414,4,0,0,391,391,0,1.0,4,237,128,22,0.01023,0.606138,0.327366,0.056266,22,22,0,0,0,0,0,0,6,4,0,4,7.038,7.571,62,0.484375,25.555,10.901,62.539,4.976,207,0.971831,125,1,0.008,108,0.471616,1018.941,237,68,305,22,1040.941,0.697093,17.296,162,229,36,36,0,"{""Z1"": 6, ""Z2"": 7, ""Z3"": 2, ""Z4"": 3, ""Z5"": 4, ""Z6"": 3, ""Z7"": 5, ""Z8"": 4, ""Z9"": 2}",True,True,32,0,213,0,0,7158.997,51348.853837,57362.391503,34357.89867,243.67304,236.951025,0.0,2876.798
J_final_candidate,51,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,217,208,0.958525,145,143,0.986207,7,0,0,384,384,0,1.0,2,153,164,65,0.005208,0.398438,0.427083,0.169271,65,65,0,0,0,0,0,0,4,2,0,2,7.9,8.716,94,0.573171,31.072,10.414,63.105,8.682,204,0.980769,71,1,0.014085,141,0.635135,1018.941,153,115,268,65,1083.941,0.753135,17.633,162,222,36,36,0,"{""Z1"": 5, ""Z2"": 8, ""Z3"": 0, ""Z4"": 2, ""Z5"": 4, ""Z6"": 6, ""Z7"": 6, ""Z8"": 3, ""Z9"": 2}",True,True,146,2,208,0,0,7597.285,0.0,0.0,0.0,0.0,0.0,4834.011463,3315.044
J_final_candidate,52,P0_no_policy,P0_baseline,W0,normal,workday,200,214,209,0.976636,145,141,0.972414,0,0,0,390,390,0,1.0,7,218,145,20,0.017949,0.558974,0.371795,0.051282,20,20,0,0,0,0,0,0,4,5,0,4,7.001,7.613,70,0.482759,26.514,10.441,63.373,4.945,210,0.981308,108,3,0.027778,120,0.524017,1018.941,218,80,298,20,1038.941,0.70378,17.188,161,229,36,36,0,"{""Z1"": 7, ""Z2"": 5, ""Z3"": 3, ""Z4"": 3, ""Z5"": 4, ""Z6"": 3, ""Z7"": 5, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,214,0,0,7282.731,0.0,0.0,0.0,0.0,0.0,0.0,2839.054
J_final_candidate,52,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,214,201,0.939252,145,141,0.972414,8,0,0,376,376,0,1.0,7,201,145,23,0.018617,0.534574,0.385638,0.06117,23,23,0,0,0,0,0,0,4,5,0,4,7.024,7.603,70,0.482759,26.514,10.036,63.918,5.245,202,0.980583,97,3,0.030928,120,0.533333,1018.941,201,80,281,23,1041.941,0.70299,17.462,151,225,36,36,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 3, ""Z4"": 3, ""Z5"": 4, ""Z6"": 3, ""Z7"": 5, ""Z8"": 2, ""Z9"": 3}",True,True,29,0,206,0,0,7020.302,48001.202336,52663.759286,33017.457751,234.166367,227.706605,0.0,2745.125
J_final_candidate,52,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,214,197,0.920561,145,142,0.97931,13,0,0,355,355,0,1.0,3,141,158,53,0.008451,0.397183,0.44507,0.149296,56,53,3,3,3,3,3,0,4,4,0,3,7.336,8.423,90,0.56962,30.831,11.114,66.251,8.472,188,0.979167,66,2,0.030303,132,0.628571,1018.941,141,111,252,53,1071.941,0.785227,16.942,145,210,36,36,0,"{""Z1"": 10, ""Z2"": 4, ""Z3"": 1, ""Z4"": 3, ""Z5"": 4, ""Z6"": 4, ""Z7"": 6, ""Z8"": 2, ""Z9"": 2}",True,True,169,9,192,0,0,7085.077,0.0,0.0,0.0,0.0,0.0,4871.525923,3014.182
J_final_candidate,53,P0_no_policy,P0_baseline,W0,normal,workday,200,219,216,0.986301,148,146,0.986486,0,0,0,399,399,0,1.0,9,229,140,21,0.022556,0.573935,0.350877,0.052632,21,21,0,0,0,0,0,0,3,3,0,2,6.978,7.285,62,0.442857,26.892,11.594,60.239,4.802,216,0.986301,114,2,0.017544,114,0.525346,1018.941,229,71,300,21,1039.941,0.705586,17.215,182,217,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 2, ""Z9"": 2}",True,True,0,0,219,0,0,7497.859,0.0,0.0,0.0,0.0,0.0,0.0,2861.345
J_final_candidate,53,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,219,211,0.96347,148,146,0.986486,5,0,0,391,391,0,1.0,9,213,140,29,0.023018,0.544757,0.358056,0.074169,29,29,0,0,0,0,0,0,3,3,0,2,6.949,7.274,62,0.442857,26.893,10.896,60.13,5.374,211,0.985981,108,2,0.018519,114,0.530233,1018.941,213,71,284,29,1047.941,0.709719,17.688,176,215,36,36,0,"{""Z1"": 4, ""Z2"": 8, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 2, ""Z9"": 2}",True,True,28,0,214,0,0,7300.401,51956.629167,57929.757964,35640.779966,244.114931,240.816081,0.0,2814.387
J_final_candidate,53,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,219,207,0.945205,148,145,0.97973,9,0,0,385,385,0,1.0,2,160,154,69,0.005195,0.415584,0.4,0.179221,73,69,4,4,4,4,4,0,5,3,0,3,7.507,7.832,75,0.487013,31.578,11.621,61.666,8.812,203,0.975962,73,2,0.027397,126,0.605769,1018.941,160,93,253,69,1087.941,0.799309,17.182,177,208,36,36,0,"{""Z1"": 7, ""Z2"": 8, ""Z3"": 0, ""Z4"": 1, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 4, ""Z9"": 3}",True,True,169,2,208,0,0,7498.052,0.0,0.0,0.0,0.0,0.0,5037.770228,3289.207
J_final_candidate,54,P0_no_policy,P0_baseline,W0,normal,workday,200,211,208,0.985782,145,142,0.97931,0,0,0,392,392,0,1.0,3,221,142,26,0.007653,0.563776,0.362245,0.066327,26,26,0,0,0,0,0,0,3,3,0,3,7.113,7.833,67,0.471831,28.088,10.462,61.252,5.505,208,0.985782,117,2,0.017094,120,0.528634,1018.941,221,81,302,26,1044.941,0.701678,17.531,165,227,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 4, ""Z5"": 3, ""Z6"": 5, ""Z7"": 5, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,211,0,0,7266.953,0.0,0.0,0.0,0.0,0.0,0.0,2956.269
J_final_candidate,54,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,211,201,0.952607,145,142,0.97931,7,0,0,379,379,0,1.0,2,205,139,33,0.005277,0.540897,0.366755,0.087071,33,33,0,0,0,0,0,0,3,3,0,3,6.89,7.81,65,0.467626,28.21,10.243,61.19,6.034,201,0.985294,108,2,0.018519,118,0.524444,1018.941,205,79,284,33,1051.941,0.712506,17.903,154,225,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 4, ""Z5"": 2, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,38,0,204,0,0,6880.213,49232.550334,54860.37813,34772.725597,244.878349,239.811901,0.0,2835.979
J_final_candidate,54,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,211,199,0.943128,145,142,0.97931,8,0,0,363,363,0,1.0,2,136,153,72,0.00551,0.374656,0.421488,0.198347,73,72,1,1,1,1,1,0,2,4,0,3,7.996,8.501,83,0.542484,31.799,11.181,62.416,10.049,191,0.989637,63,0,0.0,128,0.615385,1018.941,136,105,241,72,1090.941,0.778085,17.855,155,208,36,36,0,"{""Z1"": 4, ""Z2"": 3, ""Z3"": 6, ""Z4"": 7, ""Z5"": 2, ""Z6"": 5, ""Z7"": 5, ""Z8"": 4, ""Z9"": 0}",True,True,153,10,193,0,0,7145.785,0.0,0.0,0.0,0.0,0.0,4602.329676,3213.206
J_final_candidate,55,P0_no_policy,P0_baseline,W0,normal,workday,200,211,202,0.957346,148,140,0.945946,0,0,0,391,391,0,1.0,4,211,158,18,0.01023,0.539642,0.404092,0.046036,18,18,0,0,0,0,0,0,7,9,0,8,6.904,7.92,76,0.481013,27.923,9.977,63.142,4.744,204,0.966825,109,4,0.036697,129,0.563319,1018.941,211,89,300,18,1036.941,0.712489,17.186,162,229,36,36,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 2, ""Z4"": 2, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 2, ""Z9"": 3}",True,True,0,0,211,0,0,7326.496,0.0,0.0,0.0,0.0,0.0,0.0,2887.844
J_final_candidate,55,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,211,196,0.92891,148,140,0.945946,6,0,0,382,382,0,1.0,2,200,154,26,0.005236,0.52356,0.403141,0.068063,26,26,0,0,0,0,0,0,7,9,0,8,6.876,7.811,72,0.467532,28.098,9.856,62.919,5.301,198,0.965854,102,4,0.039216,125,0.555556,1018.941,200,84,284,26,1044.941,0.714651,17.675,157,225,36,36,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 3, ""Z4"": 2, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 2, ""Z9"": 3}",True,True,33,0,205,0,0,7021.757,49825.267167,55188.765969,36275.911736,259.113655,245.107512,0.0,2834.268
J_final_candidate,55,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,211,192,0.909953,148,140,0.945946,11,0,0,369,369,0,1.0,0,142,174,53,0.0,0.384824,0.471545,0.143631,53,53,0,0,0,0,0,0,8,8,0,8,7.328,8.72,95,0.545977,31.868,11.02,64.859,8.117,189,0.959391,71,2,0.028169,142,0.660465,1018.941,142,118,260,53,1071.941,0.786035,17.105,154,215,36,36,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 4, ""Z4"": 1, ""Z5"": 3, ""Z6"": 4, ""Z7"": 8, ""Z8"": 1, ""Z9"": 1}",True,True,157,3,197,0,0,7342.799,0.0,0.0,0.0,0.0,0.0,4788.621154,3141.915
J_final_candidate,56,P0_no_policy,P0_baseline,W0,normal,workday,200,225,223,0.991111,146,144,0.986301,0,0,0,411,411,0,1.0,5,244,127,35,0.012165,0.593674,0.309002,0.085158,35,35,0,0,0,0,0,0,4,2,0,2,7.28,7.435,56,0.440945,25.132,10.553,60.823,5.219,221,0.982222,127,2,0.015748,109,0.480176,1018.941,244,59,303,35,1053.941,0.675023,18.055,184,227,36,36,0,"{""Z1"": 8, ""Z2"": 5, ""Z3"": 2, ""Z4"": 3, ""Z5"": 2, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,225,0,0,7522.486,0.0,0.0,0.0,0.0,0.0,0.0,3089.9
J_final_candidate,56,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,225,219,0.973333,146,144,0.986301,4,0,0,406,406,0,1.0,5,229,127,45,0.012315,0.564039,0.312808,0.110837,45,45,0,0,0,0,0,0,4,2,0,2,7.22,7.435,56,0.440945,25.133,10.254,60.517,5.799,217,0.9819,120,2,0.016667,109,0.484444,1018.941,229,59,288,45,1063.941,0.675173,18.594,181,225,36,36,0,"{""Z1"": 7, ""Z2"": 5, ""Z3"": 3, ""Z4"": 3, ""Z5"": 2, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,34,0,221,0,0,7327.568,52866.749332,59415.2,33666.851235,233.797578,230.594871,0.0,3058.982
J_final_candidate,56,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,225,218,0.968889,146,143,0.979452,4,0,0,398,398,0,1.0,5,164,152,77,0.012563,0.41206,0.38191,0.193467,80,77,3,3,3,3,3,0,6,3,0,3,7.785,8.234,80,0.526316,28.761,11.207,63.12,8.936,211,0.97235,75,2,0.026667,133,0.591111,1018.941,164,91,255,77,1095.941,0.748377,18.012,173,225,36,36,0,"{""Z1"": 10, ""Z2"": 3, ""Z3"": 0, ""Z4"": 3, ""Z5"": 2, ""Z6"": 4, ""Z7"": 7, ""Z8"": 5, ""Z9"": 2}",True,True,165,4,217,0,0,7805.473,0.0,0.0,0.0,0.0,0.0,4489.908338,3451.183
