seed,preference_scenario,weather_scenario,group,agent_count,successful_legs,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_requests_per_100_agents,ride_hailing_mode_share,mean_ride_hailing_wait_minutes,necessary_activity_completion_rate,transport_related_unmet,total_outdoor_exposure_minutes,total_heat_risk_burden,metro_legs,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,exposed_travel_required_necessary_activities,completed_exposed_travel_required_necessary_activities,exposed_travel_required_necessary_completion_rate,exposed_necessary_ride_hailing_legs,exposed_necessary_ride_hailing_mode_share,exposed_necessary_outdoor_exposure_minutes,exposed_necessary_heat_risk_burden,exposed_necessary_rain_exposure_minutes,exposed_necessary_bus_metro_transfer_legs,exposed_necessary_bus_metro_transfer_share
54,J_final_candidate,W0,60+_nondigital_unassisted,10,18,0,0,0,0.0,0.0,,,0,301.071,0.0,2,0,0.0,0,0,,0,,0,0,0,0,
54,J_final_candidate,W0,60+_medical_low,23,29,0,0,0,0.0,0.0,,1.0,0,518.799,0.0,4,2,0.5,0,0,,0,,0,0,0,0,
54,J_final_candidate,W0,60+_medical_standard,27,41,0,0,0,0.0,0.0,,1.0,0,748.443,0.0,6,1,0.166667,0,0,,0,,0,0,0,0,
54,J_final_candidate,W0,60+_medical_high,4,9,0,0,0,0.0,0.0,,1.0,0,180.142,0.0,0,0,,0,0,,0,,0,0,0,0,
54,J_final_candidate,W0,60+_digital_medical_low,13,20,0,0,0,0.0,0.0,,1.0,0,365.585,0.0,4,2,0.5,0,0,,0,,0,0,0,0,
54,J_final_candidate,W0,60+_digital_medical_standard,12,16,0,0,0,0.0,0.0,,1.0,0,288.858,0.0,3,1,0.333333,0,0,,0,,0,0,0,0,
54,J_final_candidate,W0,60+_digital_medical_high,1,2,0,0,0,0.0,0.0,,,0,61.571,0.0,0,0,,0,0,,0,,0,0,0,0,
54,J_final_candidate,W1,18-39,80,178,25,25,0,31.25,0.140449,10.94016,0.986301,0,3272.521,19756.11767,78,37,0.474359,1,1,1.0,0,0.0,46.143,368.107,0.0,0,0.0
54,J_final_candidate,W1,40-59,66,132,6,6,0,9.090909,0.045455,8.083333,0.967213,0,2391.308,17683.060992,52,25,0.480769,0,0,,0,,0,0,0,0,
54,J_final_candidate,W1,60+,54,69,2,2,0,3.703704,0.028986,8.0,1.0,0,1216.384,17421.199468,9,3,0.333333,5,5,1.0,1,0.111111,133.5,2313.328333,0.0,0,0.0
54,J_final_candidate,W1,60+_digital,26,34,1,1,0,3.846154,0.029412,8.0,1.0,0,628.014,8575.916701,7,3,0.428571,3,3,1.0,1,0.2,73.5,1291.528333,0.0,0,0.0
54,J_final_candidate,W1,60+_nondigital_assisted,18,19,1,1,0,5.555556,0.052632,8.0,1.0,0,318.299,4561.555267,1,0,0.0,2,2,1.0,0,0.0,60.0,1021.8,0.0,0,0.0
54,J_final_candidate,W1,60+_nondigital_unassisted,10,16,0,0,0,0.0,0.0,,,0,270.071,4283.7275,1,0,0.0,0,0,,0,,0,0,0,0,
54,J_final_candidate,W1,60+_medical_low,23,25,0,0,0,0.0,0.0,,1.0,0,444.799,6229.7612,4,2,0.5,1,1,1.0,0,0.0,15.0,278.2,0.0,0,0.0
54,J_final_candidate,W1,60+_medical_standard,27,35,2,2,0,7.407407,0.057143,8.0,1.0,0,591.443,8575.702201,5,1,0.2,3,3,1.0,1,0.166667,88.5,1525.528333,0.0,0,0.0
54,J_final_candidate,W1,60+_medical_high,4,9,0,0,0,0.0,0.0,,1.0,0,180.142,2615.736067,0,0,,1,1,1.0,0,0.0,30.0,509.6,0.0,0,0.0
54,J_final_candidate,W1,60+_digital_medical_low,13,16,0,0,0,0.0,0.0,,1.0,0,291.585,4016.181867,4,2,0.5,1,1,1.0,0,0.0,15.0,278.2,0.0,0,0.0
54,J_final_candidate,W1,60+_digital_medical_standard,12,16,1,1,0,8.333333,0.0625,8.0,1.0,0,274.858,3801.2546,3,1,0.333333,2,2,1.0,1,0.25,58.5,1013.328333,0.0,0,0.0
54,J_final_candidate,W1,60+_digital_medical_high,1,2,0,0,0,0.0,0.0,,,0,61.571,758.480234,0,0,,0,0,,0,,0,0,0,0,
54,J_final_candidate,W2,18-39,80,167,44,44,0,55.0,0.263473,11.561473,0.958904,0,3349.306,0.0,88,46,0.522727,58,55,0.948276,23,0.22549,2169.869,0.0,1830.911645,38,0.372549
54,J_final_candidate,W2,40-59,66,126,26,25,1,39.393939,0.198413,10.98029,1.0,0,2487.96,0.0,57,34,0.596491,53,53,1.0,19,0.180952,2093.594,0.0,1792.24,30,0.285714
54,J_final_candidate,W2,60+,54,70,3,3,0,5.555556,0.042857,10.277667,1.0,0,1308.519,0.0,8,3,0.375,3,3,1.0,2,0.333333,97.133,0.0,58.133,1,0.166667
54,J_final_candidate,W2,60+_digital,26,31,2,2,0,7.692308,0.064516,8.75,1.0,0,604.83,0.0,5,3,0.6,2,2,1.0,1,0.25,61.8,0.0,44.8,1,0.25
