preference_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum,group
J_final_candidate,W0,agent_count,10,26.0,0.0,26.0,26.0,60+_digital
J_final_candidate,W0,successful_legs,10,37.7,6.549809,26.0,47.0,60+_digital
J_final_candidate,W0,ride_hailing_requests,10,1.1,0.567646,0.0,2.0,60+_digital
J_final_candidate,W0,successful_ride_hailing_requests,10,1.1,0.567646,0.0,2.0,60+_digital
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,4.230769,2.183255,0.0,7.692308,60+_digital
J_final_candidate,W0,ride_hailing_mode_share,10,0.029599,0.014368,0.0,0.04878,60+_digital
J_final_candidate,W0,mean_ride_hailing_wait_minutes,9,8.333333,1.732051,6.0,12.0,60+_digital
J_final_candidate,W0,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,60+_digital
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,total_outdoor_exposure_minutes,10,668.0476,131.814431,435.357,864.856,60+_digital
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,metro_legs,10,5.2,2.149935,2.0,9.0,60+_digital
J_final_candidate,W0,bus_metro_transfer_legs,10,1.8,1.316561,0.0,4.0,60+_digital
J_final_candidate,W0,bus_metro_transfer_share_of_metro,10,0.376984,0.322254,0.0,1.0,60+_digital
