behavior_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum
A1_moderate_exposure_disutility,W2,elder_ride_hailing_requests,3,0.333333,0.57735,0.0,1.0
A1_moderate_exposure_disutility,W2,elder_mean_choice_exposure_disutility,3,0.112658,0.008326,0.10364,0.120053
A1_moderate_exposure_disutility,W2,elder_total_outdoor_exposure_minutes,3,1364.834,137.584284,1206.174,1451.213
A1_moderate_exposure_disutility,W2,elder_total_heat_risk_burden,3,0.0,0.0,0.0,0.0
A1_moderate_exposure_disutility,W2,elder_necessary_activity_completion_rate,3,0.974359,0.044412,0.923077,1.0
A2_strong_exposure_disutility,W0,elder_successful_legs,3,77.666667,2.309401,75.0,79.0
A2_strong_exposure_disutility,W0,elder_walking_share,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W0,elder_bus_share,3,0.89249,0.02753,0.873418,0.924051
A2_strong_exposure_disutility,W0,elder_metro_share,3,0.103291,0.034797,0.063291,0.126582
A2_strong_exposure_disutility,W0,elder_ride_hailing_share,3,0.004219,0.007308,0.0,0.012658
A2_strong_exposure_disutility,W0,elder_ride_hailing_requests,3,0.333333,0.57735,0.0,1.0
A2_strong_exposure_disutility,W0,elder_mean_choice_exposure_disutility,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W0,elder_total_outdoor_exposure_minutes,3,1419.702,13.160235,1410.618,1434.794
A2_strong_exposure_disutility,W0,elder_total_heat_risk_burden,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W0,elder_necessary_activity_completion_rate,3,1.0,0.0,1.0,1.0
A2_strong_exposure_disutility,W1,elder_successful_legs,3,73.666667,3.785939,71.0,78.0
A2_strong_exposure_disutility,W1,elder_walking_share,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W1,elder_bus_share,3,0.876775,0.032629,0.84507,0.910256
A2_strong_exposure_disutility,W1,elder_metro_share,3,0.105353,0.038694,0.064103,0.140845
A2_strong_exposure_disutility,W1,elder_ride_hailing_share,3,0.017872,0.006729,0.013889,0.025641
A2_strong_exposure_disutility,W1,elder_ride_hailing_requests,3,1.333333,0.57735,1.0,2.0
A2_strong_exposure_disutility,W1,elder_mean_choice_exposure_disutility,3,0.419622,0.018386,0.400751,0.437482
A2_strong_exposure_disutility,W1,elder_total_outdoor_exposure_minutes,3,1320.964,77.697894,1261.194,1408.794
A2_strong_exposure_disutility,W1,elder_total_heat_risk_burden,3,18442.262367,1346.470638,17069.386969,19760.675567
A2_strong_exposure_disutility,W1,elder_necessary_activity_completion_rate,3,1.0,0.0,1.0,1.0
A2_strong_exposure_disutility,W2,elder_successful_legs,3,70.666667,4.932883,65.0,74.0
A2_strong_exposure_disutility,W2,elder_walking_share,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W2,elder_bus_share,3,0.850626,0.042049,0.808219,0.892308
A2_strong_exposure_disutility,W2,elder_metro_share,3,0.144869,0.042881,0.107692,0.191781
A2_strong_exposure_disutility,W2,elder_ride_hailing_share,3,0.004505,0.007802,0.0,0.013514
A2_strong_exposure_disutility,W2,elder_ride_hailing_requests,3,0.333333,0.57735,0.0,1.0
A2_strong_exposure_disutility,W2,elder_mean_choice_exposure_disutility,3,0.219827,0.018151,0.200956,0.237161
A2_strong_exposure_disutility,W2,elder_total_outdoor_exposure_minutes,3,1352.537667,140.185536,1191.174,1444.324
A2_strong_exposure_disutility,W2,elder_total_heat_risk_burden,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W2,elder_necessary_activity_completion_rate,3,0.974359,0.044412,0.923077,1.0
