behavior_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum
A1_moderate_exposure_disutility,W1,total_heat_risk_burden,3,56961.366107,2304.10554,54611.740347,59217.079736
A1_moderate_exposure_disutility,W2,walking_mode_share,3,0.007253,0.003262,0.005348,0.011019
A1_moderate_exposure_disutility,W2,bus_mode_share,3,0.388913,0.010529,0.382749,0.40107
A1_moderate_exposure_disutility,W2,metro_mode_share,3,0.457627,0.004515,0.454545,0.46281
A1_moderate_exposure_disutility,W2,ride_hailing_mode_share,3,0.146207,0.00902,0.139037,0.156334
A1_moderate_exposure_disutility,W2,ride_hailing_requests,3,54.0,3.464102,52.0,58.0
A1_moderate_exposure_disutility,W2,successful_ride_hailing_requests,3,54.0,3.464102,52.0,58.0
A1_moderate_exposure_disutility,W2,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
A1_moderate_exposure_disutility,W2,mean_ride_hailing_wait_minutes,3,11.568333,0.528786,10.964,11.946
A1_moderate_exposure_disutility,W2,mean_total_travel_time,3,65.906,2.184899,63.943,68.26
A1_moderate_exposure_disutility,W2,activity_completion_rate,3,0.932291,0.014209,0.916279,0.943396
A1_moderate_exposure_disutility,W2,necessary_activity_completion_rate,3,0.968634,0.019335,0.946309,0.98
A1_moderate_exposure_disutility,W2,total_outdoor_exposure_minutes,3,7524.265667,167.451602,7373.136,7704.281
A1_moderate_exposure_disutility,W2,total_heat_risk_burden,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W0,walking_mode_share,3,0.015373,0.011139,0.007595,0.028133
A2_strong_exposure_disutility,W0,bus_mode_share,3,0.572192,0.003854,0.56962,0.576623
A2_strong_exposure_disutility,W0,metro_mode_share,3,0.348451,0.013975,0.332481,0.358442
A2_strong_exposure_disutility,W0,ride_hailing_mode_share,3,0.063984,0.008182,0.054545,0.069054
A2_strong_exposure_disutility,W0,ride_hailing_requests,3,25.0,3.464102,21.0,27.0
A2_strong_exposure_disutility,W0,successful_ride_hailing_requests,3,25.0,3.464102,21.0,27.0
A2_strong_exposure_disutility,W0,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
