behavior_scenario,seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes
A0_no_exposure_disutility,48,P0_no_policy,A0_no_exposure_disutility,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,213,137,19,0.010724,0.571046,0.367292,0.050938,19,19,0,0,0,0,0,0,4,3,0,1,6.688,7.996,67,0.489051,26.466,11.35,64.367,4.878,196,0.98,107,3,0.028037,118,0.506438,1018.941,213,75,288,19,1037.941,0.733901,17.074,140,233,48,48,0,"{""Z1"": 9, ""Z2"": 6, ""Z3"": 4, ""Z4"": 4, ""Z5"": 4, ""Z6"": 6, ""Z7"": 8, ""Z8"": 5, ""Z9"": 2}",True,True,29,0,200,0,0,6964.064,49175.478166,54793.957014,36245.787413,248.258818,246.569982,0.0,2735.646
A0_no_exposure_disutility,48,P0_no_policy,A0_no_exposure_disutility,W2,heavy_rain,workday,200,207,194,0.937198,147,144,0.979592,8,0,0,363,363,0,1.0,4,135,176,48,0.011019,0.371901,0.484848,0.132231,48,48,0,0,0,0,0,0,2,5,0,3,7.367,8.856,99,0.5625,30.907,11.594,65.69,8.047,192,0.989691,59,1,0.016949,152,0.675556,1018.941,135,119,254,48,1066.941,0.790361,16.855,138,225,48,48,0,"{""Z1"": 9, ""Z2"": 8, ""Z3"": 4, ""Z4"": 3, ""Z5"": 5, ""Z6"": 6, ""Z7"": 7, ""Z8"": 4, ""Z9"": 2}",True,True,160,5,194,0,0,7500.037,0.0,0.0,0.0,0.0,0.0,4788.147785,3109.761
A1_moderate_exposure_disutility,48,P0_no_policy,A1_moderate_exposure_disutility,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,222,138,21,0.01039,0.576623,0.358442,0.054545,21,21,0,0,0,0,0,0,4,3,0,1,6.73,7.982,67,0.485507,26.466,11.031,63.688,4.892,203,0.980676,113,3,0.026549,118,0.502128,1018.941,222,75,297,21,1039.941,0.723329,17.219,150,235,48,48,0,"{""Z1"": 9, ""Z2"": 6, ""Z3"": 4, ""Z4"": 4, ""Z5"": 4, ""Z6"": 6, ""Z7"": 8, ""Z8"": 5, ""Z9"": 2}",True,True,0,0,207,0,0,7149.564,0.0,0.0,0.0,0.0,0.0,0.0,2827.146
A1_moderate_exposure_disutility,48,P0_no_policy,A1_moderate_exposure_disutility,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,212,137,20,0.010724,0.568365,0.367292,0.053619,20,20,0,0,0,0,0,0,4,3,0,1,6.672,7.996,67,0.489051,26.466,11.183,64.318,4.912,196,0.98,106,3,0.028302,118,0.506438,1018.941,212,75,287,20,1038.941,0.733908,17.139,140,233,48,48,0,"{""Z1"": 9, ""Z2"": 6, ""Z3"": 4, ""Z4"": 4, ""Z5"": 4, ""Z6"": 6, ""Z7"": 8, ""Z8"": 5, ""Z9"": 2}",True,True,29,0,200,0,0,6950.064,49035.311499,54611.740347,36245.787413,248.258818,246.569982,0.0,2733.646
A1_moderate_exposure_disutility,48,P0_no_policy,A1_moderate_exposure_disutility,W2,heavy_rain,workday,200,207,194,0.937198,147,144,0.979592,8,0,0,363,363,0,1.0,4,139,168,52,0.011019,0.38292,0.46281,0.143251,52,52,0,0,0,0,0,0,2,5,0,3,7.224,8.714,92,0.547619,30.621,11.946,65.515,8.328,192,0.989691,60,1,0.016667,144,0.64,1018.941,139,110,249,52,1070.941,0.79605,16.889,138,225,48,48,0,"{""Z1"": 10, ""Z2"": 7, ""Z3"": 3, ""Z4"": 3, ""Z5"": 5, ""Z6"": 7, ""Z7"": 7, ""Z8"": 4, ""Z9"": 2}",True,True,160,5,194,0,0,7373.136,0.0,0.0,0.0,0.0,0.0,4692.913785,3089.387
A2_strong_exposure_disutility,48,P0_no_policy,A2_strong_exposure_disutility,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,222,138,21,0.01039,0.576623,0.358442,0.054545,21,21,0,0,0,0,0,0,4,3,0,1,6.73,7.982,67,0.485507,26.466,11.031,63.688,4.892,203,0.980676,113,3,0.026549,118,0.502128,1018.941,222,75,297,21,1039.941,0.723329,17.219,150,235,48,48,0,"{""Z1"": 9, ""Z2"": 6, ""Z3"": 4, ""Z4"": 4, ""Z5"": 4, ""Z6"": 6, ""Z7"": 8, ""Z8"": 5, ""Z9"": 2}",True,True,0,0,207,0,0,7149.564,0.0,0.0,0.0,0.0,0.0,0.0,2827.146
A2_strong_exposure_disutility,48,P0_no_policy,A2_strong_exposure_disutility,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,212,137,20,0.010724,0.568365,0.367292,0.053619,20,20,0,0,0,0,0,0,4,3,0,1,6.672,7.996,67,0.489051,26.466,11.183,64.318,4.912,196,0.98,106,3,0.028302,118,0.506438,1018.941,212,75,287,20,1038.941,0.733908,17.139,140,233,48,48,0,"{""Z1"": 9, ""Z2"": 6, ""Z3"": 4, ""Z4"": 4, ""Z5"": 4, ""Z6"": 6, ""Z7"": 8, ""Z8"": 5, ""Z9"": 2}",True,True,29,0,200,0,0,6950.064,49035.311499,54611.740347,36245.787413,248.258818,246.569982,0.0,2733.646
A2_strong_exposure_disutility,48,P0_no_policy,A2_strong_exposure_disutility,W2,heavy_rain,workday,200,207,194,0.937198,147,144,0.979592,8,0,0,363,363,0,1.0,4,144,161,54,0.011019,0.396694,0.443526,0.14876,54,54,0,0,0,0,0,0,2,5,0,3,7.177,8.398,85,0.52795,29.826,11.661,65.362,8.448,192,0.989691,63,1,0.015873,138,0.613333,1018.941,144,100,244,54,1072.941,0.80053,16.895,138,225,48,48,0,"{""Z1"": 11, ""Z2"": 7, ""Z3"": 2, ""Z4"": 3, ""Z5"": 5, ""Z6"": 7, ""Z7"": 7, ""Z8"": 4, ""Z9"": 2}",True,True,160,5,194,0,0,7241.19,0.0,0.0,0.0,0.0,0.0,4648.721083,3015.137
A0_no_exposure_disutility,49,P0_no_policy,A0_no_exposure_disutility,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.63,61.147,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,48,48,0,"{""Z1"": 7, ""Z2"": 9, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,212,0,0,7344.593,0.0,0.0,0.0,0.0,0.0,0.0,2834.922
A0_no_exposure_disutility,49,P0_no_policy,A0_no_exposure_disutility,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,213,133,31,0.028351,0.548969,0.342784,0.079897,31,31,0,0,0,0,0,0,1,3,0,3,6.684,8.019,68,0.511278,27.097,10.613,60.918,5.484,209,0.995238,116,0,0.0,115,0.539906,1018.941,213,79,292,31,1049.941,0.730511,17.668,175,213,48,48,0,"{""Z1"": 7, ""Z2"": 9, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,29,0,210,0,0,7252.593,51457.34767,57398.869906,35375.779339,240.65156,235.838529,0.0,2819.322
A0_no_exposure_disutility,49,P0_no_policy,A0_no_exposure_disutility,W2,heavy_rain,workday,200,212,200,0.943396,150,147,0.98,9,0,0,371,371,0,1.0,3,140,176,52,0.008086,0.377358,0.474394,0.140162,52,52,0,0,0,0,0,0,3,3,0,3,7.543,8.705,102,0.579545,31.698,11.795,64.301,7.782,196,0.984925,70,0,0.0,147,0.710145,1018.941,140,129,269,52,1070.941,0.810099,16.849,164,207,48,48,0,"{""Z1"": 10, ""Z2"": 6, ""Z3"": 4, ""Z4"": 5, ""Z5"": 6, ""Z6"": 4, ""Z7"": 5, ""Z8"": 4, ""Z9"": 4}",True,True,177,4,199,0,0,7644.36,0.0,0.0,0.0,0.0,0.0,5162.010896,3201.321
A1_moderate_exposure_disutility,49,P0_no_policy,A1_moderate_exposure_disutility,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.63,61.147,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,48,48,0,"{""Z1"": 7, ""Z2"": 9, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,212,0,0,7344.593,0.0,0.0,0.0,0.0,0.0,0.0,2834.922
A1_moderate_exposure_disutility,49,P0_no_policy,A1_moderate_exposure_disutility,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,216,130,31,0.028351,0.556701,0.335052,0.079897,31,31,0,0,0,0,0,0,1,3,0,3,6.689,7.92,65,0.5,27.01,10.548,60.929,5.474,209,0.995238,117,0,0.0,112,0.525822,1018.941,216,75,291,31,1049.941,0.731224,17.647,175,213,48,48,0,"{""Z1"": 8, ""Z2"": 8, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,29,0,210,0,0,7227.593,51142.431003,57055.278239,35013.857672,238.189508,233.425718,0.0,2801.322
A1_moderate_exposure_disutility,49,P0_no_policy,A1_moderate_exposure_disutility,W2,heavy_rain,workday,200,212,200,0.943396,150,147,0.98,9,0,0,371,371,0,1.0,2,142,169,58,0.005391,0.382749,0.455526,0.156334,58,58,0,0,0,0,0,0,3,3,0,3,7.395,8.689,96,0.568047,32.137,11.795,63.943,8.055,196,0.984925,71,0,0.0,141,0.681159,1018.941,142,122,264,58,1076.941,0.817394,16.973,164,207,48,48,0,"{""Z1"": 7, ""Z2"": 9, ""Z3"": 4, ""Z4"": 5, ""Z5"": 6, ""Z6"": 4, ""Z7"": 5, ""Z8"": 4, ""Z9"": 4}",True,True,177,4,199,0,0,7495.38,0.0,0.0,0.0,0.0,0.0,5041.93991,3202.78
A2_strong_exposure_disutility,49,P0_no_policy,A2_strong_exposure_disutility,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.63,61.147,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,48,48,0,"{""Z1"": 7, ""Z2"": 9, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,212,0,0,7344.593,0.0,0.0,0.0,0.0,0.0,0.0,2834.922
A2_strong_exposure_disutility,49,P0_no_policy,A2_strong_exposure_disutility,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,215,129,33,0.028351,0.554124,0.332474,0.085052,33,33,0,0,0,0,0,0,1,3,0,3,6.636,7.895,64,0.496124,26.984,10.717,60.826,5.581,209,0.995238,117,0,0.0,111,0.521127,1018.941,215,74,289,33,1051.941,0.73214,17.747,175,213,48,48,0,"{""Z1"": 8, ""Z2"": 8, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,29,0,210,0,0,7192.546,50734.297337,56563.569573,34651.666006,235.725619,231.011107,0.0,2798.875
A2_strong_exposure_disutility,49,P0_no_policy,A2_strong_exposure_disutility,W2,heavy_rain,workday,200,212,200,0.943396,150,147,0.98,9,0,0,371,371,0,1.0,2,147,160,62,0.005391,0.396226,0.431267,0.167116,62,62,0,0,0,0,0,0,2,3,0,3,7.381,8.745,91,0.56875,32.075,11.427,63.954,8.265,197,0.98995,77,0,0.0,137,0.661836,1018.941,147,115,262,62,1080.941,0.821878,16.959,164,207,48,48,0,"{""Z1"": 6, ""Z2"": 11, ""Z3"": 4, ""Z4"": 5, ""Z5"": 6, ""Z6"": 4, ""Z7"": 5, ""Z8"": 3, ""Z9"": 4}",True,True,177,4,199,0,0,7390.295,0.0,0.0,0.0,0.0,0.0,4905.771269,3192.712
