day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
workday,N9RH-workday-Z2-015,Z1,idle,601.5222966666666,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-016,Z1,idle,616.9301516666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-017,Z1,idle,620.5471646666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-018,Z1,idle,620.5270036666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-019,Z6,idle,1373.31565,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-020,Z8,idle,1056.296917,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-021,Z8,idle,1056.110923,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-022,Z4,idle,1233.9337659999999,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-023,Z4,idle,1256.5515679999999,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-024,Z8,idle,1056.971082,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-025,Z8,idle,1148.921577,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-026,Z1,idle,1145.2386046666666,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-027,Z4,idle,1250.00403,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-028,Z8,idle,1175.522346,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-029,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-030,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-031,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-032,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-033,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-034,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-035,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-036,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-037,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-038,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-039,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z2-040,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-001,Z5,idle,1381.426219,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-002,Z1,idle,470.71515466666665,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-003,Z6,idle,1338.4196849999998,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-004,Z1,idle,480.06855966666666,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-005,Z1,idle,498.8015036666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-006,Z1,idle,498.8654446666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-007,Z1,idle,498.73821566666663,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-008,Z1,idle,530.4037803333333,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-009,Z1,idle,531.4985486666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-010,Z1,idle,531.5606176666666,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-011,Z1,idle,592.2784146666668,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-012,Z1,idle,601.306139,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-013,Z1,idle,571.0379833333333,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-014,Z1,idle,592.2168246666668,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-015,Z1,idle,601.347622,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-016,Z3,idle,605.2790590000001,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-017,Z3,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-018,Z3,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-019,Z3,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z3-020,Z3,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-001,Z4,idle,1119.699737,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-002,Z4,idle,1271.044279,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-003,Z2,idle,486.28895,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-004,Z2,idle,502.1235016666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-005,Z8,idle,1255.100774,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-006,Z2,idle,516.541277,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-007,Z7,idle,1382.05554,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-008,Z2,idle,532.269222,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-009,Z4,idle,1054.545328,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-010,Z4,idle,1062.2232,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-011,Z4,idle,600.32293,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-012,Z7,idle,1349.378903,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-013,Z7,idle,1342.903391,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-014,Z4,idle,590.6066626666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-015,Z4,idle,621.0893143333333,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-016,Z4,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-017,Z4,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-018,Z4,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-019,Z4,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z4-020,Z4,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-001,Z5,idle,1379.9152359999998,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-002,Z2,idle,746.437828,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-003,Z5,idle,1374.456962,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-004,Z5,idle,1373.549315,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-005,Z5,idle,1368.4725469999998,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-006,Z5,idle,1172.217788,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-007,Z5,idle,1170.6336749999998,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-008,Z5,idle,1194.265553,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-009,Z5,idle,1192.5341993333334,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-010,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-011,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-012,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-013,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-014,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-015,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-016,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-017,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-018,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-019,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z5-020,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-001,Z6,idle,1247.741562,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-002,Z6,idle,1218.966986,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-003,Z6,idle,1232.15165,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-004,Z9,idle,1271.692912,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-005,Z8,idle,1190.125906,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-006,Z9,idle,1284.298312,,W2,C4_public_goods,API_interdependent_city_mobility_1000
