agent_id,day_type,age_group,digital_access,family_assistance,nondigital_unassisted,coupon_policy,coupon_eligible,coupon_reached,coupon_participated,coupon_awarded,public_coupon_participated,elder_reserve_reached,coupon_pool_type,coupon_allocation_rank,coupon_access_channel,public_participation_probability,public_participation_draw,public_dispatch_rank,elder_reserve_rank,community_phone_covered,community_phone_coverage_draw,pg_official_parent_agent_class,pg_adapter_agent_class,pg_num_rounds,pg_initial_endowment,pg_public_pool_multiplier,pg_round_contributions,pg_final_contribution,pg_total_contribution,pg_cumulative_payoff,pg_need_score,pg_cooperation_score,pg_priority_score,pg_peer_feedback_source_count,pg_peer_signal_round_2,pg_peer_signal_round_3,pg_linked_decision,pg_physical_coupon_pool,pg_coupons_created_by_multiplier,pg_allocation_reason,pg_api_round_one_called,pg_api_round_one_succeeded,pg_api_contribution_tokens,pg_api_response_source
509,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,171,digital_self,0.65,0.4255060845673156,0.35458656894139906,,False,0.6624688583803411,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
510,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.9950953838401498,,,False,0.26255248902276745,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
511,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,122,digital_self,0.65,0.5407812714504527,0.1087566180077349,,False,0.1055948165429098,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
512,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,100,digital_self,0.65,0.21374297180031654,0.015699089073726732,,False,0.01678838675773068,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
513,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.9501557392878303,,,False,0.1241275590576007,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
514,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.10026403734148857,0.6184315971204487,,False,0.19183621517006375,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
515,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.6902994035691415,,,False,0.11797536985249413,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
516,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,140,digital_self,0.65,0.06245429817850212,0.20542633862090903,,False,0.27565573175623853,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
517,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.3829154646602414,0.7085886087251223,,False,0.6519883295444132,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
518,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,104,digital_self,0.65,0.505625105468903,0.04674235041323121,,False,0.5288618359388243,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
