shared_state_key,corridor_id,direction,time_bin_start,endogenous_flow_pcu_per_hour,state_version,source_leg_ids
nine_zone_representative|all|2026-07-07T11:00,nine_zone_representative,all,2026-07-07 11:00:00,36.0,6,"[""874-2026-07-07-L02"", ""367-2026-07-07-L01"", ""836-2026-07-07-L01"", ""796-2026-07-07-L01"", ""926-2026-07-07-L01"", ""702-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T11:30,nine_zone_representative,all,2026-07-07 11:30:00,18.0,3,"[""253-2026-07-07-L01"", ""113-2026-07-07-L01"", ""898-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T12:00,nine_zone_representative,all,2026-07-07 12:00:00,24.0,4,"[""977-2026-07-07-L01"", ""821-2026-07-07-L01"", ""317-2026-07-07-L01"", ""755-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T12:30,nine_zone_representative,all,2026-07-07 12:30:00,24.0,4,"[""886-2026-07-07-L01"", ""149-2026-07-07-L01"", ""921-2026-07-07-L01"", ""681-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T13:00,nine_zone_representative,all,2026-07-07 13:00:00,6.0,1,"[""952-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T13:30,nine_zone_representative,all,2026-07-07 13:30:00,6.0,1,"[""600-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T14:00,nine_zone_representative,all,2026-07-07 14:00:00,18.0,3,"[""951-2026-07-07-L02"", ""287-2026-07-07-L01"", ""531-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T14:30,nine_zone_representative,all,2026-07-07 14:30:00,18.0,3,"[""187-2026-07-07-L02"", ""150-2026-07-07-L02"", ""953-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T15:00,nine_zone_representative,all,2026-07-07 15:00:00,6.0,1,"[""705-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T15:30,nine_zone_representative,all,2026-07-07 15:30:00,6.0,1,"[""544-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T16:00,nine_zone_representative,all,2026-07-07 16:00:00,24.0,4,"[""270-2026-07-07-L02"", ""317-2026-07-07-L02"", ""367-2026-07-07-L02"", ""180-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T16:30,nine_zone_representative,all,2026-07-07 16:30:00,18.0,3,"[""179-2026-07-07-L02"", ""364-2026-07-07-L02"", ""659-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T17:00,nine_zone_representative,all,2026-07-07 17:00:00,252.0,42,"[""613-2026-07-07-L02"", ""497-2026-07-07-L02"", ""254-2026-07-07-L02"", ""139-2026-07-07-L02"", ""94-2026-07-07-L02"", ""517-2026-07-07-L02"", ""49-2026-07-07-L02"", ""442-2026-07-07-L02"", ""499-2026-07-07-L02"", ""236-2026-07-07-L02"", ""67-2026-07-07-L02"", ""193-2026-07-07-L02"", ""3-2026-07-07-L02"", ""92-2026-07-07-L02"", ""707-2026-07-07-L02"", ""167-2026-07-07-L02"", ""186-2026-07-07-L02"", ""352-2026-07-07-L02"", ""97-2026-07-07-L02"", ""663-2026-07-07-L02"", ""453-2026-07-07-L02"", ""281-2026-07-07-L02"", ""40-2026-07-07-L02"", ""56-2026-07-07-L02"", ""448-2026-07-07-L02"", ""482-2026-07-07-L02"", ""584-2026-07-07-L02"", ""657-2026-07-07-L02"", ""347-2026-07-07-L02"", ""358-2026-07-07-L02"", ""718-2026-07-07-L02"", ""341-2026-07-07-L02"", ""598-2026-07-07-L02"", ""194-2026-07-07-L02"", ""205-2026-07-07-L02"", ""594-2026-07-07-L02"", ""296-2026-07-07-L02"", ""359-2026-07-07-L02"", ""553-2026-07-07-L02"", ""635-2026-07-07-L02"", ""142-2026-07-07-L02"", ""322-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T17:30,nine_zone_representative,all,2026-07-07 17:30:00,126.0,21,"[""213-2026-07-07-L02"", ""238-2026-07-07-L02"", ""627-2026-07-07-L02"", ""240-2026-07-07-L02"", ""388-2026-07-07-L02"", ""47-2026-07-07-L02"", ""137-2026-07-07-L02"", ""272-2026-07-07-L02"", ""93-2026-07-07-L02"", ""112-2026-07-07-L02"", ""390-2026-07-07-L02"", ""471-2026-07-07-L02"", ""201-2026-07-07-L02"", ""325-2026-07-07-L02"", ""135-2026-07-07-L02"", ""328-2026-07-07-L02"", ""28-2026-07-07-L02"", ""69-2026-07-07-L02"", ""253-2026-07-07-L02"", ""379-2026-07-07-L02"", ""564-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T18:00,nine_zone_representative,all,2026-07-07 18:00:00,72.0,12,"[""274-2026-07-07-L02"", ""129-2026-07-07-L02"", ""8-2026-07-07-L02"", ""134-2026-07-07-L02"", ""332-2026-07-07-L02"", ""386-2026-07-07-L02"", ""268-2026-07-07-L02"", ""86-2026-07-07-L02"", ""371-2026-07-07-L02"", ""307-2026-07-07-L02"", ""23-2026-07-07-L01"", ""88-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T18:30,nine_zone_representative,all,2026-07-07 18:30:00,114.0,19,"[""690-2026-07-07-L02"", ""384-2026-07-07-L02"", ""16-2026-07-07-L02"", ""244-2026-07-07-L02"", ""218-2026-07-07-L02"", ""318-2026-07-07-L02"", ""117-2026-07-07-L02"", ""51-2026-07-07-L02"", ""276-2026-07-07-L02"", ""14-2026-07-07-L02"", ""190-2026-07-07-L02"", ""50-2026-07-07-L02"", ""344-2026-07-07-L02"", ""152-2026-07-07-L02"", ""259-2026-07-07-L02"", ""312-2026-07-07-L02"", ""222-2026-07-07-L02"", ""43-2026-07-07-L02"", ""54-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T19:00,nine_zone_representative,all,2026-07-07 19:00:00,162.0,27,"[""174-2026-07-07-L02"", ""243-2026-07-07-L02"", ""128-2026-07-07-L02"", ""136-2026-07-07-L02"", ""324-2026-07-07-L02"", ""308-2026-07-07-L02"", ""301-2026-07-07-L02"", ""300-2026-07-07-L02"", ""664-2026-07-07-L02"", ""188-2026-07-07-L02"", ""576-2026-07-07-L02"", ""671-2026-07-07-L02"", ""168-2026-07-07-L02"", ""659-2026-07-07-L02"", ""726-2026-07-07-L02"", ""383-2026-07-07-L02"", ""287-2026-07-07-L02"", ""523-2026-07-07-L02"", ""99-2026-07-07-L02"", ""144-2026-07-07-L02"", ""108-2026-07-07-L02"", ""343-2026-07-07-L02"", ""113-2026-07-07-L02"", ""633-2026-07-07-L02"", ""153-2026-07-07-L02"", ""197-2026-07-07-L02"", ""13-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T19:30,nine_zone_representative,all,2026-07-07 19:30:00,138.0,23,"[""503-2026-07-07-L02"", ""229-2026-07-07-L02"", ""399-2026-07-07-L02"", ""592-2026-07-07-L02"", ""175-2026-07-07-L02"", ""87-2026-07-07-L02"", ""2-2026-07-07-L02"", ""474-2026-07-07-L02"", ""685-2026-07-07-L02"", ""121-2026-07-07-L02"", ""125-2026-07-07-L02"", ""65-2026-07-07-L02"", ""4-2026-07-07-L02"", ""116-2026-07-07-L02"", ""203-2026-07-07-L02"", ""321-2026-07-07-L01"", ""199-2026-07-07-L02"", ""668-2026-07-07-L02"", ""380-2026-07-07-L02"", ""310-2026-07-07-L02"", ""182-2026-07-07-L02"", ""178-2026-07-07-L02"", ""146-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T20:00,nine_zone_representative,all,2026-07-07 20:00:00,108.0,18,"[""209-2026-07-07-L03"", ""345-2026-07-07-L03"", ""214-2026-07-07-L02"", ""70-2026-07-07-L02"", ""382-2026-07-07-L02"", ""650-2026-07-07-L02"", ""681-2026-07-07-L03"", ""184-2026-07-07-L02"", ""119-2026-07-07-L03"", ""524-2026-07-07-L04"", ""54-2026-07-07-L03"", ""181-2026-07-07-L02"", ""319-2026-07-07-L02"", ""298-2026-07-07-L02"", ""365-2026-07-07-L02"", ""10-2026-07-07-L02"", ""221-2026-07-07-L02"", ""100-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T20:30,nine_zone_representative,all,2026-07-07 20:30:00,144.0,24,"[""429-2026-07-07-L02"", ""495-2026-07-07-L03"", ""379-2026-07-07-L03"", ""265-2026-07-07-L02"", ""247-2026-07-07-L02"", ""334-2026-07-07-L03"", ""387-2026-07-07-L02"", ""84-2026-07-07-L02"", ""27-2026-07-07-L03"", ""19-2026-07-07-L02"", ""321-2026-07-07-L02"", ""669-2026-07-07-L03"", ""231-2026-07-07-L02"", ""164-2026-07-07-L02"", ""476-2026-07-07-L03"", ""219-2026-07-07-L02"", ""604-2026-07-07-L03"", ""691-2026-07-07-L03"", ""398-2026-07-07-L02"", ""169-2026-07-07-L02"", ""304-2026-07-07-L02"", ""126-2026-07-07-L02"", ""88-2026-07-07-L03"", ""363-2026-07-07-L02""]"
nine_zone_representative|all|2026-07-07T21:00,nine_zone_representative,all,2026-07-07 21:00:00,102.0,17,"[""310-2026-07-07-L03"", ""392-2026-07-07-L03"", ""224-2026-07-07-L03"", ""113-2026-07-07-L03"", ""280-2026-07-07-L03"", ""326-2026-07-07-L03"", ""213-2026-07-07-L03"", ""309-2026-07-07-L03"", ""17-2026-07-07-L03"", ""152-2026-07-07-L03"", ""13-2026-07-07-L03"", ""212-2026-07-07-L03"", ""199-2026-07-07-L03"", ""371-2026-07-07-L03"", ""110-2026-07-07-L03"", ""64-2026-07-07-L03"", ""189-2026-07-07-L03""]"
nine_zone_representative|all|2026-07-07T21:30,nine_zone_representative,all,2026-07-07 21:30:00,18.0,3,"[""344-2026-07-07-L03"", ""253-2026-07-07-L03"", ""150-2026-07-07-L03""]"
nine_zone_representative|all|2026-07-07T22:00,nine_zone_representative,all,2026-07-07 22:00:00,120.0,20,"[""242-2026-07-07-L03"", ""138-2026-07-07-L03"", ""264-2026-07-07-L03"", ""356-2026-07-07-L03"", ""298-2026-07-07-L03"", ""363-2026-07-07-L03"", ""169-2026-07-07-L03"", ""197-2026-07-07-L03"", ""399-2026-07-07-L03"", ""118-2026-07-07-L03"", ""39-2026-07-07-L03"", ""313-2026-07-07-L03"", ""153-2026-07-07-L03"", ""260-2026-07-07-L03"", ""220-2026-07-07-L03"", ""100-2026-07-07-L03"", ""306-2026-07-07-L03"", ""339-2026-07-07-L03"", ""365-2026-07-07-L03"", ""267-2026-07-07-L03""]"
nine_zone_representative|all|2026-07-07T22:30,nine_zone_representative,all,2026-07-07 22:30:00,108.0,18,"[""304-2026-07-07-L03"", ""171-2026-07-07-L03"", ""200-2026-07-07-L03"", ""302-2026-07-07-L03"", ""158-2026-07-07-L03"", ""284-2026-07-07-L03"", ""263-2026-07-07-L03"", ""10-2026-07-07-L03"", ""126-2026-07-07-L03"", ""71-2026-07-07-L03"", ""144-2026-07-07-L03"", ""233-2026-07-07-L03"", ""319-2026-07-07-L03"", ""221-2026-07-07-L03"", ""69-2026-07-07-L03"", ""181-2026-07-07-L03"", ""43-2026-07-07-L03"", ""341-2026-07-07-L03""]"
