policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum
C1_public_limited,W0,mean_total_travel_time,10,62.5848,1.913093,62.462,60.45,67.395
C1_public_limited,W0,mean_road_speed_kmh,10,17.693,0.357977,17.671,17.264,18.172
C1_public_limited,W0,total_outdoor_exposure_minutes,10,2022.5835,123.731818,2050.093,1827.233,2246.862
C1_public_limited,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,coupon_reached,10,47.9,1.197219,48.0,46.0,50.0
C1_public_limited,W2,coupon_participated,10,32.3,2.311805,32.0,28.0,36.0
C1_public_limited,W2,coupon_awarded,10,10.0,0.0,10.0,10.0,10.0
C1_public_limited,W2,coupon_redeemed,10,3.6,1.897367,3.5,1.0,6.0
C1_public_limited,W2,coupon_induced_requests,10,1.7,1.766981,1.0,0.0,5.0
C1_public_limited,W2,coupon_subsidy_yuan,10,26.53,16.55369,22.54,4.79,49.82
C1_public_limited,W2,ride_hailing_requests,10,14.7,2.790858,14.5,11.0,21.0
C1_public_limited,W2,successful_ride_hailing_requests,10,13.2,2.250926,13.0,10.0,17.0
C1_public_limited,W2,ride_hailing_failed,10,1.5,2.173067,1.0,0.0,6.0
C1_public_limited,W2,mean_ride_hailing_wait_minutes_per_request,10,12.024868,1.481571,12.262004,9.515182,14.478067
C1_public_limited,W2,fallback_attempts,10,1.5,2.173067,1.0,0.0,6.0
C1_public_limited,W2,fallback_succeeded,10,1.5,2.173067,1.0,0.0,6.0
C1_public_limited,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,mandatory_activity_incomplete,10,1.2,0.918937,1.0,0.0,3.0
C1_public_limited,W2,activity_completion_rate,10,0.950589,0.025891,0.943882,0.913793,1.0
C1_public_limited,W2,necessary_activity_completion_rate,10,0.967828,0.024418,0.972973,0.921053,1.0
C1_public_limited,W2,walking_mode_share,10,0.007275,0.006991,0.010105,0.0,0.020619
C1_public_limited,W2,bus_mode_share,10,0.358206,0.056379,0.342325,0.295455,0.465347
C1_public_limited,W2,metro_mode_share,10,0.493889,0.049553,0.512981,0.408602,0.546392
C1_public_limited,W2,ride_hailing_mode_share,10,0.14063,0.029305,0.141371,0.09901,0.188889
C1_public_limited,W2,mean_total_travel_time,10,63.7621,2.491676,62.9795,60.449,68.106
C1_public_limited,W2,mean_road_speed_kmh,10,17.237,0.745953,17.253,16.104,18.403
C1_public_limited,W2,total_outdoor_exposure_minutes,10,2051.7086,146.885894,1987.8855,1892.873,2315.783
C1_public_limited,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,coupon_reached,10,10.9,1.197219,11.0,9.0,13.0
C2_elder_limited,W0,coupon_participated,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,coupon_awarded,10,9.9,0.316228,10.0,9.0,10.0
C2_elder_limited,W0,coupon_redeemed,10,0.1,0.316228,0.0,0.0,1.0
C2_elder_limited,W0,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,coupon_subsidy_yuan,10,0.411,1.299696,0.0,0.0,4.11
C2_elder_limited,W0,ride_hailing_requests,10,5.9,2.469818,6.0,2.0,11.0
C2_elder_limited,W0,successful_ride_hailing_requests,10,5.7,2.057507,6.0,2.0,9.0
