seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_expired_after_failed_request,coupon_induced_requests,coupon_subsidy_yuan,mean_ride_hailing_wait_minutes_per_request
54,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,50,52,50,0.961538,37,35,0.945946,0,0,0,99,99,0,1.0,1,46,46,6,0.010101,0.464646,0.464646,0.060606,6,6,0,0,0,0,0,0,2,2,0,2,7.166,7.583,20,0.434783,26.599,10.111,61.752,5.085,50,0.961538,27,1,0.037037,44,0.709677,1018.941,46,22,68,6,1024.941,0.680965,18.051,37,62,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,2073.632,0.0,0.0,0.0,0.0,0.0,0.0,739.132,47,34,10,1,0,1,4.63,10.111333
54,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,50,52,50,0.961538,37,36,0.972973,1,0,0,90,90,0,1.0,0,31,46,13,0.0,0.344444,0.511111,0.144444,14,13,1,1,1,1,1,0,1,1,0,1,7.862,7.759,20,0.434783,29.318,11.403,61.737,8.249,46,0.978723,17,0,0.0,43,0.767857,1018.941,31,23,54,13,1031.941,0.727275,17.982,34,56,12,12,0,"{""Z1"": 2, ""Z2"": 3, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,39,4,47,0,0,1892.873,0.0,0.0,0.0,0.0,0.0,1124.493092,768.873,47,34,10,2,0,1,13.45,12.017143
54,C2_elder_limited,coupon_C2_elder_limited,W0,normal,workday,50,52,50,0.961538,37,35,0.945946,0,0,0,99,99,0,1.0,1,47,46,5,0.010101,0.474747,0.464646,0.050505,5,5,0,0,0,0,0,0,2,2,0,2,7.348,7.583,20,0.434783,26.599,10.0,62.024,4.918,50,0.961538,27,1,0.037037,44,0.709677,1018.941,47,22,69,5,1023.941,0.680955,17.762,37,62,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,2090.679,0.0,0.0,0.0,0.0,0.0,0.0,744.179,10,0,10,0,0,0,0.0,10.0002
54,C2_elder_limited,coupon_C2_elder_limited,W2,heavy_rain,workday,50,52,50,0.961538,37,36,0.972973,1,0,0,90,90,0,1.0,0,32,46,12,0.0,0.355556,0.511111,0.133333,13,12,1,1,1,1,1,0,1,1,0,1,7.794,7.759,20,0.434783,29.318,11.242,62.204,7.93,46,0.978723,18,0,0.0,43,0.767857,1018.941,32,23,55,12,1030.941,0.727215,17.754,34,56,12,12,0,"{""Z1"": 2, ""Z2"": 3, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,39,4,47,0,0,1897.253,0.0,0.0,0.0,0.0,0.0,1128.873092,761.253,10,0,10,0,0,0,0.0,11.915846
54,C3_mixed,coupon_C3_mixed,W0,normal,workday,50,52,50,0.961538,37,35,0.945946,0,0,0,99,99,0,1.0,1,46,46,6,0.010101,0.464646,0.464646,0.060606,6,6,0,0,0,0,0,0,2,2,0,2,7.166,7.583,20,0.434783,26.599,10.111,61.752,5.085,50,0.961538,27,1,0.037037,44,0.709677,1018.941,46,22,68,6,1024.941,0.680965,18.051,37,62,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,2073.632,0.0,0.0,0.0,0.0,0.0,0.0,739.132,47,34,10,1,0,1,4.63,10.111333
54,C3_mixed,coupon_C3_mixed,W2,heavy_rain,workday,50,52,50,0.961538,37,36,0.972973,1,0,0,90,90,0,1.0,0,32,46,12,0.0,0.355556,0.511111,0.133333,13,12,1,1,1,1,1,0,1,1,0,1,7.794,7.759,20,0.434783,29.318,11.242,62.204,7.879,46,0.978723,18,0,0.0,43,0.767857,1018.941,32,23,55,12,1030.941,0.727215,17.754,34,56,12,12,0,"{""Z1"": 2, ""Z2"": 3, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,39,4,47,0,0,1897.253,0.0,0.0,0.0,0.0,0.0,1128.873092,761.253,47,34,10,1,0,0,4.63,11.915846
55,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,50,56,54,0.964286,38,36,0.947368,0,0,0,105,105,0,1.0,0,61,42,2,0.0,0.580952,0.4,0.019048,2,2,0,0,0,0,0,0,0,2,0,2,6.89,7.583,20,0.47619,27.402,9.129,63.086,4.043,56,1.0,32,0,0.0,33,0.578947,1018.941,61,23,84,2,1020.941,0.705426,16.626,48,57,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,56,0,0,2123.039,0.0,0.0,0.0,0.0,0.0,0.0,757.039,0,0,0,0,0,0,0.0,9.129
55,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,50,56,52,0.928571,38,36,0.947368,2,0,0,101,101,0,1.0,0,41,53,7,0.0,0.405941,0.524752,0.069307,7,7,0,0,0,0,0,0,1,2,0,2,7.833,8.169,26,0.490566,33.514,10.481,64.171,5.982,52,0.981132,22,0,0.0,39,0.709091,1018.941,41,35,76,7,1025.941,0.731694,16.163,46,55,12,12,0,"{""Z1"": 0, ""Z2"": 3, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,35,1,53,0,0,2201.486,0.0,0.0,0.0,0.0,0.0,1469.006,827.486,0,0,0,0,0,0,0.0,10.481
55,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,50,56,54,0.964286,38,36,0.947368,0,0,0,105,105,0,1.0,0,58,42,5,0.0,0.552381,0.4,0.047619,5,5,0,0,0,0,0,0,0,2,0,2,6.591,7.583,20,0.47619,27.402,11.478,62.241,4.667,56,1.0,30,0,0.0,33,0.578947,1018.941,58,23,81,5,1023.941,0.701563,17.264,48,57,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,56,0,0,2088.172,0.0,0.0,0.0,0.0,0.0,0.0,758.172,49,36,10,4,0,3,25.37,11.4782
55,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,50,56,52,0.928571,38,36,0.947368,2,0,0,101,101,0,1.0,0,38,52,11,0.0,0.376238,0.514851,0.108911,12,11,1,1,1,1,1,0,1,2,0,2,7.483,7.952,25,0.480769,33.226,11.721,63.06,6.938,52,0.981132,20,0,0.0,38,0.690909,1018.941,38,34,72,11,1029.941,0.727411,16.99,46,55,12,12,0,"{""Z1"": 0, ""Z2"": 3, ""Z3"": 2, ""Z4"": 0, ""Z5"": 1, ""Z6"": 1, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,35,1,53,0,0,2160.777,0.0,0.0,0.0,0.0,0.0,1481.88,846.777,49,36,10,6,1,5,41.0,12.410779
