policy,weather_scenario,group,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W0,60+_nondigital_unassisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W0,60+_nondigital_unassisted,total_outdoor_exposure_minutes,10,74.2013,46.962673,64.857,0.0,169.954
C0_no_coupon,W0,60+_nondigital_unassisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,ride_hailing_requests,10,8.9,2.558211,8.5,5.0,14.0
C0_no_coupon,W2,18-39,successful_ride_hailing_requests,10,7.6,3.134042,7.5,4.0,14.0
C0_no_coupon,W2,18-39,failed_ride_hailing_requests,10,1.3,2.002776,0.5,0.0,5.0
C0_no_coupon,W2,18-39,mean_ride_hailing_wait_minutes_per_request,10,11.68378,2.14392,11.055473,9.41675,15.391778
C0_no_coupon,W2,18-39,fallback_attempts,10,1.3,2.002776,0.5,0.0,5.0
C0_no_coupon,W2,18-39,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,mandatory_activity_incomplete,10,1.0,0.816497,1.0,0.0,2.0
C0_no_coupon,W2,18-39,necessary_activity_completion_rate,10,0.944444,0.045361,0.944444,0.888889,1.0
C0_no_coupon,W2,18-39,total_outdoor_exposure_minutes,10,989.1723,107.371718,962.0575,853.058,1137.643
C0_no_coupon,W2,18-39,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,ride_hailing_requests,10,4.0,2.357023,4.0,0.0,8.0
C0_no_coupon,W2,40-59,successful_ride_hailing_requests,10,3.9,2.18327,4.0,0.0,7.0
C0_no_coupon,W2,40-59,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,40-59,mean_ride_hailing_wait_minutes_per_request,10,11.418506,4.614653,12.691337,0.0,17.469889
C0_no_coupon,W2,40-59,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,40-59,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,mandatory_activity_incomplete,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,40-59,necessary_activity_completion_rate,10,0.994118,0.018602,1.0,0.941176,1.0
