policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C2_elder_limited,C0_no_coupon,W0,fallback_succeeded,0.2,0.2,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,mandatory_activity_incomplete,1.5,1.5,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,activity_completion_rate,0.96851,0.96851,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,necessary_activity_completion_rate,0.960009,0.960009,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,walking_mode_share,0.016357,0.016357,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,bus_mode_share,0.536523,0.536523,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,metro_mode_share,0.389297,0.389297,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.057822,0.057822,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,mean_total_travel_time,63.0522,63.0522,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,mean_road_speed_kmh,17.4104,17.4104,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,total_outdoor_exposure_minutes,2033.8492,2033.8492,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_reached,0.0,10.9,10.9,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_participated,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_awarded,0.0,9.9,9.9,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_redeemed,0.0,0.1,0.1,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_induced_requests,0.0,0.3,0.3,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,0.411,0.411,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,ride_hailing_requests,13.0,13.3,0.3,2.307692,True,
C2_elder_limited,C0_no_coupon,W2,successful_ride_hailing_requests,11.6,11.6,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,ride_hailing_failed,1.4,1.7,0.3,21.428571,True,
C2_elder_limited,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.968436,12.18665,0.218214,1.823246,True,
C2_elder_limited,C0_no_coupon,W2,fallback_attempts,1.4,1.7,0.3,21.428571,True,
C2_elder_limited,C0_no_coupon,W2,fallback_succeeded,1.4,1.7,0.3,21.428571,True,
C2_elder_limited,C0_no_coupon,W2,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,mandatory_activity_incomplete,1.1,1.1,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,activity_completion_rate,0.952476,0.950589,-0.001887,-0.198115,True,
C2_elder_limited,C0_no_coupon,W2,necessary_activity_completion_rate,0.97046,0.97046,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,walking_mode_share,0.007275,0.007275,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,bus_mode_share,0.367553,0.367553,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,metro_mode_share,0.501236,0.501236,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,ride_hailing_mode_share,0.123937,0.123937,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,mean_total_travel_time,64.2165,64.2769,0.0604,0.094057,True,
C2_elder_limited,C0_no_coupon,W2,mean_road_speed_kmh,16.9105,16.9103,-0.0002,-0.001183,True,
C2_elder_limited,C0_no_coupon,W2,total_outdoor_exposure_minutes,2071.9603,2077.804,5.8437,0.282037,True,
C2_elder_limited,C0_no_coupon,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_reached,0.0,48.4,48.4,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_participated,0.0,32.3,32.3,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_awarded,0.0,10.0,10.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_redeemed,0.0,1.7,1.7,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_induced_requests,0.0,0.9,0.9,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,10.857,10.857,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,ride_hailing_requests,5.9,6.8,0.9,15.254237,True,
C3_mixed,C0_no_coupon,W0,successful_ride_hailing_requests,5.7,6.5,0.8,14.035088,True,
C3_mixed,C0_no_coupon,W0,ride_hailing_failed,0.2,0.3,0.1,50.0,True,
C3_mixed,C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10.314456,10.620677,0.306221,2.968853,True,
C3_mixed,C0_no_coupon,W0,fallback_attempts,0.2,0.3,0.1,50.0,True,
C3_mixed,C0_no_coupon,W0,fallback_succeeded,0.2,0.3,0.1,50.0,True,
C3_mixed,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,mandatory_activity_incomplete,1.5,1.5,0.0,0.0,True,
C3_mixed,C0_no_coupon,W0,activity_completion_rate,0.96851,0.96851,0.0,0.0,True,
C3_mixed,C0_no_coupon,W0,necessary_activity_completion_rate,0.960009,0.960009,0.0,0.0,True,
C3_mixed,C0_no_coupon,W0,walking_mode_share,0.016357,0.016357,0.0,0.0,True,
C3_mixed,C0_no_coupon,W0,bus_mode_share,0.536523,0.529729,-0.006794,-1.266302,True,
C3_mixed,C0_no_coupon,W0,metro_mode_share,0.389297,0.388277,-0.00102,-0.262011,True,
C3_mixed,C0_no_coupon,W0,ride_hailing_mode_share,0.057822,0.065637,0.007815,13.515617,True,
C3_mixed,C0_no_coupon,W0,mean_total_travel_time,63.0522,62.8389,-0.2133,-0.338291,True,
C3_mixed,C0_no_coupon,W0,mean_road_speed_kmh,17.4104,17.5909,0.1805,1.036737,True,
C3_mixed,C0_no_coupon,W0,total_outdoor_exposure_minutes,2033.8492,2028.2116,-5.6376,-0.277189,True,
C3_mixed,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_reached,0.0,48.4,48.4,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_participated,0.0,32.3,32.3,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_awarded,0.0,10.0,10.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_redeemed,0.0,2.4,2.4,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_induced_requests,0.0,1.1,1.1,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,16.307,16.307,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,ride_hailing_requests,13.0,14.1,1.1,8.461538,True,
C3_mixed,C0_no_coupon,W2,successful_ride_hailing_requests,11.6,12.6,1.0,8.62069,True,
C3_mixed,C0_no_coupon,W2,ride_hailing_failed,1.4,1.5,0.1,7.142857,True,
C3_mixed,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.968436,11.940779,-0.027657,-0.231083,True,
C3_mixed,C0_no_coupon,W2,fallback_attempts,1.4,1.5,0.1,7.142857,True,
C3_mixed,C0_no_coupon,W2,fallback_succeeded,1.4,1.5,0.1,7.142857,True,
C3_mixed,C0_no_coupon,W2,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,mandatory_activity_incomplete,1.1,1.2,0.1,9.090909,True,
C3_mixed,C0_no_coupon,W2,activity_completion_rate,0.952476,0.948703,-0.003773,-0.396125,True,
C3_mixed,C0_no_coupon,W2,necessary_activity_completion_rate,0.97046,0.967828,-0.002632,-0.271212,True,
C3_mixed,C0_no_coupon,W2,walking_mode_share,0.007275,0.007275,0.0,0.0,True,
C3_mixed,C0_no_coupon,W2,bus_mode_share,0.367553,0.362373,-0.00518,-1.409321,True,
C3_mixed,C0_no_coupon,W2,metro_mode_share,0.501236,0.4961,-0.005136,-1.024667,True,
C3_mixed,C0_no_coupon,W2,ride_hailing_mode_share,0.123937,0.134252,0.010315,8.322777,True,
C3_mixed,C0_no_coupon,W2,mean_total_travel_time,64.2165,63.9399,-0.2766,-0.43073,True,
C3_mixed,C0_no_coupon,W2,mean_road_speed_kmh,16.9105,17.1189,0.2084,1.23237,True,
C3_mixed,C0_no_coupon,W2,total_outdoor_exposure_minutes,2071.9603,2058.1843,-13.776,-0.664878,True,
C3_mixed,C0_no_coupon,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
