leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
27-2026-07-11-L01,27,2026-07-11,Saturday,outbound,activity-27-2026-07-11-009,shopping,Z3,Z3,2026-07-11 12:24:27.094200,2026-07-11 13:00:00,2026-07-11 11:00:00,10.0,2026-07-11 12:50:00,2026-07-11 12:50:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 12:24:27.094200,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,10.548,25.548,2.0,17.97,0.477778,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
27-2026-07-11-L02,27,2026-07-11,Saturday,return_home,activity-27-2026-07-11-009,return_home,Z3,Z3,2026-07-11 14:30:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 14:30:00,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,10.548,25.548,2.0,17.972,0.476667,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
3-2026-07-11-L01,3,2026-07-11,Saturday,outbound,activity-3-2026-07-11-007,social_leisure,Z2,Z2,2026-07-11 11:11:18.092580,2026-07-11 12:00:00,2026-07-11 10:00:00,10.0,2026-07-11 11:50:00,2026-07-11 11:50:00,0.0,True,True,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 11:11:18.092580,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,23.698,38.698,2.0,17.972,0.476667,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.0,0.0,0.0
3-2026-07-11-L02,3,2026-07-11,Saturday,between_activities,activity-3-2026-07-11-008,out_of_home_family_activity,Z2,Z1,2026-07-11 14:37:22.700520,2026-07-11 15:30:00,2026-07-11 13:30:00,10.0,2026-07-11 15:20:00,2026-07-11 15:20:00,0.0,True,True,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 14:37:22.700520,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,27.622,42.622,2.0,17.972,0.476667,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.0,0.0,0.0
3-2026-07-11-L03,3,2026-07-11,Saturday,return_home,activity-3-2026-07-11-008,return_home,Z1,Z2,2026-07-11 21:30:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 21:30:00,bus,False,,False,False,bus,True,11.0,0.0,11.0,8.0,0.0,27.584,46.584,2.0,17.996,0.313333,normal,W0,rest_day,P0_no_policy,19.0,0.0,1.0,0.0,0.0
30-2026-07-11-L01,30,2026-07-11,Saturday,outbound,activity-30-2026-07-11-008,shopping,Z1,Z1,2026-07-11 12:55:57.282180,2026-07-11 13:30:00,2026-07-11 11:30:00,10.0,2026-07-11 13:20:00,2026-07-11 13:20:00,0.0,True,True,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 12:55:57.282180,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,9.045,24.045,2.0,17.972,0.476667,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
30-2026-07-11-L02,30,2026-07-11,Saturday,return_home,activity-30-2026-07-11-008,return_home,Z1,Z1,2026-07-11 14:00:00,,,10.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 14:00:00,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,9.046,24.046,2.0,17.971,0.477222,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
31-2026-07-11-L01,31,2026-07-11,Saturday,outbound,activity-31-2026-07-11-006,shopping,Z2,Z1,2026-07-11 16:34:10.522080,2026-07-11 17:30:00,2026-07-11 15:30:00,10.0,2026-07-11 17:19:50.610600,2026-07-11 17:19:50.610600,0.0,True,True,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 16:34:10.522080,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,30.668,45.668,2.0,16.186,0.477222,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
31-2026-07-11-L02,31,2026-07-11,Saturday,return_home,activity-31-2026-07-11-006,return_home,Z1,Z2,2026-07-11 19:00:00,,,10.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 19:00:00,bus,False,,False,False,bus,True,4.8,0.0,4.8,8.0,0.0,32.624,45.424,2.0,15.216,0.681928,normal,W0,rest_day,P0_no_policy,12.8,0.0,1.1,0.0,0.0
32-2026-07-11-L01,32,2026-07-11,Saturday,outbound,activity-32-2026-07-11-006,shopping,Z3,Z3,2026-07-11 17:18:08.998080,2026-07-11 18:00:00,2026-07-11 16:00:00,10.0,2026-07-11 17:50:04.200000,2026-07-11 17:50:04.200000,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 17:18:08.998080,bus,False,,False,False,bus,True,4.428,0.0,4.428,8.0,0.0,19.492,31.92,2.0,15.088,0.933333,normal,W0,rest_day,P0_no_policy,12.428,0.0,1.1,0.0,0.0
