seed,policy,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,fallback_attempts,fallback_successes,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes
47,P0_no_policy,W0,normal,workday,50,52,52,1.0,38,38,1.0,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,718.941,54,21,75,6,724.941,0.72765,17.272,34,63,16,16,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 4, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541
47,P0_no_policy,W0,normal,rest_day,50,78,78,1.0,2,2,1.0,0,0,0,121,121,0,1.0,7,77,29,8,0.057851,0.636364,0.239669,0.066116,10,8,2,2,2,7.916,7.935,12,0.413793,25.517,9.24,55.189,4.124,77,0.987179,46,1,0.021739,22,0.44898,802.941,77,13,90,8,810.941,0.595825,18.138,72,49,13,13,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,78,0,0,2508.548,0.0,0.0,0.0,0.0,0.0,0.0,953.584
