policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum,baseline_access_group
D0_baseline,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,planned_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_baseline_nondigital_assisted
D0_baseline,W0,completed_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_baseline_nondigital_assisted
D0_baseline,W0,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,necessary_activity_completion_rate,8,1.0,0.0,1.0,1.0,1.0,elder_baseline_nondigital_assisted
D0_baseline,W0,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,bus_legs,10,6.0,2.905933,5.5,2.0,10.0,elder_baseline_nondigital_assisted
D0_baseline,W0,metro_legs,10,0.8,0.788811,1.0,0.0,2.0,elder_baseline_nondigital_assisted
D0_baseline,W0,ride_hailing_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,mean_total_travel_time,10,56.954133,10.183241,56.699418,37.9855,70.335625,elder_baseline_nondigital_assisted
D0_baseline,W0,total_outdoor_exposure_minutes,10,128.7746,57.153246,132.714,39.791,219.415,elder_baseline_nondigital_assisted
D0_baseline,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D0_baseline,W0,policy_digital_agent_count,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,policy_assisted_agent_count,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,policy_proxy_agent_count,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,successful_ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,failed_ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,fallback_attempts,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,transport_unmet,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,planned_necessary_activities,9,0.444444,0.527046,0.0,0.0,1.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,completed_necessary_activities,9,0.444444,0.527046,0.0,0.0,1.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,mandatory_activity_incomplete,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,necessary_activity_completion_rate,4,1.0,0.0,1.0,1.0,1.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,walking_legs,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,bus_legs,9,3.111111,1.615893,3.0,1.0,6.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,metro_legs,9,1.0,1.5,0.0,0.0,4.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,ride_hailing_legs,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W0,mean_total_travel_time,9,56.38388,17.753554,60.003667,29.644333,78.1,elder_baseline_nondigital_unassisted
D0_baseline,W0,total_outdoor_exposure_minutes,9,82.445889,41.430426,68.0,39.8,169.954,elder_baseline_nondigital_unassisted
D0_baseline,W0,total_heat_risk_burden,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D0_baseline,W2,policy_digital_agent_count,10,20.0,0.0,20.0,20.0,20.0,18-39
D0_baseline,W2,policy_assisted_agent_count,10,0.0,0.0,0.0,0.0,0.0,18-39
