seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,vehicle_total,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,no_vehicle_failures,wait_limit_failures,non_capacity_failures,successful_orders_per_vehicle,vehicle_used_share,competition_event,collapse_event
49,P0_no_policy,fleet_48,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.63,61.147,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,48,48,0,"{""Z1"": 7, ""Z2"": 9, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,212,0,0,7344.593,0.0,0.0,0.0,0.0,0.0,0.0,2834.922,48,10.629741,15.0,0,0,0,0.5625,0.333333,False,False
49,P0_no_policy,fleet_48,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,216,130,31,0.028351,0.556701,0.335052,0.079897,31,31,0,0,0,0,0,0,1,3,0,3,6.689,7.92,65,0.5,27.01,10.548,60.929,5.474,209,0.995238,117,0,0.0,112,0.525822,1018.941,216,75,291,31,1049.941,0.731224,17.647,175,213,48,48,0,"{""Z1"": 8, ""Z2"": 8, ""Z3"": 4, ""Z4"": 5, ""Z5"": 5, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 4}",True,True,29,0,210,0,0,7227.593,51142.431003,57055.278239,35013.857672,238.189508,233.425718,0.0,2801.322,48,10.548484,22.0,0,0,0,0.645833,0.375,False,False
49,P0_no_policy,fleet_48,W2,heavy_rain,workday,200,212,200,0.943396,150,147,0.98,9,0,0,371,371,0,1.0,2,142,169,58,0.005391,0.382749,0.455526,0.156334,58,58,0,0,0,0,0,0,3,3,0,3,7.395,8.689,96,0.568047,32.137,11.795,63.943,8.055,196,0.984925,71,0,0.0,141,0.681159,1018.941,142,122,264,58,1076.941,0.817394,16.973,164,207,48,48,0,"{""Z1"": 7, ""Z2"": 9, ""Z3"": 4, ""Z4"": 5, ""Z5"": 6, ""Z6"": 4, ""Z7"": 5, ""Z8"": 4, ""Z9"": 4}",True,True,177,4,199,0,0,7495.38,0.0,0.0,0.0,0.0,0.0,5041.93991,3202.78,48,11.795469,26.370295,0,0,0,1.208333,0.520833,False,False
49,P0_no_policy,fleet_36,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.63,61.147,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 4, ""Z6"": 3, ""Z7"": 4, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,212,0,0,7344.593,0.0,0.0,0.0,0.0,0.0,0.0,2834.922,36,10.629741,15.0,0,0,0,0.75,0.444444,False,False
49,P0_no_policy,fleet_36,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,216,130,31,0.028351,0.556701,0.335052,0.079897,31,31,0,0,0,0,0,0,1,3,0,3,6.689,7.92,65,0.5,27.01,10.548,60.929,5.474,209,0.995238,117,0,0.0,112,0.525822,1018.941,216,75,291,31,1049.941,0.731224,17.647,175,213,36,36,0,"{""Z1"": 6, ""Z2"": 6, ""Z3"": 3, ""Z4"": 4, ""Z5"": 4, ""Z6"": 3, ""Z7"": 4, ""Z8"": 3, ""Z9"": 3}",True,True,29,0,210,0,0,7227.593,51142.431003,57055.278239,35013.857672,238.189508,233.425718,0.0,2801.322,36,10.548484,22.0,0,0,0,0.861111,0.5,False,False
49,P0_no_policy,fleet_36,W2,heavy_rain,workday,200,212,198,0.933962,150,145,0.966667,9,0,0,371,371,0,1.0,2,144,169,56,0.005391,0.38814,0.455526,0.150943,58,56,2,2,2,2,2,0,5,5,0,5,7.377,8.689,96,0.568047,32.136,11.857,64.216,7.904,194,0.974874,73,2,0.027397,141,0.681159,1018.941,144,122,266,56,1074.941,0.817292,16.874,164,207,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 5, ""Z6"": 3, ""Z7"": 3, ""Z8"": 3, ""Z9"": 3}",True,True,177,4,199,0,0,7551.385,0.0,0.0,0.0,0.0,0.0,5097.95091,3234.785,36,12.137909,28.897651,0,2,0,1.555556,0.666667,True,False
49,P0_no_policy,fleet_24,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.63,61.147,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,24,24,0,"{""Z1"": 3, ""Z2"": 5, ""Z3"": 2, ""Z4"": 3, ""Z5"": 3, ""Z6"": 2, ""Z7"": 2, ""Z8"": 2, ""Z9"": 2}",True,True,0,0,212,0,0,7344.593,0.0,0.0,0.0,0.0,0.0,0.0,2834.922,24,10.629741,15.0,0,0,0,1.125,0.666667,False,False
49,P0_no_policy,fleet_24,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,216,130,31,0.028351,0.556701,0.335052,0.079897,31,31,0,0,0,0,0,0,1,3,0,3,6.689,7.92,65,0.5,27.01,10.548,60.929,5.474,209,0.995238,117,0,0.0,112,0.525822,1018.941,216,75,291,31,1049.941,0.731224,17.647,175,213,24,24,0,"{""Z1"": 4, ""Z2"": 4, ""Z3"": 2, ""Z4"": 3, ""Z5"": 3, ""Z6"": 2, ""Z7"": 2, ""Z8"": 2, ""Z9"": 2}",True,True,29,0,210,0,0,7227.593,51142.431003,57055.278239,35013.857672,238.189508,233.425718,0.0,2801.322,24,10.548484,22.0,0,0,0,1.291667,0.75,False,False
49,P0_no_policy,fleet_24,W2,heavy_rain,workday,200,212,196,0.924528,150,143,0.953333,9,0,0,371,371,0,1.0,2,146,169,54,0.005391,0.393531,0.455526,0.145553,58,54,4,4,4,4,4,0,7,7,0,7,7.359,8.689,96,0.568047,32.135,11.949,64.529,7.72,192,0.964824,75,4,0.053333,141,0.681159,1018.941,146,122,268,54,1072.941,0.817204,16.775,164,207,24,24,0,"{""Z1"": 3, ""Z2"": 5, ""Z3"": 2, ""Z4"": 3, ""Z5"": 4, ""Z6"": 2, ""Z7"": 1, ""Z8"": 2, ""Z9"": 2}",True,True,177,4,199,0,0,7608.801,0.0,0.0,0.0,0.0,0.0,5155.37291,3268.201,24,12.504686,31.125021,0,4,0,2.25,0.833333,True,False
49,P0_no_policy,fleet_18,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.877,61.164,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,18,18,0,"{""Z1"": 2, ""Z2"": 4, ""Z3"": 2, ""Z4"": 2, ""Z5"": 2, ""Z6"": 2, ""Z7"": 1, ""Z8"": 2, ""Z9"": 1}",True,True,0,0,212,0,0,7351.257,0.0,0.0,0.0,0.0,0.0,0.0,2841.586,18,10.876544,17.330677,0,0,0,1.5,0.777778,False,False
49,P0_no_policy,fleet_18,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,216,130,31,0.028351,0.556701,0.335052,0.079897,31,31,0,0,0,0,0,0,1,3,0,3,6.689,7.92,65,0.5,27.01,10.995,60.965,5.474,209,0.995238,117,0,0.0,112,0.525822,1018.941,216,75,291,31,1049.941,0.731224,17.647,175,213,18,18,0,"{""Z1"": 3, ""Z2"": 3, ""Z3"": 2, ""Z4"": 2, ""Z5"": 2, ""Z6"": 2, ""Z7"": 1, ""Z8"": 2, ""Z9"": 1}",True,True,29,0,210,0,0,7241.438,51274.734003,57187.581239,35146.160672,239.089528,234.307738,0.0,2815.167,18,10.995083,29.180898,0,0,0,1.722222,0.833333,False,False
49,P0_no_policy,fleet_18,W2,heavy_rain,workday,200,212,196,0.924528,150,143,0.953333,9,0,0,371,371,0,1.0,2,148,169,52,0.005391,0.398922,0.455526,0.140162,58,52,6,6,6,6,6,0,7,7,0,7,7.399,8.689,96,0.568047,32.134,12.086,64.899,7.523,192,0.964824,75,4,0.053333,141,0.681159,1018.941,148,122,270,52,1070.941,0.818309,16.677,164,207,18,18,0,"{""Z1"": 2, ""Z2"": 4, ""Z3"": 2, ""Z4"": 2, ""Z5"": 3, ""Z6"": 2, ""Z7"": 0, ""Z8"": 2, ""Z9"": 1}",True,True,177,4,199,0,0,7684.549,0.0,0.0,0.0,0.0,0.0,5229.1304,3311.949,18,12.904259,31.125021,0,6,0,2.888889,0.944444,True,False
49,P0_no_policy,fleet_12,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,225,130,25,0.028133,0.575448,0.332481,0.063939,27,25,2,2,2,2,2,0,1,3,0,3,6.845,7.957,65,0.5,27.048,11.22,61.419,5.059,211,0.995283,121,0,0.0,112,0.525822,1018.941,225,75,300,25,1043.941,0.731818,17.278,178,213,12,12,0,"{""Z1"": 1, ""Z2"": 3, ""Z3"": 1, ""Z4"": 2, ""Z5"": 2, ""Z6"": 1, ""Z7"": 0, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,212,0,0,7424.807,0.0,0.0,0.0,0.0,0.0,0.0,2895.136,12,11.870487,20.0,0,2,0,2.083333,0.833333,True,False
49,P0_no_policy,fleet_12,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,218,130,29,0.028351,0.561856,0.335052,0.074742,31,29,2,2,2,2,2,0,1,3,0,3,6.75,7.92,65,0.5,27.01,11.299,61.222,5.34,209,0.995238,117,0,0.0,112,0.525822,1018.941,218,75,293,29,1047.941,0.731195,17.526,175,213,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 2, ""Z5"": 2, ""Z6"": 1, ""Z7"": 0, ""Z8"": 1, ""Z9"": 1}",True,True,29,0,210,0,0,7314.988,51655.636336,57588.640372,35398.719805,240.807618,235.991465,0.0,2868.717,12,11.860776,29.180898,0,2,0,2.416667,0.916667,True,False
49,P0_no_policy,fleet_12,W2,heavy_rain,workday,200,212,192,0.90566,150,140,0.933333,9,0,0,371,371,0,1.0,2,157,169,43,0.005391,0.423181,0.455526,0.115903,58,43,15,15,15,15,15,0,12,11,0,10,7.401,8.689,96,0.568047,32.133,12.118,66.017,6.809,187,0.939698,80,9,0.1125,141,0.681159,1018.941,157,122,279,43,1061.941,0.817713,16.21,164,207,12,12,0,"{""Z1"": 0, ""Z2"": 4, ""Z3"": 1, ""Z4"": 2, ""Z5"": 2, ""Z6"": 1, ""Z7"": 0, ""Z8"": 1, ""Z9"": 1}",True,True,177,4,199,0,0,7922.122,0.0,0.0,0.0,0.0,0.0,5353.96468,3451.523,12,14.156678,31.12804,0,15,0,3.583333,1.0,True,False
