vehicle_total,weather_scenario,metric,mean,std_dev,median,minimum,maximum
36,W0,vehicle_used_share,0.388889,0.055556,0.388889,0.333333,0.444444
36,W1,ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
36,W1,successful_ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
36,W1,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
36,W1,mean_ride_hailing_wait_minutes_per_request,10.896818,0.321653,10.95937,10.548484,11.1826
36,W1,max_ride_hailing_wait_minutes,20.395333,3.67952,22.0,16.186,23.0
36,W1,fallback_attempts,0.0,0.0,0.0,0.0,0.0
36,W1,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
36,W1,fallback_failed,0.0,0.0,0.0,0.0,0.0
36,W1,late_but_reached,3.333333,2.081666,4.0,1.0,5.0
36,W1,transport_unmet,0.0,0.0,0.0,0.0,0.0
36,W1,mandatory_activity_incomplete,2.666667,1.527525,3.0,1.0,4.0
36,W1,activity_completion_rate,0.966733,0.013205,0.972093,0.951691,0.976415
36,W1,necessary_activity_completion_rate,0.982117,0.010188,0.98,0.973154,0.993197
36,W1,walking_mode_share,0.015576,0.01117,0.010724,0.007653,0.028351
36,W1,bus_mode_share,0.564648,0.006887,0.568365,0.556701,0.568878
36,W1,metro_mode_share,0.352312,0.01624,0.354592,0.335052,0.367292
36,W1,ride_hailing_mode_share,0.067465,0.013196,0.068878,0.053619,0.079897
36,W1,mean_total_travel_time,63.518333,2.296412,64.318,60.929,65.308
36,W1,mean_road_speed_kmh,17.454333,0.27532,17.577,17.139,17.647
36,W1,successful_orders_per_vehicle,0.722222,0.15466,0.75,0.555556,0.861111
36,W1,vehicle_used_share,0.416667,0.073493,0.388889,0.361111,0.5
36,W2,ride_hailing_requests,54.0,3.464102,52.0,52.0,58.0
36,W2,successful_ride_hailing_requests,53.0,2.645751,52.0,51.0,56.0
36,W2,ride_hailing_failed,1.0,1.0,1.0,0.0,2.0
36,W2,mean_ride_hailing_wait_minutes_per_request,11.888395,0.457613,12.137909,11.360257,12.16702
36,W2,max_ride_hailing_wait_minutes,27.478826,3.964628,28.897651,23.0,30.538827
36,W2,fallback_attempts,1.0,1.0,1.0,0.0,2.0
36,W2,fallback_succeeded,1.0,1.0,1.0,0.0,2.0
36,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
36,W2,late_but_reached,6.0,3.605551,5.0,3.0,10.0
36,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
36,W2,mandatory_activity_incomplete,5.666667,2.081666,5.0,4.0,8.0
36,W2,activity_completion_rate,0.927536,0.009781,0.932367,0.916279,0.933962
36,W2,necessary_activity_completion_rate,0.961922,0.013863,0.966667,0.946309,0.972789
36,W2,walking_mode_share,0.007253,0.003262,0.005391,0.005348,0.011019
36,W2,bus_mode_share,0.391628,0.008269,0.38814,0.385675,0.40107
36,W2,metro_mode_share,0.457627,0.004515,0.455526,0.454545,0.46281
36,W2,ride_hailing_mode_share,0.143492,0.006494,0.140496,0.139037,0.150943
36,W2,mean_total_travel_time,66.070667,2.077097,65.681,64.216,68.315
36,W2,mean_road_speed_kmh,16.920333,0.10451,16.874,16.847,17.04
36,W2,successful_orders_per_vehicle,1.472222,0.073493,1.444444,1.416667,1.555556
36,W2,vehicle_used_share,0.62963,0.042432,0.638889,0.583333,0.666667
24,W0,ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
24,W0,successful_ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
24,W0,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
24,W0,mean_ride_hailing_wait_minutes_per_request,10.873386,0.214025,10.95937,10.629741,11.031048
24,W0,max_ride_hailing_wait_minutes,18.062,4.317352,16.186,15.0,23.0
24,W0,fallback_attempts,0.0,0.0,0.0,0.0,0.0
24,W0,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
24,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
24,W0,late_but_reached,3.333333,2.081666,4.0,1.0,5.0
24,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
24,W0,mandatory_activity_incomplete,2.666667,1.527525,3.0,1.0,4.0
24,W0,activity_completion_rate,0.98425,0.002479,0.985507,0.981395,0.985849
24,W0,necessary_activity_completion_rate,0.982117,0.010188,0.98,0.973154,0.993197
24,W0,walking_mode_share,0.015373,0.011139,0.01039,0.007595,0.028133
24,W0,bus_mode_share,0.572192,0.003854,0.570332,0.56962,0.576623
24,W0,metro_mode_share,0.348451,0.013975,0.35443,0.332481,0.358442
24,W0,ride_hailing_mode_share,0.063984,0.008182,0.068354,0.054545,0.069054
24,W0,mean_total_travel_time,63.331,2.029191,63.688,61.147,65.158
24,W0,mean_road_speed_kmh,17.395,0.174519,17.398,17.219,17.568
24,W0,successful_orders_per_vehicle,1.041667,0.144338,1.125,0.875,1.125
24,W0,vehicle_used_share,0.569445,0.086736,0.541667,0.5,0.666667
24,W1,ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
24,W1,successful_ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
24,W1,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
24,W1,mean_ride_hailing_wait_minutes_per_request,10.896818,0.321653,10.95937,10.548484,11.1826
24,W1,max_ride_hailing_wait_minutes,20.395333,3.67952,22.0,16.186,23.0
24,W1,fallback_attempts,0.0,0.0,0.0,0.0,0.0
24,W1,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
24,W1,fallback_failed,0.0,0.0,0.0,0.0,0.0
24,W1,late_but_reached,3.333333,2.081666,4.0,1.0,5.0
24,W1,transport_unmet,0.0,0.0,0.0,0.0,0.0
24,W1,mandatory_activity_incomplete,2.666667,1.527525,3.0,1.0,4.0
24,W1,activity_completion_rate,0.966733,0.013205,0.972093,0.951691,0.976415
24,W1,necessary_activity_completion_rate,0.982117,0.010188,0.98,0.973154,0.993197
24,W1,walking_mode_share,0.015576,0.01117,0.010724,0.007653,0.028351
24,W1,bus_mode_share,0.564648,0.006887,0.568365,0.556701,0.568878
24,W1,metro_mode_share,0.352312,0.01624,0.354592,0.335052,0.367292
24,W1,ride_hailing_mode_share,0.067465,0.013196,0.068878,0.053619,0.079897
24,W1,mean_total_travel_time,63.518333,2.296412,64.318,60.929,65.308
24,W1,mean_road_speed_kmh,17.454333,0.27532,17.577,17.139,17.647
24,W1,successful_orders_per_vehicle,1.083333,0.231991,1.125,0.833333,1.291667
24,W1,vehicle_used_share,0.611111,0.120281,0.541667,0.541667,0.75
24,W2,ride_hailing_requests,54.0,3.464102,52.0,52.0,58.0
