seed,weather_scenario,leg_id,agent_id,age_group,group,shared_request,p0_succeeded,p4_succeeded,benefited_failure_to_success,harmed_success_to_failure,pickup_wait_change_minutes,wait_improved,wait_worsened,base_dispatch_priority_identical
47,W0,1-2026-07-07-L02,1,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W0,13-2026-07-07-L02,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W0,13-2026-07-07-L03,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W0,16-2026-07-07-L01,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W0,42-2026-07-07-L02,42,60+,elder_digital,True,True,True,False,False,0.0,False,False,True
47,W0,8-2026-07-07-L02,8,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,1-2026-07-07-L02,1,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,10-2026-07-07-L02,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,13-2026-07-07-L02,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,13-2026-07-07-L03,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,16-2026-07-07-L01,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,17-2026-07-07-L02,17,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,21-2026-07-07-L01,21,40-59,40-59,True,True,True,False,False,0.0,False,False,True
47,W2,27-2026-07-07-L02,27,40-59,40-59,True,True,True,False,False,0.0,False,False,True
47,W2,32-2026-07-07-L01,32,40-59,40-59,True,True,True,False,False,0.0,False,False,True
47,W2,35-2026-07-07-L01,35,40-59,40-59,True,True,True,False,False,0.0,False,False,True
47,W2,4-2026-07-07-L02,4,18-39,18-39,True,True,True,False,False,0.0,False,False,True
47,W2,42-2026-07-07-L02,42,60+,elder_digital,True,True,True,False,False,0.0,False,False,True
47,W2,8-2026-07-07-L02,8,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W0,19-2026-07-07-L01,19,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W0,34-2026-07-07-L03,34,40-59,40-59,True,True,True,False,False,0.0,False,False,True
48,W0,6-2026-07-07-L01,6,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W2,1-2026-07-07-L01,1,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W2,17-2026-07-07-L03,17,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W2,19-2026-07-07-L01,19,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W2,23-2026-07-07-L01,23,40-59,40-59,True,True,True,False,False,0.0,False,False,True
48,W2,26-2026-07-07-L01,26,40-59,40-59,True,True,True,False,False,0.0,False,False,True
48,W2,31-2026-07-07-L02,31,40-59,40-59,True,True,True,False,False,0.0,False,False,True
48,W2,6-2026-07-07-L01,6,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W2,8-2026-07-07-L01,8,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W2,8-2026-07-07-L02,8,18-39,18-39,True,True,True,False,False,0.0,False,False,True
48,W2,9-2026-07-07-L01,9,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W0,12-2026-07-07-L01,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W0,20-2026-07-07-L03,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W0,22-2026-07-07-L02,22,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W0,23-2026-07-07-L03,23,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W0,26-2026-07-07-L03,26,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W0,37-2026-07-07-L01,37,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W0,9-2026-07-07-L03,9,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W2,10-2026-07-07-L02,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W2,12-2026-07-07-L01,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W2,17-2026-07-07-L01,17,18-39,18-39,True,False,False,False,False,0.0,False,False,True
49,W2,17-2026-07-07-L02,17,18-39,18-39,True,False,False,False,False,0.0,False,False,True
49,W2,20-2026-07-07-L03,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W2,22-2026-07-07-L02,22,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W2,26-2026-07-07-L02,26,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W2,26-2026-07-07-L03,26,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W2,28-2026-07-07-L01,28,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W2,31-2026-07-07-L01,31,40-59,40-59,True,True,True,False,False,0.0,False,False,True
