leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,unconcentrated_departure_time,departure_time_concentrated,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,late_but_reached,maximum_commute_time_exceeded,maximum_lateness_exceeded,completion_failure_reason,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,origin_metro_walk_access_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,destination_metro_walk_access_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,fare_before_coupon_yuan,coupon_bound,coupon_redeemed,coupon_expired_after_failed_request,coupon_subsidy_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,experiment_condition,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes,seed,priority_policy
33-2026-07-07-L02,33,2026-07-07,Tuesday,return_home,activity-33-2026-07-07-002,return_home,Z1,Z1,2026-07-07 17:00:00,,,,False,10.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 17:00:00,bus,False,,False,False,bus,walk-bus-walk,True,4.5,0.0,4.5,8.0,0.0,29.083,41.583,2.0,2.0,False,False,False,0.0,15.151,0.733333,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,12.5,0.0,1.1,0.0,0.0,51,P4_elder_priority
34-2026-07-07-L01,34,2026-07-07,Tuesday,outbound,activity-34-2026-07-07-002,work,Z7,Z5,2026-07-07 08:45:33.064620,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:45:33.064620,False,5.0,2026-07-07 09:55:00,2026-07-07 09:55:00,0.0,True,True,False,False,False,,False,True,bus,walk,1,18.587,4.0,8.0,6.587,2.0,45.862,18.587,8.0,4.0,0.0,0.0,0.0,0.0,12.0,2026-07-07 08:45:33.064620,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,8.5,0.0,8.5,20.0,5.0,35.949,69.449,7.0,7.0,False,False,False,0.0,31.341,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,24.0,0.0,1.1,0.0,0.0,51,P4_elder_priority
34-2026-07-07-L02,34,2026-07-07,Tuesday,return_home,activity-34-2026-07-07-002,return_home,Z5,Z7,2026-07-07 18:00:00,,,,False,10.0,,,,,,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 18:00:00,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,10.0,0.0,74.954,90.668,2.0,2.0,False,False,False,0.0,15.082,0.944444,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,15.714,0.0,1.1,0.0,0.0,51,P4_elder_priority
35-2026-07-07-L01,35,2026-07-07,Tuesday,outbound,activity-35-2026-07-07-002,work,Z3,Z6,2026-07-07 08:59:53.533980,2026-07-07 10:30:00,2026-07-07 08:30:00,2026-07-07 08:59:53.533980,False,10.0,2026-07-07 10:20:02.219820,2026-07-07 10:20:02.219820,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:59:53.533980,bus,False,,False,False,bus,walk-bus-walk,True,4.0,0.0,4.0,10.0,0.0,66.145,80.145,2.0,2.0,False,False,False,0.0,15.147,0.924444,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,14.0,0.0,1.1,0.0,0.0,51,P4_elder_priority
35-2026-07-07-L02,35,2026-07-07,Tuesday,return_home,activity-35-2026-07-07-002,return_home,Z6,Z3,2026-07-07 20:30:00,,,,False,5.0,,,,,,False,False,False,,False,True,bus,walk,1,36.883,15.714,12.0,9.169,2.0,41.224,36.883,12.0,15.714,0.0,0.0,0.0,0.0,8.0,2026-07-07 20:30:00,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,22.914,0.0,22.914,20.0,5.0,35.193,83.107,6.0,6.0,False,False,False,0.0,30.57,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,35.714,0.0,1.1,0.0,0.0,51,P4_elder_priority
36-2026-07-07-L01,36,2026-07-07,Tuesday,outbound,activity-36-2026-07-07-002,work,Z3,Z8,2026-07-07 07:22:31.139400,2026-07-07 09:00:00,2026-07-07 07:00:00,2026-07-07 07:22:31.139400,False,5.0,2026-07-07 08:55:41.520000,2026-07-07 08:55:41.520000,0.0,True,True,False,False,False,,False,True,bus,walk,1,19.013,4.5,8.0,6.513,2.0,69.16,19.013,8.0,4.5,0.0,0.0,0.0,0.0,12.0,2026-07-07 07:22:31.139400,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,8.266,0.0,8.266,20.0,15.0,49.907,93.173,7.0,7.0,False,False,False,0.0,32.416,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,24.5,0.0,1.1,0.0,0.0,51,P4_elder_priority
36-2026-07-07-L02,36,2026-07-07,Tuesday,return_home,activity-36-2026-07-07-002,return_home,Z8,Z3,2026-07-07 19:00:00,,,,False,5.0,,,,,,False,False,False,,False,True,bus,walk,1,29.7,6.857,12.0,10.843,2.0,63.924,29.7,12.0,6.857,0.0,0.0,0.0,0.0,8.0,2026-07-07 19:00:00,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,10.697,0.0,10.697,20.0,13.69,54.237,98.624,7.0,7.0,False,False,False,0.0,31.045,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,26.857,0.0,1.1,0.0,0.0,51,P4_elder_priority
37-2026-07-07-L01,37,2026-07-07,Tuesday,outbound,activity-37-2026-07-07-002,work,Z7,Z1,2026-07-07 08:48:54.784620,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:48:54.784620,False,5.0,2026-07-07 09:55:00,2026-07-07 09:55:00,0.0,True,True,False,False,False,,False,True,bus,walk,1,18.587,4.0,8.0,6.587,2.0,42.5,18.587,8.0,4.0,0.0,0.0,0.0,0.0,8.0,2026-07-07 08:48:54.784620,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,8.5,0.0,8.5,16.0,5.0,36.587,66.087,7.0,7.0,False,False,False,0.0,31.405,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,20.0,0.0,1.1,0.0,0.0,51,P4_elder_priority
37-2026-07-07-L02,37,2026-07-07,Tuesday,return_home,activity-37-2026-07-07-002,return_home,Z1,Z7,2026-07-07 18:30:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,50.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,2026-07-07 18:30:00,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,16.0,0.0,30.0,50.5,5.0,5.0,False,False,False,0.0,35.0,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,16.0,0.0,1.1,0.0,0.0,51,P4_elder_priority
38-2026-07-07-L01,38,2026-07-07,Tuesday,outbound,activity-38-2026-07-07-002,visit,Z7,Z7,2026-07-07 10:27:18.289980,2026-07-07 11:30:00,2026-07-07 09:30:00,2026-07-07 10:27:18.289980,False,10.0,2026-07-07 11:20:00,2026-07-07 11:20:00,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 10:27:18.289980,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,37.695,52.695,2.0,2.0,False,False,False,0.0,17.966,0.481373,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,15.0,0.0,1.3,0.0,0.0,51,P4_elder_priority
