policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum,group
P0_first_come,W2,total_outdoor_exposure_minutes,10,169.2198,58.525187,185.971,83.3,264.572,elder_digital
P0_first_come,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_digital
P0_first_come,W2,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,planned_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_nondigital_assisted
P0_first_come,W2,completed_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_nondigital_assisted
P0_first_come,W2,necessary_activity_completion_rate,8,1.0,0.0,1.0,1.0,1.0,elder_nondigital_assisted
P0_first_come,W2,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,bus_legs,10,5.2,3.224903,5.5,0.0,9.0,elder_nondigital_assisted
P0_first_come,W2,metro_legs,10,1.1,0.875595,1.0,0.0,2.0,elder_nondigital_assisted
P0_first_come,W2,ride_hailing_legs,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,mean_total_travel_time,10,55.272606,21.999635,58.300591,0.0,76.009875,elder_nondigital_assisted
P0_first_come,W2,total_outdoor_exposure_minutes,10,118.0433,70.928947,126.853,0.0,210.403,elder_nondigital_assisted
P0_first_come,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_assisted
P0_first_come,W2,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,planned_necessary_activities,10,0.4,0.516398,0.0,0.0,1.0,elder_nondigital_unassisted
P0_first_come,W2,completed_necessary_activities,10,0.4,0.516398,0.0,0.0,1.0,elder_nondigital_unassisted
P0_first_come,W2,necessary_activity_completion_rate,4,1.0,0.0,1.0,1.0,1.0,elder_nondigital_unassisted
