seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,mean_ride_hailing_wait_minutes_per_request
52,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,55,52,0.945455,38,38,1.0,3,0,0,90,90,0,1.0,0,29,44,17,0.0,0.322222,0.488889,0.188889,17,17,0,0,0,0,0,0,0,0,0,0,8.403,8.661,26,0.590909,28.727,12.175,61.751,9.237,50,1.0,10,0,0.0,41,0.745455,1018.941,29,28,57,17,1035.941,0.740616,18.403,35,55,12,12,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,46,2,50,0,0,1855.972,0.0,0.0,0.0,0.0,0.0,1279.398801,831.758,12.175262
52,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,55,54,0.981818,38,37,0.973684,0,0,0,99,99,0,1.0,3,47,42,7,0.030303,0.474747,0.424242,0.070707,7,7,0,0,0,0,0,0,2,1,0,1,7.188,7.533,21,0.5,24.234,13.201,60.45,5.182,53,0.963636,22,1,0.045455,36,0.631579,1018.941,47,21,68,7,1025.941,0.709854,18.022,42,57,12,12,0,"{""Z1"": 1, ""Z2"": 3, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,55,0,0,1916.185,0.0,0.0,0.0,0.0,0.0,0.0,746.623,13.200514
52,P4_elder_priority,elder_dispatch_P4_elder_priority,W2,heavy_rain,workday,50,55,52,0.945455,38,38,1.0,3,0,0,90,90,0,1.0,0,29,44,17,0.0,0.322222,0.488889,0.188889,17,17,0,0,0,0,0,0,0,0,0,0,8.403,8.661,26,0.590909,28.727,12.175,61.751,9.237,50,1.0,10,0,0.0,41,0.745455,1018.941,29,28,57,17,1035.941,0.740616,18.403,35,55,12,12,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,46,2,50,0,0,1855.972,0.0,0.0,0.0,0.0,0.0,1279.398801,831.758,12.175262
53,P0_first_come,elder_dispatch_P0_first_come,W0,normal,workday,50,52,48,0.923077,38,34,0.894737,0,0,0,95,95,0,1.0,2,51,33,9,0.021053,0.536842,0.347368,0.094737,11,9,2,2,2,2,2,0,4,4,0,4,6.852,7.791,19,0.575758,24.377,11.298,61.325,5.893,48,0.923077,24,4,0.166667,28,0.583333,1018.941,51,21,72,9,1027.941,0.738485,17.824,47,48,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1782.893,0.0,0.0,0.0,0.0,0.0,0.0,748.245,12.879909
53,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,52,49,0.942308,38,35,0.921053,0,0,0,93,93,0,1.0,1,41,39,12,0.010753,0.44086,0.419355,0.129032,18,12,6,6,6,6,6,0,3,3,0,3,7.319,8.264,24,0.615385,28.099,11.015,64.761,7.281,48,0.941176,17,3,0.176471,32,0.695652,1018.941,41,28,69,12,1030.941,0.804623,16.074,47,46,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 0, ""Z7"": 2, ""Z8"": 1, ""Z9"": 2}",True,True,44,1,51,0,0,1940.89,0.0,0.0,0.0,0.0,0.0,1395.105586,874.554,14.009779
53,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,52,48,0.923077,38,34,0.894737,0,0,0,95,95,0,1.0,2,51,33,9,0.021053,0.536842,0.347368,0.094737,11,9,2,2,2,2,2,0,4,4,0,4,6.852,7.791,19,0.575758,24.377,11.298,61.325,5.893,48,0.923077,24,4,0.166667,28,0.583333,1018.941,51,21,72,9,1027.941,0.738485,17.824,47,48,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1782.893,0.0,0.0,0.0,0.0,0.0,0.0,748.245,12.879909
53,P4_elder_priority,elder_dispatch_P4_elder_priority,W2,heavy_rain,workday,50,52,49,0.942308,38,35,0.921053,0,0,0,93,93,0,1.0,1,41,39,12,0.010753,0.44086,0.419355,0.129032,18,12,6,6,6,6,6,0,3,3,0,3,7.319,8.264,24,0.615385,28.099,11.015,64.761,7.281,48,0.941176,17,3,0.176471,32,0.695652,1018.941,41,28,69,12,1030.941,0.804623,16.074,47,46,12,12,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 0, ""Z7"": 2, ""Z8"": 1, ""Z9"": 2}",True,True,44,1,51,0,0,1940.89,0.0,0.0,0.0,0.0,0.0,1395.105586,874.554,14.009779
54,P0_first_come,elder_dispatch_P0_first_come,W0,normal,workday,50,52,50,0.961538,37,35,0.945946,0,0,0,99,99,0,1.0,1,47,46,5,0.010101,0.474747,0.464646,0.050505,5,5,0,0,0,0,0,0,2,2,0,2,7.348,7.583,20,0.434783,26.599,10.0,62.024,4.918,50,0.961538,27,1,0.037037,44,0.709677,1018.941,47,22,69,5,1023.941,0.680955,17.762,37,62,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1892.568,0.0,0.0,0.0,0.0,0.0,0.0,744.179,10.0002
54,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,52,49,0.942308,37,35,0.945946,1,0,0,90,90,0,1.0,0,33,45,12,0.0,0.366667,0.5,0.133333,13,12,1,1,1,1,1,0,1,2,0,2,7.679,7.893,20,0.444444,29.406,11.242,63.643,7.919,46,0.978723,18,0,0.0,43,0.767857,1018.941,33,23,56,12,1030.941,0.735746,17.623,34,56,12,12,0,"{""Z1"": 2, ""Z2"": 3, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,39,4,47,0,0,1813.21,0.0,0.0,0.0,0.0,0.0,1076.291692,763.502,11.915846
54,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,52,50,0.961538,37,35,0.945946,0,0,0,99,99,0,1.0,1,47,46,5,0.010101,0.474747,0.464646,0.050505,5,5,0,0,0,0,0,0,2,2,0,2,7.348,7.583,20,0.434783,26.599,10.0,62.024,4.918,50,0.961538,27,1,0.037037,44,0.709677,1018.941,47,22,69,5,1023.941,0.680955,17.762,37,62,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1892.568,0.0,0.0,0.0,0.0,0.0,0.0,744.179,10.0002
54,P4_elder_priority,elder_dispatch_P4_elder_priority,W2,heavy_rain,workday,50,52,49,0.942308,37,35,0.945946,1,0,0,90,90,0,1.0,0,33,45,12,0.0,0.366667,0.5,0.133333,13,12,1,1,1,1,1,0,1,2,0,2,7.679,7.893,20,0.444444,29.406,11.242,63.643,7.919,46,0.978723,18,0,0.0,43,0.767857,1018.941,33,23,56,12,1030.941,0.735746,17.623,34,56,12,12,0,"{""Z1"": 2, ""Z2"": 3, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,39,4,47,0,0,1813.21,0.0,0.0,0.0,0.0,0.0,1076.291692,763.502,11.915846
55,P0_first_come,elder_dispatch_P0_first_come,W0,normal,workday,50,56,54,0.964286,38,36,0.947368,0,0,0,105,105,0,1.0,0,61,42,2,0.0,0.580952,0.4,0.019048,2,2,0,0,0,0,0,0,0,2,0,2,6.89,7.583,20,0.47619,27.402,9.129,63.086,4.043,56,1.0,32,0,0.0,33,0.578947,1018.941,61,23,84,2,1020.941,0.705426,16.626,48,57,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,56,0,0,1935.551,0.0,0.0,0.0,0.0,0.0,0.0,757.039,9.129
55,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,56,52,0.928571,38,36,0.947368,2,0,0,101,101,0,1.0,0,41,52,8,0.0,0.405941,0.514851,0.079208,8,8,0,0,0,0,0,0,1,2,0,2,7.833,8.268,26,0.5,33.456,10.046,65.346,6.183,52,0.981132,22,0,0.0,39,0.709091,1018.941,41,35,76,8,1026.941,0.733929,16.286,46,55,12,12,0,"{""Z1"": 0, ""Z2"": 3, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,35,1,53,0,0,2079.451,0.0,0.0,0.0,0.0,0.0,1382.895,831.486,10.045875
55,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,56,54,0.964286,38,36,0.947368,0,0,0,105,105,0,1.0,0,61,42,2,0.0,0.580952,0.4,0.019048,2,2,0,0,0,0,0,0,0,2,0,2,6.89,7.583,20,0.47619,27.402,9.129,63.086,4.043,56,1.0,32,0,0.0,33,0.578947,1018.941,61,23,84,2,1020.941,0.705426,16.626,48,57,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,56,0,0,1935.551,0.0,0.0,0.0,0.0,0.0,0.0,757.039,9.129
55,P4_elder_priority,elder_dispatch_P4_elder_priority,W2,heavy_rain,workday,50,56,52,0.928571,38,36,0.947368,2,0,0,101,101,0,1.0,0,41,52,8,0.0,0.405941,0.514851,0.079208,8,8,0,0,0,0,0,0,1,2,0,2,7.833,8.268,26,0.5,33.456,10.046,65.346,6.183,52,0.981132,22,0,0.0,39,0.709091,1018.941,41,35,76,8,1026.941,0.733929,16.286,46,55,12,12,0,"{""Z1"": 0, ""Z2"": 3, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,35,1,53,0,0,2079.451,0.0,0.0,0.0,0.0,0.0,1382.895,831.486,10.045875
56,P0_first_come,elder_dispatch_P0_first_come,W0,normal,workday,50,53,52,0.981132,39,38,0.974359,0,0,0,97,97,0,1.0,1,60,30,6,0.010309,0.618557,0.309278,0.061856,6,6,0,0,0,0,0,0,1,1,0,1,6.313,7.231,12,0.4,28.314,11.056,63.311,5.093,52,0.981132,33,1,0.030303,24,0.444444,1018.941,60,14,74,6,1024.941,0.77703,16.92,43,54,12,12,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 0, ""Z6"": 1, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,53,0,0,1699.967,0.0,0.0,0.0,0.0,0.0,0.0,662.052,11.055667
56,P0_first_come,elder_dispatch_P0_first_come,W2,heavy_rain,workday,50,53,52,0.981132,39,38,0.974359,0,0,0,94,94,0,1.0,1,39,40,14,0.010638,0.414894,0.425532,0.148936,15,14,1,1,1,1,1,0,2,1,0,1,6.787,8.378,21,0.525,30.725,12.337,65.865,8.328,49,0.960784,20,1,0.05,34,0.653846,1018.941,39,25,64,14,1032.941,0.893732,16.131,42,52,12,12,0,"{""Z1"": 1, ""Z2"": 1, ""Z3"": 3, ""Z4"": 1, ""Z5"": 0, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 0}",True,True,46,2,51,0,0,1867.372,0.0,0.0,0.0,0.0,0.0,1290.542073,792.507,12.84757
56,P4_elder_priority,elder_dispatch_P4_elder_priority,W0,normal,workday,50,53,52,0.981132,39,38,0.974359,0,0,0,97,97,0,1.0,1,60,30,6,0.010309,0.618557,0.309278,0.061856,6,6,0,0,0,0,0,0,1,1,0,1,6.313,7.231,12,0.4,28.314,11.056,63.311,5.093,52,0.981132,33,1,0.030303,24,0.444444,1018.941,60,14,74,6,1024.941,0.77703,16.92,43,54,12,12,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 0, ""Z6"": 1, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,53,0,0,1699.967,0.0,0.0,0.0,0.0,0.0,0.0,662.052,11.055667
56,P4_elder_priority,elder_dispatch_P4_elder_priority,W2,heavy_rain,workday,50,53,52,0.981132,39,38,0.974359,0,0,0,94,94,0,1.0,1,39,40,14,0.010638,0.414894,0.425532,0.148936,15,14,1,1,1,1,1,0,2,1,0,1,6.787,8.378,21,0.525,30.725,12.337,65.865,8.328,49,0.960784,20,1,0.05,34,0.653846,1018.941,39,25,64,14,1032.941,0.893732,16.131,42,52,12,12,0,"{""Z1"": 1, ""Z2"": 1, ""Z3"": 3, ""Z4"": 1, ""Z5"": 0, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 0}",True,True,46,2,51,0,0,1867.372,0.0,0.0,0.0,0.0,0.0,1290.542073,792.507,12.84757
