policy,weather_scenario,group,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W0,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W0,60+_nondigital_assisted,total_outdoor_exposure_minutes,10,517.958,121.506084,502.744,390.065,730.63
C0_no_coupon,W0,60+_nondigital_assisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W0,60+_nondigital_unassisted,total_outdoor_exposure_minutes,10,223.6919,58.01035,224.293,104.514,301.071
C0_no_coupon,W0,60+_nondigital_unassisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,ride_hailing_requests,10,20.2,6.106463,18.5,9.0,27.0
C0_no_coupon,W1,18-39,successful_ride_hailing_requests,10,20.2,6.106463,18.5,9.0,27.0
C0_no_coupon,W1,18-39,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,mean_ride_hailing_wait_minutes_per_request,10,10.831313,0.373725,10.901168,10.26337,11.465375
C0_no_coupon,W1,18-39,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,18-39,mandatory_activity_incomplete,10,1.4,0.843274,1.0,0.0,3.0
C0_no_coupon,W1,18-39,necessary_activity_completion_rate,10,0.980802,0.011544,0.986206,0.958904,1.0
C0_no_coupon,W1,18-39,total_outdoor_exposure_minutes,10,3424.3306,143.787425,3455.2425,3185.907,3647.184
C0_no_coupon,W1,18-39,total_heat_risk_burden,10,20732.521885,728.332446,20769.048919,19531.592666,22012.308836
C0_no_coupon,W1,40-59,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,40-59,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,40-59,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,40-59,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,40-59,ride_hailing_requests,10,6.4,2.319004,6.5,3.0,10.0
C0_no_coupon,W1,40-59,successful_ride_hailing_requests,10,6.4,2.319004,6.5,3.0,10.0
C0_no_coupon,W1,40-59,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,40-59,mean_ride_hailing_wait_minutes_per_request,10,10.152021,1.562008,10.893881,8.083333,11.96775
C0_no_coupon,W1,40-59,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,40-59,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,40-59,mandatory_activity_incomplete,10,1.9,1.72884,2.0,0.0,6.0
C0_no_coupon,W1,40-59,necessary_activity_completion_rate,10,0.96958,0.02743,0.968246,0.904762,1.0
C0_no_coupon,W1,40-59,total_outdoor_exposure_minutes,10,2436.8451,69.72773,2437.044,2327.023,2572.423
C0_no_coupon,W1,40-59,total_heat_risk_burden,10,17591.857214,513.738477,17728.836581,16604.800306,18251.008594
C0_no_coupon,W1,60+_digital,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,ride_hailing_requests,10,2.2,1.549193,2.0,1.0,6.0
C0_no_coupon,W1,60+_digital,successful_ride_hailing_requests,10,2.2,1.549193,2.0,1.0,6.0
C0_no_coupon,W1,60+_digital,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,mean_ride_hailing_wait_minutes_per_request,10,8.5,1.442306,8.0,7.0,12.0
C0_no_coupon,W1,60+_digital,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_digital,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W1,60+_digital,total_outdoor_exposure_minutes,10,599.9942,132.454779,621.0885,327.214,807.856
C0_no_coupon,W1,60+_digital,total_heat_risk_burden,10,8327.252266,1988.27223,8609.015134,4207.211233,10991.007733
C0_no_coupon,W1,60+_nondigital_assisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,ride_hailing_requests,10,1.8,1.686548,1.0,0.0,5.0
C0_no_coupon,W1,60+_nondigital_assisted,successful_ride_hailing_requests,10,1.8,1.686548,1.0,0.0,5.0
C0_no_coupon,W1,60+_nondigital_assisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,10,6.60335,3.765766,8.0,0.0,10.3335
C0_no_coupon,W1,60+_nondigital_assisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_assisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W1,60+_nondigital_assisted,total_outdoor_exposure_minutes,10,446.408,103.989989,449.244,318.299,637.63
C0_no_coupon,W1,60+_nondigital_assisted,total_heat_risk_burden,10,6252.635914,1497.632614,6063.972851,4561.555267,9405.4402
