seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_expired_after_failed_request,coupon_induced_requests,coupon_ineligible_ride_requests,coupon_subsidy_yuan,mean_ride_hailing_wait_minutes_per_request
54,C2_elder_limited,coupon_C2_elder_limited,W2,heavy_rain,workday,200,211,199,0.943128,145,142,0.97931,8,0,0,363,363,0,1.0,2,135,153,73,0.00551,0.371901,0.421488,0.201102,74,73,1,1,1,1,1,0,2,4,0,3,7.982,8.501,83,0.542484,31.799,11.138,62.34,10.053,191,0.989637,63,0,0.0,128,0.615385,1018.941,135,105,240,73,1091.941,0.778101,17.926,155,208,36,36,0,"{""Z1"": 4, ""Z2"": 3, ""Z3"": 6, ""Z4"": 7, ""Z5"": 2, ""Z6"": 5, ""Z7"": 5, ""Z8"": 4, ""Z9"": 0}",True,True,153,10,193,0,0,7131.801,0.0,0.0,0.0,0.0,0.0,4602.345676,3211.222,44,0,40,4,0,1,0,25.14,11.257324
54,C3_mixed,coupon_C3_mixed,W0,normal,workday,200,211,208,0.985782,145,142,0.97931,0,0,0,392,392,0,1.0,3,217,141,31,0.007653,0.553571,0.359694,0.079082,31,31,0,0,0,0,0,0,3,3,0,3,7.107,7.819,66,0.468085,28.077,10.195,60.826,5.903,208,0.985782,114,2,0.017544,119,0.524229,1018.941,217,80,297,31,1049.941,0.698748,17.808,165,227,36,36,0,"{""Z1"": 5, ""Z2"": 3, ""Z3"": 6, ""Z4"": 6, ""Z5"": 3, ""Z6"": 4, ""Z7"": 4, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,211,0,0,7215.239,0.0,0.0,0.0,0.0,0.0,0.0,2960.715,194,131,40,7,0,5,0,55.22,10.195065
54,C3_mixed,coupon_C3_mixed,W1,extreme_heat,workday,200,211,201,0.952607,145,142,0.97931,7,0,0,379,379,0,1.0,2,199,138,40,0.005277,0.525066,0.364116,0.105541,40,40,0,0,0,0,0,0,3,3,0,3,6.884,7.796,64,0.463768,28.201,10.068,60.653,6.532,201,0.985294,105,2,0.019048,117,0.52,1018.941,199,78,277,40,1058.941,0.709457,18.304,154,225,36,36,0,"{""Z1"": 5, ""Z2"": 3, ""Z3"": 6, ""Z4"": 6, ""Z5"": 2, ""Z6"": 4, ""Z7"": 5, ""Z8"": 4, ""Z9"": 1}",True,True,38,0,204,0,0,6816.452,48764.142668,54317.546531,34498.324998,242.945951,237.919483,0.0,2848.378,194,131,40,10,0,7,0,67.98,10.0677
54,C3_mixed,coupon_C3_mixed,W2,heavy_rain,workday,200,211,199,0.943128,145,142,0.97931,8,0,0,363,363,0,1.0,2,136,149,76,0.00551,0.374656,0.410468,0.209366,77,76,1,1,1,1,1,0,2,4,0,3,7.996,8.394,79,0.530201,31.91,11.137,62.127,10.093,191,0.989637,63,0,0.0,125,0.600962,1018.941,136,100,236,76,1094.941,0.780595,17.966,155,208,36,36,0,"{""Z1"": 4, ""Z2"": 3, ""Z3"": 7, ""Z4"": 7, ""Z5"": 2, ""Z6"": 4, ""Z7"": 5, ""Z8"": 4, ""Z9"": 0}",True,True,153,10,193,0,0,7084.734,0.0,0.0,0.0,0.0,0.0,4561.161676,3204.644,194,131,40,12,0,4,0,96.59,11.251662
55,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,200,211,202,0.957346,148,140,0.945946,0,0,0,391,391,0,1.0,4,211,158,18,0.01023,0.539642,0.404092,0.046036,18,18,0,0,0,0,0,0,7,9,0,8,6.904,7.92,76,0.481013,27.923,9.977,63.142,4.744,204,0.966825,109,4,0.036697,129,0.563319,1018.941,211,89,300,18,1036.941,0.712489,17.186,162,229,36,36,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 2, ""Z4"": 2, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 2, ""Z9"": 3}",True,True,0,0,211,0,0,7326.496,0.0,0.0,0.0,0.0,0.0,0.0,2887.844,0,0,0,0,0,0,0,0.0,9.976667
55,C0_no_coupon,coupon_C0_no_coupon,W1,extreme_heat,workday,200,211,196,0.92891,148,140,0.945946,6,0,0,382,382,0,1.0,2,200,154,26,0.005236,0.52356,0.403141,0.068063,26,26,0,0,0,0,0,0,7,9,0,8,6.876,7.811,72,0.467532,28.098,9.856,62.919,5.301,198,0.965854,102,4,0.039216,125,0.555556,1018.941,200,84,284,26,1044.941,0.714651,17.675,157,225,36,36,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 3, ""Z4"": 2, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 2, ""Z9"": 3}",True,True,33,0,205,0,0,7021.757,49825.267167,55188.765969,36275.911736,259.113655,245.107512,0.0,2834.268,0,0,0,0,0,0,0,0.0,9.855654
55,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,200,211,192,0.909953,148,140,0.945946,11,0,0,369,369,0,1.0,0,142,174,53,0.0,0.384824,0.471545,0.143631,53,53,0,0,0,0,0,0,8,8,0,8,7.328,8.72,95,0.545977,31.868,11.02,64.859,8.117,189,0.959391,71,2,0.028169,142,0.660465,1018.941,142,118,260,53,1071.941,0.786035,17.105,154,215,36,36,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 4, ""Z4"": 1, ""Z5"": 3, ""Z6"": 4, ""Z7"": 8, ""Z8"": 1, ""Z9"": 1}",True,True,157,3,197,0,0,7342.799,0.0,0.0,0.0,0.0,0.0,4788.621154,3141.915,0,0,0,0,0,0,0,0.0,11.019757
55,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,200,211,203,0.962085,148,141,0.952703,0,0,0,391,391,0,1.0,4,206,156,25,0.01023,0.526854,0.398977,0.063939,25,25,0,0,0,0,0,0,7,8,0,7,6.868,7.791,74,0.474359,27.662,9.812,62.645,5.141,204,0.966825,107,4,0.037383,127,0.554585,1018.941,206,86,292,25,1043.941,0.711377,17.568,162,229,36,36,0,"{""Z1"": 8, ""Z2"": 6, ""Z3"": 4, ""Z4"": 2, ""Z5"": 3, ""Z6"": 2, ""Z7"": 7, ""Z8"": 1, ""Z9"": 3}",True,True,0,0,211,0,0,7237.26,0.0,0.0,0.0,0.0,0.0,0.0,2875.568,189,124,40,11,0,7,0,78.82,9.81204
55,C1_public_limited,coupon_C1_public_limited,W1,extreme_heat,workday,200,211,197,0.933649,148,141,0.952703,6,0,0,382,382,0,1.0,2,194,151,35,0.005236,0.507853,0.395288,0.091623,35,35,0,0,0,0,0,0,7,8,0,7,6.836,7.694,70,0.463576,27.827,9.542,62.33,5.795,198,0.965854,100,4,0.04,122,0.542222,1018.941,194,81,275,35,1053.941,0.712483,18.188,157,225,36,36,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 5, ""Z4"": 2, ""Z5"": 3, ""Z6"": 2, ""Z7"": 7, ""Z8"": 1, ""Z9"": 3}",True,True,33,0,205,0,0,6913.521,49200.423168,54473.914704,35644.236804,252.796006,240.839438,0.0,2821.992,189,124,40,13,0,9,0,88.59,9.541943
55,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,200,211,193,0.914692,148,141,0.952703,11,0,0,369,369,0,1.0,0,140,168,61,0.0,0.379404,0.455285,0.165312,66,61,5,5,5,5,5,0,7,7,0,7,7.373,8.452,89,0.529762,31.079,11.003,64.466,8.602,190,0.964467,69,2,0.028986,138,0.64186,1018.941,140,108,248,61,1079.941,0.793486,17.341,154,215,36,36,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 6, ""Z4"": 0, ""Z5"": 1, ""Z6"": 3, ""Z7"": 11, ""Z8"": 0, ""Z9"": 1}",True,True,157,3,197,0,0,7328.219,0.0,0.0,0.0,0.0,0.0,4813.649003,3223.347,189,124,40,23,1,13,0,190.29,11.684188
