policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C1_public_limited,C0_no_coupon,W2,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_redeemed,0.0,18.6,18.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_induced_requests,0.0,10.0,10.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,136.51,136.51,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,ride_hailing_requests,64.8,74.8,10.0,15.432099,True,
C1_public_limited,C0_no_coupon,W2,successful_ride_hailing_requests,63.2,72.1,8.9,14.082278,True,
C1_public_limited,C0_no_coupon,W2,ride_hailing_failed,1.6,2.7,1.1,68.75,True,
C1_public_limited,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.377154,11.496802,0.119648,1.051651,True,
C1_public_limited,C0_no_coupon,W2,fallback_attempts,1.6,2.7,1.1,68.75,True,
C1_public_limited,C0_no_coupon,W2,fallback_succeeded,1.5,2.6,1.1,73.333333,True,
C1_public_limited,C0_no_coupon,W2,transport_unmet,0.1,0.1,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W2,mandatory_activity_incomplete,4.5,4.5,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W2,activity_completion_rate,0.935187,0.934279,-0.000908,-0.097093,True,
C1_public_limited,C0_no_coupon,W2,necessary_activity_completion_rate,0.969392,0.969379,-1.3e-05,-0.001341,True,
C1_public_limited,C0_no_coupon,W2,walking_mode_share,0.006953,0.006701,-0.000252,-3.624335,True,
C1_public_limited,C0_no_coupon,W2,bus_mode_share,0.398869,0.385532,-0.013337,-3.343704,True,
C1_public_limited,C0_no_coupon,W2,metro_mode_share,0.425072,0.414898,-0.010174,-2.393477,True,
C1_public_limited,C0_no_coupon,W2,ride_hailing_mode_share,0.169107,0.192869,0.023762,14.051459,True,
C1_public_limited,C0_no_coupon,W2,mean_total_travel_time,64.388,63.7662,-0.6218,-0.965708,True,
C1_public_limited,C0_no_coupon,W2,mean_road_speed_kmh,17.3341,17.6763,0.3422,1.974143,True,
C1_public_limited,C0_no_coupon,W2,total_outdoor_exposure_minutes,7387.9946,7315.5829,-72.4117,-0.980127,True,
C1_public_limited,C0_no_coupon,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_reached,0.0,45.4,45.4,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_participated,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_redeemed,0.0,2.9,2.9,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_induced_requests,0.0,1.6,1.6,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,13.641,13.641,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,ride_hailing_requests,24.7,26.3,1.6,6.477733,True,
C2_elder_limited,C0_no_coupon,W0,successful_ride_hailing_requests,24.7,26.3,1.6,6.477733,True,
C2_elder_limited,C0_no_coupon,W0,ride_hailing_failed,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10.754605,10.688946,-0.065659,-0.61052,True,
C2_elder_limited,C0_no_coupon,W0,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,fallback_succeeded,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,activity_completion_rate,0.981786,0.981786,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,necessary_activity_completion_rate,0.977543,0.977543,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,walking_mode_share,0.013682,0.013682,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,bus_mode_share,0.570003,0.566182,-0.003821,-0.670347,True,
C2_elder_limited,C0_no_coupon,W0,metro_mode_share,0.353858,0.353603,-0.000255,-0.072063,True,
C2_elder_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.062457,0.066533,0.004076,6.52609,True,
C2_elder_limited,C0_no_coupon,W0,mean_total_travel_time,62.4603,62.3648,-0.0955,-0.152897,True,
C2_elder_limited,C0_no_coupon,W0,mean_road_speed_kmh,17.4381,17.5313,0.0932,0.534462,True,
C2_elder_limited,C0_no_coupon,W0,total_outdoor_exposure_minutes,7348.7754,7330.5989,-18.1765,-0.247341,True,
C2_elder_limited,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_reached,0.0,45.4,45.4,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_participated,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_redeemed,0.0,5.1,5.1,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_induced_requests,0.0,2.2,2.2,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_subsidy_yuan,0.0,23.573,23.573,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,ride_hailing_requests,30.6,32.8,2.2,7.189542,True,
C2_elder_limited,C0_no_coupon,W1,successful_ride_hailing_requests,30.6,32.8,2.2,7.189542,True,
C2_elder_limited,C0_no_coupon,W1,ride_hailing_failed,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,mean_ride_hailing_wait_minutes_per_request,10.512029,10.389103,-0.122926,-1.169384,True,
C2_elder_limited,C0_no_coupon,W1,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,fallback_succeeded,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,activity_completion_rate,0.957545,0.957545,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,necessary_activity_completion_rate,0.977543,0.977543,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,walking_mode_share,0.013176,0.013176,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,bus_mode_share,0.550391,0.545219,-0.005172,-0.939696,True,
C2_elder_limited,C0_no_coupon,W1,metro_mode_share,0.357505,0.356979,-0.000526,-0.147131,True,
C2_elder_limited,C0_no_coupon,W1,ride_hailing_mode_share,0.078928,0.084626,0.005698,7.219238,True,
C2_elder_limited,C0_no_coupon,W1,mean_total_travel_time,62.3543,62.2242,-0.1301,-0.208646,True,
C2_elder_limited,C0_no_coupon,W1,mean_road_speed_kmh,17.7907,17.9206,0.1299,0.730157,True,
C2_elder_limited,C0_no_coupon,W1,total_outdoor_exposure_minutes,7119.5198,7094.1877,-25.3321,-0.355812,True,
C2_elder_limited,C0_no_coupon,W1,total_heat_risk_burden,55997.738135,55630.623595,-367.11454,-0.655588,True,
C2_elder_limited,C0_no_coupon,W2,coupon_reached,0.0,45.4,45.4,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_participated,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_redeemed,0.0,5.0,5.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_induced_requests,0.0,3.0,3.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
