scenario,weather,policy,group_dimension,group_value,agents_with_legs,policy_digital_agents_with_legs,policy_assisted_agents_with_legs,legs,primary_walking,primary_bus,primary_metro,primary_ride_hailing,final_walking,final_bus,final_metro,final_ride_hailing,final_walking_share,final_bus_share,final_metro_share,final_ride_hailing_share,ride_requests,ride_successes,ride_failures,ride_success_rate,mean_successful_ride_pickup_wait_minutes,mean_ride_queue_wait_minutes,fallback_attempts,fallback_successes,transport_unmet_legs,mean_total_travel_time,mean_cumulative_wait_minutes,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,transport_unmet_activities,activity_metric_coverage,total_outdoor_exposure_minutes,total_rain_exposure_minutes,total_heat_risk_burden_threshold_26
E18,W2,D3,elder_access_group,60+_digital,329,329,230,715,0,416,210,89,0,422,210,83,0.0,0.59021,0.293706,0.116084,89,83,6,0.932584,8.125357,1.358445,6,6,0,56.310288,7.907145,416,387,0.930288,113,113,1.0,0,complete_for_60plus_via_intervention_roster,13245.993,4824.601878,0.0
E18,W2,D3,elder_access_group,60+_nondigital_assisted,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,,,0,0,,0,0,,0,complete_for_60plus_via_intervention_roster,0,0,0
E18,W2,D3,elder_access_group,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,,,0,0,,0,0,,0,complete_for_60plus_via_intervention_roster,0,0,0
E18,W2,D3,baseline_elder_access_group,60+_baseline_digital,165,165,112,360,0,205,106,49,0,207,106,47,0.0,0.575,0.294444,0.130556,49,47,2,0.959184,8.462064,0.816327,2,2,0,56.423997,7.839219,210,195,0.928571,53,53,1.0,0,complete_fixed_baseline_group_via_intervention_roster,6597.17,2455.505878,0.0
E18,W2,D3,baseline_elder_access_group,60+_baseline_nondigital_assisted,118,118,118,254,0,145,75,34,0,149,75,30,0.0,0.586614,0.295276,0.11811,34,30,4,0.882353,7.809533,2.352941,4,4,0,55.354,7.940709,149,137,0.919463,45,45,1.0,0,complete_fixed_baseline_group_via_intervention_roster,4733.311,1709.3344,0.0
E18,W2,D3,baseline_elder_access_group,60+_baseline_nondigital_unassisted,46,46,0,101,0,66,29,6,0,66,29,6,0.0,0.653465,0.287129,0.059406,6,6,0,1.0,7.066934,0.150267,0,0,0,58.309911,8.064851,57,55,0.964912,15,15,1.0,0,complete_fixed_baseline_group_via_intervention_roster,1915.512,659.7616,0.0
E19,W2,P4,all,all,1699,1535,230,3687,21,908,1756,1001,21,922,1758,985,0.005697,0.250136,0.47694,0.267227,1001,985,16,0.984016,10.559764,0.413608,17,16,1,59.925951,8.614574,2133,2037,0.954993,1454,1444,0.993122,1,complete,70155.728,46285.605079,0.0
E19,W2,P4,age_group,18-39,763,763,0,1717,20,134,894,669,20,141,894,662,0.011648,0.08212,0.520676,0.385556,669,662,7,0.989537,10.871605,0.298658,7,7,0,56.829319,9.167224,1020,977,0.957843,729,725,0.994513,0,complete,32035.576,22450.029145,0.0
E19,W2,P4,age_group,40-59,607,607,0,1255,0,320,687,248,0,322,688,245,0.0,0.256574,0.548207,0.195219,248,245,3,0.987903,10.258963,0.241935,3,3,0,65.715056,8.319922,697,674,0.967001,612,606,0.990196,0,complete,25080.195,19141.117456,0.0
E19,W2,P4,age_group,60+,329,165,230,715,1,454,175,84,1,459,176,78,0.001401,0.642857,0.246499,0.109244,84,78,6,0.928571,8.857942,1.835946,7,6,1,57.197085,7.804629,416,386,0.927885,113,113,1.0,1,complete,13039.957,4694.458478,0.0
E19,W2,P4,digital_access,False,164,0,118,355,1,260,68,25,1,262,69,22,0.002825,0.740113,0.194915,0.062147,25,22,3,0.88,8.968316,2.992118,4,3,1,58.832254,7.753741,206,191,0.927184,60,60,1.0,1,travel-profile-known_agents_only_for_under60; complete_for_60plus,6536.186,2267.2386,0.0
E19,W2,P4,digital_access,True,1535,1535,112,3332,20,648,1688,976,20,660,1689,963,0.006002,0.198079,0.506903,0.289016,976,963,13,0.98668,10.596122,0.347561,13,13,0,60.042148,8.70629,1865,1790,0.959786,1338,1328,0.992526,0,travel-profile-known_agents_only_for_under60; complete_for_60plus,63619.542,44018.366479,0.0
E19,W2,P4,elder_access_group,60+_digital,165,165,112,360,0,194,107,59,0,197,107,56,0.0,0.547222,0.297222,0.155556,59,56,3,0.949153,8.814581,1.346043,3,3,0,55.589169,7.854811,210,195,0.928571,53,53,1.0,0,complete_for_60plus_via_intervention_roster,6503.771,2427.219878,0.0
E19,W2,P4,elder_access_group,60+_nondigital_assisted,118,0,118,254,0,178,51,25,0,180,52,22,0.0,0.708661,0.204724,0.086614,25,22,3,0.88,8.968316,2.992118,3,3,0,57.627933,7.873909,149,137,0.919463,45,45,1.0,0,complete_for_60plus_via_intervention_roster,4694.297,1661.8654,0.0
E19,W2,P4,elder_access_group,60+_nondigital_unassisted,46,0,0,101,1,82,17,0,1,82,17,0,0.01,0.82,0.17,0.0,0,0,0,,,,1,0,1,61.89123,7.451535,57,54,0.947368,15,15,1.0,1,complete_for_60plus_via_intervention_roster,1841.889,605.3732,0.0
E19,W2,P4,baseline_elder_access_group,60+_baseline_digital,165,165,112,360,0,194,107,59,0,197,107,56,0.0,0.547222,0.297222,0.155556,59,56,3,0.949153,8.814581,1.346043,3,3,0,55.589169,7.854811,210,195,0.928571,53,53,1.0,0,complete_fixed_baseline_group_via_intervention_roster,6503.771,2427.219878,0.0
E19,W2,P4,baseline_elder_access_group,60+_baseline_nondigital_assisted,118,0,118,254,0,178,51,25,0,180,52,22,0.0,0.708661,0.204724,0.086614,25,22,3,0.88,8.968316,2.992118,3,3,0,57.627933,7.873909,149,137,0.919463,45,45,1.0,0,complete_fixed_baseline_group_via_intervention_roster,4694.297,1661.8654,0.0
E19,W2,P4,baseline_elder_access_group,60+_baseline_nondigital_unassisted,46,0,0,101,1,82,17,0,1,82,17,0,0.01,0.82,0.17,0.0,0,0,0,,,,1,0,1,61.89123,7.451535,57,54,0.947368,15,15,1.0,1,complete_fixed_baseline_group_via_intervention_roster,1841.889,605.3732,0.0
