policy,weather_scenario,group,metric,mean,ci95_half_width,seed_count
C0_no_coupon,W2,60+_nondigital_assisted,necessary_activity_completion_rate,0.980000,0.045240,10
C0_no_coupon,W2,60+_nondigital_assisted,ride_hailing_requests,0.100000,0.226200,10
C0_no_coupon,W2,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W2,60+_nondigital_assisted,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W2,60+_nondigital_assisted,total_heat_risk_burden,0.000000,0.000000,10
C0_no_coupon,W2,60+_nondigital_unassisted,necessary_activity_completion_rate,0.950000,0.113100,10
C0_no_coupon,W2,60+_nondigital_unassisted,ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W2,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W2,60+_nondigital_unassisted,total_heat_risk_burden,0.000000,0.000000,10
C1_public_limited,W0,18-39,necessary_activity_completion_rate,0.980802,0.008257,10
C1_public_limited,W0,18-39,ride_hailing_requests,21.800000,3.856472,10
C1_public_limited,W0,18-39,failed_ride_hailing_requests,0.100000,0.226200,10
C1_public_limited,W0,18-39,coupon_redeemed,6.800000,1.777906,10
C1_public_limited,W0,18-39,total_heat_risk_burden,0.000000,0.000000,10
C1_public_limited,W0,40-59,necessary_activity_completion_rate,0.969528,0.015521,10
C1_public_limited,W0,40-59,ride_hailing_requests,6.900000,1.448387,10
C1_public_limited,W0,40-59,failed_ride_hailing_requests,0.100000,0.226200,10
C1_public_limited,W0,40-59,coupon_redeemed,2.800000,0.657322,10
C1_public_limited,W0,40-59,total_heat_risk_burden,0.000000,0.000000,10
C1_public_limited,W0,60+_digital,necessary_activity_completion_rate,1.000000,0.000000,10
C1_public_limited,W0,60+_digital,ride_hailing_requests,0.300000,0.345526,10
C1_public_limited,W0,60+_digital,failed_ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W0,60+_digital,coupon_redeemed,0.100000,0.226200,10
C1_public_limited,W0,60+_digital,total_heat_risk_burden,0.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_assisted,necessary_activity_completion_rate,1.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_assisted,ride_hailing_requests,0.100000,0.226200,10
C1_public_limited,W0,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_assisted,coupon_redeemed,0.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_assisted,total_heat_risk_burden,0.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_unassisted,necessary_activity_completion_rate,1.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_unassisted,ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_unassisted,coupon_redeemed,0.000000,0.000000,10
C1_public_limited,W0,60+_nondigital_unassisted,total_heat_risk_burden,0.000000,0.000000,10
C1_public_limited,W1,18-39,necessary_activity_completion_rate,0.980802,0.008257,10
C1_public_limited,W1,18-39,ride_hailing_requests,23.500000,3.964778,10
C1_public_limited,W1,18-39,failed_ride_hailing_requests,0.100000,0.226200,10
C1_public_limited,W1,18-39,coupon_redeemed,7.000000,1.907486,10
C1_public_limited,W1,18-39,total_heat_risk_burden,20629.252951,589.888891,10
C1_public_limited,W1,40-59,necessary_activity_completion_rate,0.969528,0.015521,10
C1_public_limited,W1,40-59,ride_hailing_requests,7.900000,1.829907,10
C1_public_limited,W1,40-59,failed_ride_hailing_requests,0.100000,0.226200,10
C1_public_limited,W1,40-59,coupon_redeemed,3.200000,1.000294,10
C1_public_limited,W1,40-59,total_heat_risk_burden,17559.352470,385.941997,10
C1_public_limited,W1,60+_digital,necessary_activity_completion_rate,1.000000,0.000000,10
C1_public_limited,W1,60+_digital,ride_hailing_requests,0.800000,0.452400,10
C1_public_limited,W1,60+_digital,failed_ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W1,60+_digital,coupon_redeemed,0.100000,0.226200,10
C1_public_limited,W1,60+_digital,total_heat_risk_burden,8828.411366,1565.321421,10
C1_public_limited,W1,60+_nondigital_assisted,necessary_activity_completion_rate,1.000000,0.000000,10
C1_public_limited,W1,60+_nondigital_assisted,ride_hailing_requests,0.300000,0.345526,10
C1_public_limited,W1,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W1,60+_nondigital_assisted,coupon_redeemed,0.000000,0.000000,10
C1_public_limited,W1,60+_nondigital_assisted,total_heat_risk_burden,6615.011737,1218.459703,10
C1_public_limited,W1,60+_nondigital_unassisted,necessary_activity_completion_rate,1.000000,0.000000,10
C1_public_limited,W1,60+_nondigital_unassisted,ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W1,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C1_public_limited,W1,60+_nondigital_unassisted,coupon_redeemed,0.000000,0.000000,10
C1_public_limited,W1,60+_nondigital_unassisted,total_heat_risk_burden,3093.462190,644.792456,10
C1_public_limited,W2,18-39,necessary_activity_completion_rate,0.968453,0.014060,10
C1_public_limited,W2,18-39,ride_hailing_requests,42.700000,4.371250,10
C1_public_limited,W2,18-39,failed_ride_hailing_requests,1.300000,0.956719,10
