policy,baseline_policy,weather_scenario,metric,paired_mean_change,ci95_low,ci95_high,seed_count
C3_mixed,C0_no_coupon,W1,ride_hailing_requests,4.100000,2.863348,5.336652,10
C3_mixed,C0_no_coupon,W1,failed_ride_hailing_requests,0.200000,-0.252400,0.652400,10
C3_mixed,C0_no_coupon,W1,ride_hailing_mode_share,0.010084,0.006680,0.013488,10
C3_mixed,C0_no_coupon,W1,necessary_activity_completion_rate,-0.000014,-0.002316,0.002288,10
C3_mixed,C0_no_coupon,W1,transport_unmet,0.000000,0.000000,0.000000,10
C3_mixed,C0_no_coupon,W1,coupon_redeemed,7.000000,5.348069,8.651931,10
C3_mixed,C0_no_coupon,W1,coupon_subsidy_yuan,46.853000,36.156334,57.549666,10
C3_mixed,C0_no_coupon,W1,total_heat_risk_burden,-207.439933,-313.163061,-101.716805,10
C3_mixed,C0_no_coupon,W2,ride_hailing_requests,6.400000,4.399412,8.400588,10
C3_mixed,C0_no_coupon,W2,failed_ride_hailing_requests,0.100000,-0.126200,0.326200,10
C3_mixed,C0_no_coupon,W2,ride_hailing_mode_share,0.016894,0.011760,0.022028,10
C3_mixed,C0_no_coupon,W2,necessary_activity_completion_rate,0.000676,-0.000853,0.002204,10
C3_mixed,C0_no_coupon,W2,transport_unmet,0.000000,0.000000,0.000000,10
C3_mixed,C0_no_coupon,W2,coupon_redeemed,11.700000,9.462004,13.937996,10
C3_mixed,C0_no_coupon,W2,coupon_subsidy_yuan,82.657000,65.640735,99.673265,10
C3_mixed,C0_no_coupon,W2,total_heat_risk_burden,0.000000,0.000000,0.000000,10
