policy,weather_scenario,metric,mean,ci95_half_width,seed_count
C2_elder_limited,W0,ride_hailing_mode_share,0.060678,0.009614,10
C2_elder_limited,W0,necessary_activity_completion_rate,0.977543,0.009406,10
C2_elder_limited,W0,transport_unmet,0.000000,0.000000,10
C2_elder_limited,W0,coupon_reached,45.400000,1.477532,10
C2_elder_limited,W0,coupon_participated,0.000000,0.000000,10
C2_elder_limited,W0,coupon_awarded,40.000000,0.000000,10
C2_elder_limited,W0,coupon_redeemed,0.800000,0.564242,10
C2_elder_limited,W0,coupon_induced_requests,0.500000,0.505799,10
C2_elder_limited,W0,coupon_subsidy_yuan,3.454000,2.590466,10
C2_elder_limited,W0,total_heat_risk_burden,0.000000,0.000000,10
C2_elder_limited,W1,ride_hailing_requests,27.500000,4.889386,10
C2_elder_limited,W1,successful_ride_hailing_requests,27.500000,4.889386,10
C2_elder_limited,W1,failed_ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W1,ride_hailing_mode_share,0.070960,0.011851,10
C2_elder_limited,W1,necessary_activity_completion_rate,0.977543,0.009406,10
C2_elder_limited,W1,transport_unmet,0.000000,0.000000,10
C2_elder_limited,W1,coupon_reached,45.400000,1.477532,10
C2_elder_limited,W1,coupon_participated,0.000000,0.000000,10
C2_elder_limited,W1,coupon_awarded,40.000000,0.000000,10
C2_elder_limited,W1,coupon_redeemed,1.600000,0.369383,10
C2_elder_limited,W1,coupon_induced_requests,0.700000,0.588893,10
C2_elder_limited,W1,coupon_subsidy_yuan,6.767000,1.533989,10
C2_elder_limited,W1,total_heat_risk_burden,56833.849881,1762.856985,10
C2_elder_limited,W2,ride_hailing_requests,57.400000,5.269376,10
C2_elder_limited,W2,successful_ride_hailing_requests,56.200000,4.706313,10
C2_elder_limited,W2,failed_ride_hailing_requests,1.200000,0.941746,10
C2_elder_limited,W2,ride_hailing_mode_share,0.150422,0.010354,10
C2_elder_limited,W2,necessary_activity_completion_rate,0.968055,0.011619,10
C2_elder_limited,W2,transport_unmet,0.100000,0.226200,10
C2_elder_limited,W2,coupon_reached,45.400000,1.477532,10
C2_elder_limited,W2,coupon_participated,0.000000,0.000000,10
C2_elder_limited,W2,coupon_awarded,40.000000,0.000000,10
C2_elder_limited,W2,coupon_redeemed,1.300000,0.588893,10
C2_elder_limited,W2,coupon_induced_requests,1.000000,0.674398,10
C2_elder_limited,W2,coupon_subsidy_yuan,5.987000,2.827446,10
C2_elder_limited,W2,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W0,ride_hailing_requests,27.500000,4.334680,10
C3_mixed,W0,successful_ride_hailing_requests,27.300000,4.212290,10
C3_mixed,W0,failed_ride_hailing_requests,0.200000,0.452400,10
C3_mixed,W0,ride_hailing_mode_share,0.069000,0.009845,10
C3_mixed,W0,necessary_activity_completion_rate,0.977529,0.007918,10
C3_mixed,W0,transport_unmet,0.000000,0.000000,10
C3_mixed,W0,coupon_reached,195.600000,1.477532,10
C3_mixed,W0,coupon_participated,128.600000,3.237813,10
C3_mixed,W0,coupon_awarded,40.000000,0.000000,10
C3_mixed,W0,coupon_redeemed,6.300000,1.547079,10
C3_mixed,W0,coupon_induced_requests,4.000000,1.719385,10
C3_mixed,W0,coupon_subsidy_yuan,43.743000,10.018967,10
C3_mixed,W0,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W1,ride_hailing_requests,30.900000,4.903319,10
C3_mixed,W1,successful_ride_hailing_requests,30.700000,4.757376,10
C3_mixed,W1,failed_ride_hailing_requests,0.200000,0.452400,10
C3_mixed,W1,ride_hailing_mode_share,0.079228,0.011247,10
C3_mixed,W1,necessary_activity_completion_rate,0.977529,0.007918,10
C3_mixed,W1,transport_unmet,0.000000,0.000000,10
C3_mixed,W1,coupon_reached,195.600000,1.477532,10
C3_mixed,W1,coupon_participated,128.600000,3.237813,10
C3_mixed,W1,coupon_awarded,40.000000,0.000000,10
C3_mixed,W1,coupon_redeemed,7.000000,1.651931,10
C3_mixed,W1,coupon_induced_requests,4.100000,1.236652,10
C3_mixed,W1,coupon_subsidy_yuan,46.853000,10.696666,10
C3_mixed,W1,total_heat_risk_burden,56784.652188,1728.413004,10
C3_mixed,W2,ride_hailing_requests,62.800000,4.367997,10
C3_mixed,W2,successful_ride_hailing_requests,61.500000,3.803779,10
C3_mixed,W2,failed_ride_hailing_requests,1.300000,0.895325,10
C3_mixed,W2,ride_hailing_mode_share,0.164671,0.007493,10
C3_mixed,W2,necessary_activity_completion_rate,0.968731,0.010970,10
C3_mixed,W2,transport_unmet,0.100000,0.226200,10
C3_mixed,W2,coupon_reached,195.600000,1.477532,10
C3_mixed,W2,coupon_participated,128.600000,3.237813,10
C3_mixed,W2,coupon_awarded,40.000000,0.000000,10
C3_mixed,W2,coupon_redeemed,11.700000,2.237996,10
C3_mixed,W2,coupon_induced_requests,6.400000,2.000588,10
C3_mixed,W2,coupon_subsidy_yuan,82.657000,17.016265,10
C3_mixed,W2,total_heat_risk_burden,0.000000,0.000000,10
