seed,policy,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,fallback_attempts,fallback_successes,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes
47,P0_no_policy,W0,normal,workday,50,52,52,1.0,38,38,1.0,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,718.941,54,21,75,6,724.941,0.72765,17.272,34,63,16,16,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 4, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541
47,P0_no_policy,W0,normal,rest_day,50,78,78,1.0,2,2,1.0,0,0,0,121,121,0,1.0,7,77,29,8,0.057851,0.636364,0.239669,0.066116,10,8,2,2,2,7.916,7.935,12,0.413793,25.517,9.24,55.189,4.124,77,0.987179,46,1,0.021739,22,0.44898,802.941,77,13,90,8,810.941,0.595825,18.138,72,49,13,13,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,78,0,0,2508.548,0.0,0.0,0.0,0.0,0.0,0.0,953.584
47,P0_no_policy,W1,extreme_heat,workday,50,52,49,0.942308,38,38,1.0,3,0,0,92,92,0,1.0,1,49,37,5,0.01087,0.532609,0.402174,0.054348,5,5,0,0,0,6.535,7.716,20,0.540541,25.618,9.733,63.648,4.736,47,0.959184,26,2,0.076923,33,0.52381,718.941,49,22,71,5,723.941,0.726607,17.211,29,63,16,16,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 4, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,7,0,49,0,0,1844.026,12987.004164,14416.597129,10340.941096,272.130029,272.130029,0.0,654.401
47,P0_no_policy,W1,extreme_heat,rest_day,50,78,74,0.948718,2,2,1.0,4,0,0,117,117,0,1.0,4,72,30,11,0.034188,0.615385,0.25641,0.094017,13,11,2,2,2,8.012,8.018,12,0.4,26.443,8.356,55.099,4.678,73,0.986486,43,1,0.023256,22,0.458333,826.941,72,13,85,11,837.941,0.59565,18.716,69,48,13,13,0,"{""Z1"": 3, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,47,0,74,0,0,2348.25,22569.090832,25217.242716,525.416667,262.708333,262.708333,0.0,949.311
47,P0_no_policy,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,30,51,13,0.010526,0.315789,0.536842,0.136842,13,13,0,0,0,7.06,8.376,31,0.607843,29.353,10.013,62.78,8.449,51,1.0,13,0,0.0,46,0.730159,718.941,30,37,67,13,731.941,0.761688,17.302,32,63,16,16,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 2, ""Z6"": 3, ""Z7"": 3, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,2032.787,0.0,0.0,0.0,0.0,0.0,1378.525844,769.162
47,P0_no_policy,W2,heavy_rain,rest_day,50,78,69,0.884615,2,2,1.0,9,0,0,111,111,0,1.0,6,57,33,15,0.054054,0.513514,0.297297,0.135135,16,15,1,1,1,7.883,8.958,17,0.515152,27.775,8.288,56.138,5.784,68,0.985507,32,1,0.03125,25,0.555556,826.941,57,19,76,15,841.941,0.631209,18.404,66,45,13,13,0,"{""Z1"": 3, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,29,0,69,0,0,2307.826,0.0,0.0,0.0,0.0,0.0,506.451261,889.25
