leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
46-2026-07-11-L02,46,2026-07-11,Saturday,return_home,activity-46-2026-07-11-003,return_home,Z5,Z5,2026-07-11 16:30:00,,,10.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 16:30:00,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,12.0,0.0,31.01,53.01,2.0,15.924,0.477222,extreme_heat,W1,rest_day,P0_no_policy,22.0,280.0,1.3,364.0,0.0
47-2026-07-11-L01,47,2026-07-11,Saturday,outbound,activity-47-2026-07-11-004,visit,Z3,Z8,2026-07-11 07:30:00,2026-07-11 09:30:00,2026-07-11 07:30:00,5.0,2026-07-11 09:25:32.905920,2026-07-11 09:25:32.905920,0.0,True,True,False,False,bus,bus,2,47.654,10.214,20.0,17.44,4.0,57.894,19.013,8.0,4.5,28.641,12.0,5.714,2026-07-11 07:30:00,metro,False,,False,False,metro,walk-bus-walk-metro-walk-bus-walk,True,14.714,0.0,14.714,20.0,20.0,60.834,115.548,9.0,29.305,,normal,W1,rest_day,P0_no_policy,34.714,154.184,1.3,200.4392,0.0
47-2026-07-11-L02,47,2026-07-11,Saturday,return_home,activity-47-2026-07-11-004,return_home,Z8,Z3,2026-07-11 17:30:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 17:30:00,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,10.0,8.0,110.868,134.583,2.0,15.069,0.944444,extreme_heat,W1,rest_day,P0_no_policy,15.714,156.854,1.3,203.9102,0.0
48-2026-07-11-L01,48,2026-07-11,Saturday,outbound,activity-48-2026-07-11-007,shopping,Z3,Z3,2026-07-11 10:21:56.778600,2026-07-11 11:00:00,2026-07-11 09:00:00,10.0,2026-07-11 10:49:59.940000,2026-07-11 10:49:59.940000,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 10:21:56.778600,bus,False,,False,False,bus,walk-bus-walk,True,6.975,0.0,6.975,8.0,0.0,13.078,28.053,2.0,17.966,0.481373,normal,W1,rest_day,P0_no_policy,14.975,126.708333,1.3,164.720833,0.0
48-2026-07-11-L02,48,2026-07-11,Saturday,between_activities,activity-48-2026-07-11-008,out_of_home_family_care,Z3,Z3,2026-07-11 14:41:29.570760,2026-07-11 15:30:00,2026-07-11 13:30:00,10.0,2026-07-11 15:20:00,2026-07-11 15:20:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 14:41:29.570760,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,23.507,38.507,2.0,17.972,0.476667,extreme_heat,W1,rest_day,P0_no_policy,15.0,236.0,1.3,306.8,0.0
48-2026-07-11-L03,48,2026-07-11,Saturday,return_home,activity-48-2026-07-11-008,return_home,Z3,Z3,2026-07-11 18:30:00,,,10.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 18:30:00,bus,False,,False,False,bus,walk-bus-walk,True,4.0,0.0,4.0,8.0,0.0,43.07,55.07,2.0,15.108,0.945,normal,W1,rest_day,P0_no_policy,12.0,104.0,1.3,135.2,0.0
49-2026-07-11-L01,49,2026-07-11,Saturday,outbound,activity-49-2026-07-11-007,shopping,Z7,Z1,2026-07-11 10:30:43.885200,2026-07-11 12:00:00,2026-07-11 10:00:00,10.0,2026-07-11 11:50:00,2026-07-11 11:50:00,0.0,True,True,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 10:30:43.885200,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,64.269,79.269,2.0,17.972,0.476667,normal,W1,rest_day,P0_no_policy,15.0,143.0,1.3,185.9,0.0
49-2026-07-11-L02,49,2026-07-11,Saturday,between_activities,activity-49-2026-07-11-008,out_of_home_family_activity,Z1,Z7,2026-07-11 12:46:29.465700,2026-07-11 14:00:00,2026-07-11 12:30:00,5.0,2026-07-11 13:55:00,2026-07-11 13:55:00,0.0,True,True,True,False,walk,bus,1,20.509,7.0,8.0,5.509,2.0,43.0,0.0,0.0,0.0,20.509,8.0,7.0,2026-07-11 12:46:29.465700,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,12.0,0.0,12.0,16.0,5.0,35.509,68.509,7.0,32.358,,extreme_heat,W1,rest_day,P0_no_policy,28.0,394.0,1.3,512.2,0.0
49-2026-07-11-L03,49,2026-07-11,Saturday,return_home,activity-49-2026-07-11-008,return_home,Z7,Z7,2026-07-11 15:00:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 15:00:00,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,56.228,71.228,2.0,17.971,0.477222,extreme_heat,W1,rest_day,P0_no_policy,15.0,221.0,1.3,287.3,0.0
5-2026-07-11-L01,5,2026-07-11,Saturday,outbound,activity-5-2026-07-11-006,social_leisure,Z4,Z4,2026-07-11 12:28:44.525580,2026-07-11 13:00:00,2026-07-11 11:00:00,10.0,2026-07-11 13:17:28.698540,2026-07-11 13:37:28.698540,37.478,False,True,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 12:48:44.525580,ride_hailing,True,vehicle_wait_limit_exceeded,True,True,bus,walk-bus-walk,True,10.0,20.0,30.0,12.0,0.0,26.736,68.736,2.0,17.971,0.477222,extreme_heat,W1,rest_day,P0_no_policy,42.0,561.466666,1.0,561.466666,0.0
