weather_scenario,day_type,policy,agent_id,activity_id,activity_purpose,is_mandatory,origin_zone,destination_zone,final_status,weather_cancelled,transport_unmet,completed,transport_succeeded,activity_completed,late_but_reached,mandatory_activity_incomplete,completion_failure_reason,actual_arrival_time,arrival_delay_minutes,on_time_arrival
W2,workday,P0_no_policy,31,activity-31-2026-07-07-002,work,True,Z7,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:00,0.0,True
W2,workday,P0_no_policy,32,activity-32-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:22:53.212260,0.0,True
W2,workday,P0_no_policy,33,activity-33-2026-07-07-003,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 10:29:28.654560,0.0,True
W2,workday,P0_no_policy,34,activity-34-2026-07-07-002,work,True,Z7,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:27:31.548600,0.0,True
W2,workday,P0_no_policy,35,activity-35-2026-07-07-003,work,True,Z9,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:24:13.693260,0.0,True
W2,workday,P0_no_policy,36,activity-36-2026-07-07-002,work,True,Z8,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:25:09.870540,0.0,True
W2,workday,P0_no_policy,37,activity-37-2026-07-07-003,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:55:00,0.0,True
W2,workday,P0_no_policy,38,activity-38-2026-07-07-003,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:51:00.263700,0.0,True
W2,workday,P0_no_policy,39,activity-39-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 07:10:49.873680,0.0,True
W2,workday,P0_no_policy,39,activity-39-2026-07-07-003,out_of_home_family_activity,False,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 20:52:03.522600,0.0,True
W2,workday,P0_no_policy,40,activity-40-2026-07-07-004,visit,False,Z8,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 13:36:10.440000,0.0,True
W2,workday,P0_no_policy,41,activity-41-2026-07-07-002,work,True,Z3,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:30:01.846500,0.031,True
W2,workday,P0_no_policy,42,activity-42-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:01:01.074480,1.018,True
W2,workday,P0_no_policy,43,activity-43-2026-07-07-003,work,True,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:26:18,0.0,True
