source_decision_sequence,source_agent_id,source_leg_id,target_decision_sequence,target_agent_id,target_leg_id,shared_state_key,mechanism,source_flow_contribution_pcu_per_hour,target_probability_delta
10,39,39-2026-07-07-L01,19,96,96-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004166069, ""metro"": 0.0, ""ride_hailing"": 0.004166069}"
12,85,85-2026-07-07-L01,19,96,96-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004166069, ""metro"": 0.0, ""ride_hailing"": 0.004166069}"
10,39,39-2026-07-07-L01,20,120,120-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004614377, ""metro"": 0.0, ""ride_hailing"": 0.004614377}"
12,85,85-2026-07-07-L01,20,120,120-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004614377, ""metro"": 0.0, ""ride_hailing"": 0.004614377}"
10,39,39-2026-07-07-L01,22,77,77-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.000887848, ""metro"": 0.001404487, ""ride_hailing"": -0.00051664}"
12,85,85-2026-07-07-L01,22,77,77-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.000887848, ""metro"": 0.001404487, ""ride_hailing"": -0.00051664}"
21,35,35-2026-07-07-L01,22,77,77-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.000887848, ""metro"": 0.001404487, ""ride_hailing"": -0.00051664}"
10,39,39-2026-07-07-L01,23,106,106-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.010512473, ""metro"": 0.008067926, ""ride_hailing"": 0.002444547}"
12,85,85-2026-07-07-L01,23,106,106-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.010512473, ""metro"": 0.008067926, ""ride_hailing"": 0.002444547}"
21,35,35-2026-07-07-L01,23,106,106-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.010512473, ""metro"": 0.008067926, ""ride_hailing"": 0.002444547}"
