leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,unconcentrated_departure_time,departure_time_concentrated,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,late_but_reached,maximum_commute_time_exceeded,maximum_lateness_exceeded,completion_failure_reason,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,origin_metro_walk_access_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,destination_metro_walk_access_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,fare_before_coupon_yuan,coupon_bound,coupon_redeemed,coupon_expired_after_failed_request,coupon_subsidy_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,expected_outdoor_exposure_minutes_at_choice,weather_exposure_age_weight,weather_exposure_disutility,weather_scenario,day_type,policy,experiment_condition
102-2026-07-07-L02,102,2026-07-07,Tuesday,between_activities,activity-102-2026-07-07-003,out_of_home_family_care,Z2,Z7,2026-07-07 17:32:31.080000,2026-07-07 19:00:00,2026-07-07 17:30:00,2026-07-07 17:32:31.080000,False,5.0,2026-07-07 18:55:30.277140,2026-07-07 18:55:30.277140,0.0,True,True,False,False,False,,True,False,walk,bus,1,20.593,4.0,8.0,8.593,2.0,57.394,0.0,0.0,0.0,10.0,20.593,8.0,4.0,0.0,2026-07-07 17:32:31.080000,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,8.5,0.0,8.5,18.0,5.0,51.487,82.987,7.0,7.0,False,False,False,0.0,31.081,,heavy_rain,22.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
102-2026-07-07-L03,102,2026-07-07,Tuesday,return_home,activity-102-2026-07-07-003,return_home,Z7,Z4,2026-07-07 20:00:00,,,,False,10.0,,,,,,False,False,False,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 20:00:00,bus,False,,False,False,bus,walk-bus-walk,True,4.992,0.0,4.992,10.0,0.0,66.716,81.708,2.0,2.0,False,False,False,0.0,16.169,0.857658,normal,14.992,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
103-2026-07-07-L01,103,2026-07-07,Tuesday,outbound,activity-103-2026-07-07-002,work,Z4,Z7,2026-07-07 08:42:59.820000,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:42:59.820000,False,5.0,2026-07-07 09:58:13.522860,2026-07-07 09:58:13.522860,0.0,True,True,False,False,False,,True,False,walk,bus,1,21.161,4.8,8.0,8.361,2.0,49.067,0.0,0.0,0.0,15.0,21.161,8.0,4.8,0.0,2026-07-07 08:42:59.820000,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,10.848,0.0,10.848,23.0,5.0,36.38,75.228,7.0,7.0,False,False,False,0.0,29.678,,heavy_rain,27.8,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
103-2026-07-07-L02,103,2026-07-07,Tuesday,return_home,activity-103-2026-07-07-002,return_home,Z7,Z4,2026-07-07 18:30:00,,,,False,10.0,,,,,,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 18:30:00,bus,False,,False,False,bus,walk-bus-walk,True,4.48,0.0,4.48,10.0,0.0,90.307,104.787,2.0,2.0,False,False,False,0.0,11.945,1.330719,heavy_rain,14.48,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
104-2026-07-07-L01,104,2026-07-07,Tuesday,outbound,activity-104-2026-07-07-003,work,Z1,Z1,2026-07-07 07:29:37.680000,2026-07-07 08:00:00,2026-07-07 06:00:00,2026-07-07 07:29:37.680000,False,8.0,2026-07-07 07:52:21.073440,2026-07-07 07:52:21.073440,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 07:29:37.680000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,7.0,0.0,7.0,2.0,0.0,13.723,22.723,19.4,19.4,False,False,False,0.0,21.866,0.878431,heavy_rain,7.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
104-2026-07-07-L02,104,2026-07-07,Tuesday,return_home,activity-104-2026-07-07-003,return_home,Z1,Z1,2026-07-07 17:00:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,31.573,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 17:00:00,metro,False,,False,False,metro,walk-metro-walk,True,3.0,0.0,3.0,20.0,0.0,8.573,31.573,3.0,3.0,False,False,False,0.0,35.001,,heavy_rain,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
105-2026-07-07-L01,105,2026-07-07,Tuesday,outbound,activity-105-2026-07-07-003,work,Z3,Z6,2026-07-07 06:43:38.640000,2026-07-07 08:30:00,2026-07-07 06:30:00,2026-07-07 06:43:38.640000,False,5.0,2026-07-07 07:57:48.909900,2026-07-07 07:57:48.909900,0.0,True,True,False,False,False,,True,False,walk,bus,1,32.146,6.429,12.0,13.718,2.0,37.025,0.0,0.0,0.0,8.0,32.146,12.0,6.429,0.0,2026-07-07 06:43:38.640000,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,9.429,0.0,9.429,20.0,5.0,39.742,74.171,6.0,6.0,False,False,False,0.0,27.071,,normal,26.429,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
105-2026-07-07-L02,105,2026-07-07,Tuesday,return_home,activity-105-2026-07-07-003,return_home,Z6,Z3,2026-07-07 17:00:00,,,,False,5.0,,,,,,False,False,False,,True,False,walk,bus,1,20.398,4.0,8.0,8.398,2.0,44.624,0.0,0.0,0.0,15.0,20.398,8.0,4.0,0.0,2026-07-07 17:00:00,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,7.6,0.0,7.6,23.0,5.0,34.422,70.022,6.0,6.0,False,False,False,0.0,29.338,,heavy_rain,27.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
106-2026-07-07-L01,106,2026-07-07,Tuesday,outbound,activity-106-2026-07-07-002,work,Z3,Z1,2026-07-07 06:56:19.140000,2026-07-07 08:00:00,2026-07-07 06:00:00,2026-07-07 06:56:19.140000,False,10.0,2026-07-07 07:51:01.192500,2026-07-07 07:51:01.192500,0.0,True,True,False,False,False,,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 06:56:19.140000,bus,False,,False,False,bus,walk-bus-walk,True,4.5,0.0,4.5,8.0,0.0,42.201,54.701,2.0,2.0,False,False,False,0.0,11.944,0.87451,normal,12.5,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
106-2026-07-07-L02,106,2026-07-07,Tuesday,return_home,activity-106-2026-07-07-002,return_home,Z1,Z3,2026-07-07 18:00:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,37.592,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 18:00:00,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,13.092,37.592,4.0,4.0,False,False,False,0.0,35.0,,heavy_rain,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
107-2026-07-07-L01,107,2026-07-07,Tuesday,outbound,activity-107-2026-07-07-002,work,Z2,Z3,2026-07-07 08:08:37.560000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:08:37.560000,False,5.0,2026-07-07 09:24:40.778460,2026-07-07 09:24:40.778460,0.0,True,True,False,False,False,,True,False,walk,bus,1,20.568,4.0,8.0,8.568,2.0,50.486,0.0,0.0,0.0,10.0,20.568,8.0,4.0,0.0,2026-07-07 08:08:37.560000,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,8.5,0.0,8.5,18.0,15.0,34.554,76.054,6.0,6.0,False,False,False,0.0,29.186,,heavy_rain,22.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
107-2026-07-07-L02,107,2026-07-07,Tuesday,return_home,activity-107-2026-07-07-002,return_home,Z3,Z2,2026-07-07 19:00:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,57.186,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 19:00:00,metro,False,,False,False,metro,walk-metro-walk,True,3.2,0.0,3.2,20.0,8.0,25.986,57.186,4.0,4.0,False,False,False,0.0,34.999,,heavy_rain,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
108-2026-07-07-L01,108,2026-07-07,Tuesday,outbound,activity-108-2026-07-07-002,work,Z3,Z2,2026-07-07 08:08:37.560000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:08:37.560000,False,5.0,2026-07-07 09:24:40.778460,2026-07-07 09:24:40.778460,0.0,True,True,False,False,False,,True,False,walk,bus,1,20.568,4.0,8.0,8.568,2.0,50.486,0.0,0.0,0.0,10.0,20.568,8.0,4.0,0.0,2026-07-07 08:08:37.560000,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,8.5,0.0,8.5,18.0,15.0,34.554,76.054,6.0,6.0,False,False,False,0.0,29.186,,heavy_rain,22.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
108-2026-07-07-L02,108,2026-07-07,Tuesday,return_home,activity-108-2026-07-07-002,return_home,Z2,Z3,2026-07-07 19:00:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,57.186,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 19:00:00,metro,False,,False,False,metro,walk-metro-walk,True,3.2,0.0,3.2,20.0,8.0,25.986,57.186,4.0,4.0,False,False,False,0.0,34.999,,heavy_rain,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
109-2026-07-07-L01,109,2026-07-07,Tuesday,outbound,activity-109-2026-07-07-002,work,Z3,Z1,2026-07-07 08:47:24.480000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:47:24.480000,False,5.0,2026-07-07 09:25:00,2026-07-07 09:25:00,0.0,True,True,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,37.592,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 08:47:24.480000,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,13.092,37.592,4.0,4.0,False,False,False,0.0,35.0,,heavy_rain,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
109-2026-07-07-L02,109,2026-07-07,Tuesday,return_home,activity-109-2026-07-07-002,return_home,Z1,Z3,2026-07-07 19:30:00,,,,False,10.0,,,,,,False,False,False,,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:30:00,bus,False,,False,False,bus,walk-bus-walk,True,4.8,0.0,4.8,8.0,0.0,35.549,48.349,2.0,2.0,False,False,False,0.0,14.179,0.821223,heavy_rain,12.8,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
11-2026-07-07-L01,11,2026-07-07,Tuesday,outbound,activity-11-2026-07-07-004,work,Z5,Z7,2026-07-07 07:54:35.400000,2026-07-07 09:00:00,2026-07-07 07:00:00,2026-07-07 07:54:35.400000,False,5.0,2026-07-07 08:55:00,2026-07-07 08:55:00,0.0,True,True,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,60.41,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,2026-07-07 07:54:35.400000,metro,False,,False,False,metro,walk-metro-walk,True,6.048,0.0,6.048,25.0,0.0,29.362,60.41,5.0,5.0,False,False,False,0.0,35.0,,heavy_rain,25.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
11-2026-07-07-L02,11,2026-07-07,Tuesday,return_home,activity-11-2026-07-07-004,return_home,Z7,Z5,2026-07-07 17:00:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,57.482,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,2026-07-07 17:00:00,metro,False,,False,False,metro,walk-metro-walk,True,3.12,0.0,3.12,25.0,0.0,29.362,57.482,5.0,5.0,False,False,False,0.0,35.0,,heavy_rain,25.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
110-2026-07-07-L01,110,2026-07-07,Tuesday,outbound,activity-110-2026-07-07-003,medical,Z7,Z7,2026-07-07 08:40:22.260000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:40:22.260000,False,5.0,2026-07-07 09:25:00,2026-07-07 09:25:00,0.0,True,True,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,44.629,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 08:40:22.260000,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,20.129,44.629,4.0,4.0,False,False,False,0.0,35.0,,heavy_rain,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
110-2026-07-07-L02,110,2026-07-07,Tuesday,between_activities,activity-110-2026-07-07-004,visit,Z7,Z3,2026-07-07 12:00:00,2026-07-07 14:00:00,2026-07-07 12:00:00,2026-07-07 12:00:00,False,10.0,2026-07-07 13:55:18.894540,2026-07-07 13:55:18.894540,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 12:00:00,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,8.0,92.315,115.315,2.0,2.0,False,False,False,0.0,17.972,0.476667,normal,15.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
110-2026-07-07-L03,110,2026-07-07,Tuesday,return_home,activity-110-2026-07-07-004,return_home,Z3,Z7,2026-07-07 18:00:00,,,,False,5.0,,,,,,False,False,False,,True,False,walk,bus,1,21.059,4.8,8.0,8.259,2.0,67.425,0.0,0.0,0.0,10.0,21.059,8.0,4.8,0.0,2026-07-07 18:00:00,metro,False,,False,False,metro,walk-metro-walk-bus-walk,True,9.3,0.0,9.3,18.0,14.833,51.351,93.484,7.0,7.0,False,False,False,0.0,31.299,,heavy_rain,22.8,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
112-2026-07-07-L01,112,2026-07-07,Tuesday,outbound,activity-112-2026-07-07-002,work,Z5,Z7,2026-07-07 07:49:55.320000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 07:49:55.320000,False,5.0,2026-07-07 09:29:01.148460,2026-07-07 09:29:01.148460,0.0,True,True,False,False,False,,False,False,bus,bus,2,53.687,9.714,20.0,23.973,4.0,35.41,32.697,12.0,5.714,0.0,20.99,8.0,4.0,0.0,2026-07-07 07:49:55.320000,metro,False,,False,False,metro,walk-bus-walk-metro-walk-bus-walk,True,15.762,0.0,15.762,20.0,10.0,53.335,99.097,9.0,9.0,False,False,False,0.0,24.218,,heavy_rain,29.714,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
112-2026-07-07-L02,112,2026-07-07,Tuesday,return_home,activity-112-2026-07-07-002,return_home,Z7,Z5,2026-07-07 17:30:00,,,,False,5.0,,,,,,False,False,False,,False,True,bus,walk,1,20.474,4.0,8.0,8.474,2.0,49.402,20.474,8.0,4.0,0.0,0.0,0.0,0.0,15.0,2026-07-07 17:30:00,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,9.04,0.0,9.04,23.0,5.0,37.836,74.876,7.0,7.0,False,False,False,0.0,29.778,,heavy_rain,27.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
113-2026-07-07-L01,113,2026-07-07,Tuesday,outbound,activity-113-2026-07-07-001,shopping,Z8,Z8,2026-07-07 17:51:00.600000,2026-07-07 18:30:00,2026-07-07 16:30:00,2026-07-07 17:51:00.600000,False,8.0,2026-07-07 18:22:53.564820,2026-07-07 18:22:53.564820,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 17:51:00.600000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,14.667,0.0,14.667,2.0,0.0,15.217,31.883,16.29,20.36,True,True,False,4.07,21.123,1.150327,heavy_rain,14.667,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
113-2026-07-07-L02,113,2026-07-07,Tuesday,return_home,activity-113-2026-07-07-001,return_home,Z8,Z8,2026-07-07 19:30:00,,,,False,10.0,,,,,,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:30:00,bus,False,,False,False,bus,walk-bus-walk,True,6.857,0.0,6.857,12.0,0.0,24.644,43.501,2.0,2.0,False,False,False,0.0,14.347,0.801615,heavy_rain,18.857,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
