seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_expired_after_failed_request,coupon_induced_requests,coupon_subsidy_yuan,mean_ride_hailing_wait_minutes_per_request
49,C2_elder_limited,coupon_C2_elder_limited,W2,heavy_rain,workday,200,212,198,0.933962,150,145,0.966667,9,0,0,371,371,0,1.0,2,142,169,58,0.005391,0.382749,0.455526,0.156334,60,58,2,2,2,2,2,0,5,5,0,5,7.382,8.689,96,0.568047,32.137,11.759,64.111,7.981,194,0.974874,71,2,0.028169,141,0.681159,1018.941,142,122,264,58,1076.941,0.817418,16.99,164,207,36,36,0,"{""Z1"": 6, ""Z2"": 7, ""Z3"": 2, ""Z4"": 4, ""Z5"": 5, ""Z6"": 3, ""Z7"": 3, ""Z8"": 3, ""Z9"": 3}",True,True,177,4,199,0,0,7535.395,0.0,0.0,0.0,0.0,0.0,5095.95491,3238.795,49,0,40,2,0,2,8.1,12.033488
49,C3_mixed,coupon_C3_mixed,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,222,130,28,0.028133,0.567775,0.332481,0.071611,28,28,0,0,0,0,0,0,1,3,0,3,6.788,7.957,65,0.5,27.048,10.583,61.073,5.144,211,0.995283,120,0,0.0,112,0.525822,1018.941,222,75,297,28,1046.941,0.731974,17.448,178,213,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 4, ""Z6"": 3, ""Z7"": 4, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,212,0,0,7335.478,0.0,0.0,0.0,0.0,0.0,0.0,2837.807,197,127,40,8,0,1,49.83,10.583429
49,C3_mixed,coupon_C3_mixed,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,214,130,33,0.028351,0.551546,0.335052,0.085052,33,33,0,0,0,0,0,0,1,3,0,3,6.7,7.92,65,0.5,27.01,10.419,60.805,5.475,209,0.995238,116,0,0.0,112,0.525822,1018.941,214,75,289,33,1051.941,0.731377,17.749,175,213,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 4, ""Z6"": 3, ""Z7"": 4, ""Z8"": 3, ""Z9"": 3}",True,True,29,0,210,0,0,7213.478,51068.209335,56981.053237,34939.63267,237.684576,232.930884,0.0,2807.207,197,127,40,9,0,2,55.07,10.419273
49,C3_mixed,coupon_C3_mixed,W2,heavy_rain,workday,200,212,198,0.933962,150,145,0.966667,9,0,0,371,371,0,1.0,2,139,168,62,0.005391,0.374663,0.45283,0.167116,64,62,2,2,2,2,2,0,5,5,0,5,7.467,8.714,96,0.571429,32.139,11.74,63.861,8.117,194,0.974874,68,2,0.029412,140,0.676329,1018.941,139,122,261,62,1080.941,0.817603,17.169,164,207,36,36,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 2, ""Z4"": 4, ""Z5"": 5, ""Z6"": 3, ""Z7"": 3, ""Z8"": 3, ""Z9"": 3}",True,True,177,4,199,0,0,7522.878,0.0,0.0,0.0,0.0,0.0,5073.428868,3269.777,197,127,40,13,1,6,78.68,11.998194
50,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,200,220,217,0.986364,145,143,0.986207,0,0,0,397,397,0,1.0,4,218,146,29,0.010076,0.549118,0.367758,0.073048,29,29,0,0,0,0,0,0,4,3,0,2,6.931,7.761,64,0.438356,27.702,11.131,63.086,5.825,216,0.981818,112,1,0.008929,133,0.523622,1018.941,218,75,293,29,1047.941,0.695096,17.677,143,254,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 3, ""Z4"": 4, ""Z5"": 3, ""Z6"": 5, ""Z7"": 5, ""Z8"": 5, ""Z9"": 1}",True,True,0,0,220,0,0,7321.729,0.0,0.0,0.0,0.0,0.0,0.0,2966.891,0,0,0,0,0,0,0.0,11.131083
50,C0_no_coupon,coupon_C0_no_coupon,W1,extreme_heat,workday,200,220,210,0.954545,145,143,0.986207,7,0,0,387,387,0,1.0,4,204,145,34,0.010336,0.527132,0.374677,0.087855,34,34,0,0,0,0,0,0,4,3,0,2,6.908,7.793,64,0.441379,27.703,10.832,62.558,6.227,209,0.981221,107,1,0.009346,133,0.53629,1018.941,204,75,279,34,1052.941,0.699222,17.978,139,248,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 4, ""Z4"": 4, ""Z5"": 3, ""Z6"": 5, ""Z7"": 5, ""Z8"": 5, ""Z9"": 1}",True,True,35,0,213,0,0,7109.514,49679.408838,55353.915507,33380.914708,233.43297,230.213205,0.0,2907.476,0,0,0,0,0,0,0.0,10.832394
50,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,200,220,201,0.913636,145,137,0.944828,10,1,1,370,369,1,0.997297,4,141,174,50,0.01084,0.382114,0.471545,0.135501,52,50,2,2,2,1,1,1,6,8,1,8,7.751,8.441,89,0.511494,31.045,10.393,65.373,8.31,195,0.970149,69,2,0.028986,159,0.679487,1018.941,141,109,250,50,1068.941,0.750275,17.2,135,234,36,36,0,"{""Z1"": 4, ""Z2"": 10, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 4, ""Z7"": 4, ""Z8"": 3, ""Z9"": 2}",True,True,166,8,202,1,1,7543.536,0.0,0.0,0.0,0.0,0.0,4480.172888,3121.223,0,0,0,0,0,0,0.0,10.762058
50,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,200,220,216,0.981818,145,142,0.97931,0,0,0,397,397,0,1.0,4,215,146,32,0.010076,0.541562,0.367758,0.080605,34,32,2,2,2,2,2,0,4,4,0,3,6.965,7.761,64,0.438356,27.702,10.167,62.983,5.82,216,0.981818,110,2,0.018182,133,0.523622,1018.941,215,75,290,32,1050.941,0.693887,17.845,143,254,36,36,0,"{""Z1"": 6, ""Z2"": 5, ""Z3"": 2, ""Z4"": 4, ""Z5"": 3, ""Z6"": 5, ""Z7"": 5, ""Z8"": 5, ""Z9"": 1}",True,True,0,0,220,0,0,7322.797,0.0,0.0,0.0,0.0,0.0,0.0,2995.957,190,132,40,10,0,5,72.89,10.744971
50,C1_public_limited,coupon_C1_public_limited,W1,extreme_heat,workday,200,220,209,0.95,145,142,0.97931,7,0,0,387,387,0,1.0,4,202,145,36,0.010336,0.521964,0.374677,0.093023,38,36,2,2,2,2,2,0,4,4,0,3,6.942,7.793,64,0.441379,27.703,10.023,62.507,6.164,209,0.981221,105,2,0.019048,133,0.53629,1018.941,202,75,277,36,1054.941,0.697918,18.099,139,248,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 3, ""Z4"": 4, ""Z5"": 3, ""Z6"": 5, ""Z7"": 5, ""Z8"": 5, ""Z9"": 1}",True,True,35,0,213,0,0,7119.011,49703.016838,55388.193141,33448.792342,235.554876,230.681326,0.0,2932.971,190,132,40,10,0,4,72.89,10.548132
50,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,200,220,201,0.913636,145,137,0.944828,10,1,1,370,369,1,0.997297,4,138,170,57,0.01084,0.373984,0.460705,0.154472,59,57,2,2,2,1,1,1,5,8,1,8,7.803,8.305,85,0.5,31.129,10.376,64.781,8.683,196,0.975124,67,2,0.029851,155,0.662393,1018.941,138,105,243,57,1075.941,0.754081,17.511,135,234,36,36,0,"{""Z1"": 3, ""Z2"": 10, ""Z3"": 3, ""Z4"": 4, ""Z5"": 3, ""Z6"": 4, ""Z7"": 4, ""Z8"": 3, ""Z9"": 2}",True,True,166,8,202,1,1,7441.968,0.0,0.0,0.0,0.0,0.0,4440.017542,3120.099,190,132,40,16,0,7,129.32,10.702102
