policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C1_public_limited,C0_no_coupon,W2,coupon_redeemed,0.0,16.3,16.3,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_induced_requests,0.0,8.4,8.4,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,117.196,117.196,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,ride_hailing_requests,56.4,64.8,8.4,14.893617,True,
C1_public_limited,C0_no_coupon,W2,successful_ride_hailing_requests,55.2,63.0,7.8,14.130435,True,
C1_public_limited,C0_no_coupon,W2,ride_hailing_failed,1.2,1.8,0.6,50.0,True,
C1_public_limited,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.415378,11.425311,0.009933,0.087014,True,
C1_public_limited,C0_no_coupon,W2,fallback_attempts,1.2,1.8,0.6,50.0,True,
C1_public_limited,C0_no_coupon,W2,fallback_succeeded,1.1,1.7,0.6,54.545455,True,
C1_public_limited,C0_no_coupon,W2,transport_unmet,0.1,0.1,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W2,mandatory_activity_incomplete,4.7,4.5,-0.2,-4.255319,True,
C1_public_limited,C0_no_coupon,W2,activity_completion_rate,0.93425,0.934754,0.000504,0.053947,True,
C1_public_limited,C0_no_coupon,W2,necessary_activity_completion_rate,0.968055,0.969406,0.001351,0.139558,True,
C1_public_limited,C0_no_coupon,W2,walking_mode_share,0.006701,0.006953,0.000252,3.760633,True,
C1_public_limited,C0_no_coupon,W2,bus_mode_share,0.393109,0.379724,-0.013385,-3.404908,True,
C1_public_limited,C0_no_coupon,W2,metro_mode_share,0.452413,0.444601,-0.007812,-1.726741,True,
C1_public_limited,C0_no_coupon,W2,ride_hailing_mode_share,0.147777,0.168722,0.020945,14.173383,True,
C1_public_limited,C0_no_coupon,W2,mean_total_travel_time,64.6293,64.064,-0.5653,-0.874681,True,
C1_public_limited,C0_no_coupon,W2,mean_road_speed_kmh,17.1584,17.494,0.3356,1.955893,True,
C1_public_limited,C0_no_coupon,W2,total_outdoor_exposure_minutes,7545.873,7481.0913,-64.7817,-0.858505,True,
C1_public_limited,C0_no_coupon,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_reached,0.0,45.4,45.4,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_participated,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_redeemed,0.0,0.8,0.8,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_induced_requests,0.0,0.5,0.5,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,3.454,3.454,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,ride_hailing_requests,23.5,24.0,0.5,2.12766,True,
C2_elder_limited,C0_no_coupon,W0,successful_ride_hailing_requests,23.5,24.0,0.5,2.12766,True,
C2_elder_limited,C0_no_coupon,W0,ride_hailing_failed,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10.81538,10.809373,-0.006007,-0.055541,True,
C2_elder_limited,C0_no_coupon,W0,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,fallback_succeeded,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W0,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,activity_completion_rate,0.981786,0.981786,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,necessary_activity_completion_rate,0.977543,0.977543,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,walking_mode_share,0.013682,0.013682,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,bus_mode_share,0.572276,0.571032,-0.001244,-0.217378,True,
C2_elder_limited,C0_no_coupon,W0,metro_mode_share,0.354608,0.354608,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.059433,0.060678,0.001245,2.094796,True,
C2_elder_limited,C0_no_coupon,W0,mean_total_travel_time,62.5136,62.4785,-0.0351,-0.056148,True,
C2_elder_limited,C0_no_coupon,W0,mean_road_speed_kmh,17.3696,17.3981,0.0285,0.16408,True,
C2_elder_limited,C0_no_coupon,W0,total_outdoor_exposure_minutes,7369.3231,7359.9231,-9.4,-0.127556,True,
C2_elder_limited,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_reached,0.0,45.4,45.4,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_participated,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_redeemed,0.0,1.6,1.6,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_induced_requests,0.0,0.7,0.7,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,coupon_subsidy_yuan,0.0,6.767,6.767,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,ride_hailing_requests,26.8,27.5,0.7,2.61194,True,
C2_elder_limited,C0_no_coupon,W1,successful_ride_hailing_requests,26.8,27.5,0.7,2.61194,True,
C2_elder_limited,C0_no_coupon,W1,ride_hailing_failed,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,mean_ride_hailing_wait_minutes_per_request,10.701099,10.656258,-0.044841,-0.419032,True,
C2_elder_limited,C0_no_coupon,W1,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,fallback_succeeded,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W1,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,activity_completion_rate,0.957545,0.957545,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,necessary_activity_completion_rate,0.977543,0.977543,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,walking_mode_share,0.013176,0.013176,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W1,bus_mode_share,0.557076,0.555518,-0.001558,-0.279675,True,
C2_elder_limited,C0_no_coupon,W1,metro_mode_share,0.360605,0.360346,-0.000259,-0.071824,True,
C2_elder_limited,C0_no_coupon,W1,ride_hailing_mode_share,0.069144,0.07096,0.001816,2.626403,True,
C2_elder_limited,C0_no_coupon,W1,mean_total_travel_time,62.5444,62.5068,-0.0376,-0.060117,True,
C2_elder_limited,C0_no_coupon,W1,mean_road_speed_kmh,17.5706,17.6139,0.0433,0.246434,True,
C2_elder_limited,C0_no_coupon,W1,total_outdoor_exposure_minutes,7179.721,7170.0781,-9.6429,-0.134307,True,
C2_elder_limited,C0_no_coupon,W1,total_heat_risk_burden,56992.092121,56833.849881,-158.24224,-0.277656,True,
C2_elder_limited,C0_no_coupon,W2,coupon_reached,0.0,45.4,45.4,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_participated,0.0,0.0,0.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_redeemed,0.0,1.3,1.3,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_induced_requests,0.0,1.0,1.0,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,5.987,5.987,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,ride_hailing_requests,56.4,57.4,1.0,1.77305,True,
C2_elder_limited,C0_no_coupon,W2,successful_ride_hailing_requests,55.2,56.2,1.0,1.811594,True,
C2_elder_limited,C0_no_coupon,W2,ride_hailing_failed,1.2,1.2,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.415378,11.409399,-0.005979,-0.052377,True,
C2_elder_limited,C0_no_coupon,W2,fallback_attempts,1.2,1.2,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,fallback_succeeded,1.1,1.1,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,transport_unmet,0.1,0.1,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,mandatory_activity_incomplete,4.7,4.7,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,activity_completion_rate,0.93425,0.93425,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,necessary_activity_completion_rate,0.968055,0.968055,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,walking_mode_share,0.006701,0.006701,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,bus_mode_share,0.393109,0.390463,-0.002646,-0.673096,True,
C2_elder_limited,C0_no_coupon,W2,metro_mode_share,0.452413,0.452413,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,ride_hailing_mode_share,0.147777,0.150422,0.002645,1.789859,True,
C2_elder_limited,C0_no_coupon,W2,mean_total_travel_time,64.6293,64.5617,-0.0676,-0.104597,True,
C2_elder_limited,C0_no_coupon,W2,mean_road_speed_kmh,17.1584,17.2218,0.0634,0.369498,True,
C2_elder_limited,C0_no_coupon,W2,total_outdoor_exposure_minutes,7545.873,7533.0052,-12.8678,-0.170528,True,
C2_elder_limited,C0_no_coupon,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_reached,0.0,195.6,195.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_redeemed,0.0,6.3,6.3,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_induced_requests,0.0,4.0,4.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,43.743,43.743,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,ride_hailing_requests,23.5,27.5,4.0,17.021277,True,
