policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W2,ride_hailing_mode_share,10,0.147777,0.014571,0.143339,0.127371,0.173554
C0_no_coupon,W2,mean_total_travel_time,10,64.6293,1.840603,64.501,62.151,68.315
C0_no_coupon,W2,mean_road_speed_kmh,10,17.1584,0.323739,17.0345,16.847,17.828
C0_no_coupon,W2,total_outdoor_exposure_minutes,10,7545.873,243.114678,7547.4605,7112.55,7954.31
C0_no_coupon,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,coupon_reached,10,191.4,2.065591,191.0,189.0,195.0
C1_public_limited,W0,coupon_participated,10,128.6,4.526465,129.0,122.0,137.0
C1_public_limited,W0,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C1_public_limited,W0,coupon_redeemed,10,9.7,2.869379,10.0,5.0,14.0
C1_public_limited,W0,coupon_induced_requests,10,5.6,2.716207,5.5,2.0,10.0
C1_public_limited,W0,coupon_subsidy_yuan,10,66.945,19.216664,73.63,28.96,84.7
C1_public_limited,W0,ride_hailing_requests,10,29.1,5.762908,28.5,23.0,42.0
C1_public_limited,W0,successful_ride_hailing_requests,10,28.9,5.606544,28.5,23.0,42.0
C1_public_limited,W0,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
C1_public_limited,W0,mean_ride_hailing_wait_minutes_per_request,10,10.645033,0.42346,10.658959,9.804208,11.258542
C1_public_limited,W0,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
C1_public_limited,W0,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
C1_public_limited,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,mandatory_activity_incomplete,10,3.3,1.636392,3.0,1.0,7.0
C1_public_limited,W0,activity_completion_rate,10,0.981805,0.007948,0.983662,0.962085,0.991111
C1_public_limited,W0,necessary_activity_completion_rate,10,0.977529,0.01107,0.97931,0.952703,0.993197
C1_public_limited,W0,walking_mode_share,10,0.013682,0.006914,0.01031,0.007595,0.028133
C1_public_limited,W0,bus_mode_share,10,0.560426,0.019284,0.564097,0.529412,0.599496
C1_public_limited,W0,metro_mode_share,10,0.352818,0.025194,0.353839,0.311436,0.398977
C1_public_limited,W0,ride_hailing_mode_share,10,0.073074,0.013078,0.073072,0.058974,0.10219
C1_public_limited,W0,mean_total_travel_time,10,62.1243,1.540819,62.474,60.149,65.004
C1_public_limited,W0,mean_road_speed_kmh,10,17.6502,0.31269,17.553,17.344,18.374
C1_public_limited,W0,total_outdoor_exposure_minutes,10,7318.3971,140.209131,7293.4645,7070.851,7510.225
C1_public_limited,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W1,coupon_reached,10,191.4,2.065591,191.0,189.0,195.0
C1_public_limited,W1,coupon_participated,10,128.6,4.526465,129.0,122.0,137.0
C1_public_limited,W1,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C1_public_limited,W1,coupon_redeemed,10,10.3,3.12872,10.5,5.0,14.0
C1_public_limited,W1,coupon_induced_requests,10,5.7,2.496664,6.0,2.0,10.0
C1_public_limited,W1,coupon_subsidy_yuan,10,70.333,21.369308,75.96,28.96,94.66
C1_public_limited,W1,ride_hailing_requests,10,32.5,6.536224,29.0,26.0,47.0
C1_public_limited,W1,successful_ride_hailing_requests,10,32.3,6.377913,29.0,26.0,47.0
C1_public_limited,W1,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
C1_public_limited,W1,mean_ride_hailing_wait_minutes_per_request,10,10.541109,0.367761,10.527939,9.929931,11.007069
C1_public_limited,W1,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
C1_public_limited,W1,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
C1_public_limited,W1,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W1,mandatory_activity_incomplete,10,3.3,1.636392,3.0,1.0,7.0
C1_public_limited,W1,activity_completion_rate,10,0.957564,0.014547,0.957871,0.933649,0.976415
C1_public_limited,W1,necessary_activity_completion_rate,10,0.977529,0.01107,0.97931,0.952703,0.993197
C1_public_limited,W1,walking_mode_share,10,0.013176,0.007719,0.01053,0.005236,0.028351
C1_public_limited,W1,bus_mode_share,10,0.54442,0.02183,0.545584,0.515707,0.585678
C1_public_limited,W1,metro_mode_share,10,0.359023,0.026612,0.361272,0.315271,0.403141
C1_public_limited,W1,ride_hailing_mode_share,10,0.083381,0.014906,0.075042,0.069149,0.115764
C1_public_limited,W1,mean_total_travel_time,10,62.1473,1.671202,62.249,60.148,65.153
C1_public_limited,W1,mean_road_speed_kmh,10,17.8659,0.345989,17.74,17.531,18.665
C1_public_limited,W1,total_outdoor_exposure_minutes,10,7132.2545,195.978601,7133.152,6871.351,7418.225
C1_public_limited,W1,total_heat_risk_burden,10,56725.490715,2469.133657,56364.363822,52835.642021,60638.874298
C1_public_limited,W2,coupon_reached,10,191.4,2.065591,191.0,189.0,195.0
C1_public_limited,W2,coupon_participated,10,128.6,4.526465,129.0,122.0,137.0
C1_public_limited,W2,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C1_public_limited,W2,coupon_redeemed,10,16.3,3.335,15.5,12.0,22.0
C1_public_limited,W2,coupon_induced_requests,10,8.4,2.75681,7.0,6.0,14.0
C1_public_limited,W2,coupon_subsidy_yuan,10,117.196,31.176139,110.63,87.12,183.86
C1_public_limited,W2,ride_hailing_requests,10,64.8,6.425643,62.5,57.0,75.0
C1_public_limited,W2,successful_ride_hailing_requests,10,63.0,5.754226,61.5,57.0,71.0
C1_public_limited,W2,ride_hailing_failed,10,1.8,1.47573,1.5,0.0,4.0
C1_public_limited,W2,mean_ride_hailing_wait_minutes_per_request,10,11.425311,0.48609,11.394234,10.695114,12.090505
C1_public_limited,W2,fallback_attempts,10,1.8,1.47573,1.5,0.0,4.0
C1_public_limited,W2,fallback_succeeded,10,1.7,1.494434,1.0,0.0,4.0
C1_public_limited,W2,transport_unmet,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W2,mandatory_activity_incomplete,10,4.5,2.173067,3.5,2.0,8.0
C1_public_limited,W2,activity_completion_rate,10,0.934754,0.017813,0.933164,0.913636,0.964444
C1_public_limited,W2,necessary_activity_completion_rate,10,0.969406,0.014687,0.97605,0.944828,0.986207
C1_public_limited,W2,walking_mode_share,10,0.006953,0.003756,0.005451,0.0,0.012563
C1_public_limited,W2,bus_mode_share,10,0.379724,0.013779,0.374656,0.360434,0.405195
C1_public_limited,W2,metro_mode_share,10,0.444601,0.02327,0.450495,0.409548,0.485095
C1_public_limited,W2,ride_hailing_mode_share,10,0.168722,0.012492,0.166173,0.154472,0.192837
C1_public_limited,W2,mean_total_travel_time,10,64.064,1.818613,63.8885,61.727,67.743
C1_public_limited,W2,mean_road_speed_kmh,10,17.494,0.295377,17.394,17.198,17.983
C1_public_limited,W2,total_outdoor_exposure_minutes,10,7481.0913,257.83539,7483.4365,7081.986,8003.235
C1_public_limited,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,coupon_reached,10,45.4,2.065591,45.0,43.0,49.0
C2_elder_limited,W0,coupon_participated,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C2_elder_limited,W0,coupon_redeemed,10,0.8,0.788811,1.0,0.0,2.0
C2_elder_limited,W0,coupon_induced_requests,10,0.5,0.707107,0.0,0.0,2.0
C2_elder_limited,W0,coupon_subsidy_yuan,10,3.454,3.621474,2.995,0.0,9.26
C2_elder_limited,W0,ride_hailing_requests,10,24.0,5.597619,23.5,17.0,34.0
C2_elder_limited,W0,successful_ride_hailing_requests,10,24.0,5.597619,23.5,17.0,34.0
C2_elder_limited,W0,ride_hailing_failed,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,mean_ride_hailing_wait_minutes_per_request,10,10.809373,0.449548,10.817106,9.975294,11.594333
C2_elder_limited,W0,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,fallback_succeeded,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,mandatory_activity_incomplete,10,3.3,1.946507,3.0,1.0,8.0
C2_elder_limited,W0,activity_completion_rate,10,0.981786,0.00942,0.985645,0.957346,0.991111
C2_elder_limited,W0,necessary_activity_completion_rate,10,0.977543,0.01315,0.979655,0.945946,0.993197
C2_elder_limited,W0,walking_mode_share,10,0.013682,0.006914,0.01031,0.007595,0.028133
C2_elder_limited,W0,bus_mode_share,10,0.571032,0.02158,0.568698,0.542199,0.617128
C2_elder_limited,W0,metro_mode_share,10,0.354608,0.026198,0.356436,0.311436,0.404092
C2_elder_limited,W0,ride_hailing_mode_share,10,0.060678,0.013441,0.060436,0.043478,0.082725
C2_elder_limited,W0,mean_total_travel_time,10,62.4785,1.543541,63.001,60.247,65.158
C2_elder_limited,W0,mean_road_speed_kmh,10,17.3981,0.302263,17.3385,17.049,18.002
C2_elder_limited,W0,total_outdoor_exposure_minutes,10,7359.9231,123.104621,7332.759,7149.564,7551.486
C2_elder_limited,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W1,coupon_reached,10,45.4,2.065591,45.0,43.0,49.0
C2_elder_limited,W1,coupon_participated,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W1,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C2_elder_limited,W1,coupon_redeemed,10,1.6,0.516398,2.0,1.0,2.0
C2_elder_limited,W1,coupon_induced_requests,10,0.7,0.823273,0.5,0.0,2.0
C2_elder_limited,W1,coupon_subsidy_yuan,10,6.767,2.144518,6.65,2.92,9.89
C2_elder_limited,W1,ride_hailing_requests,10,27.5,6.835366,26.5,19.0,39.0
C2_elder_limited,W1,successful_ride_hailing_requests,10,27.5,6.835366,26.5,19.0,39.0
C2_elder_limited,W1,ride_hailing_failed,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W1,mean_ride_hailing_wait_minutes_per_request,10,10.656258,0.391804,10.604784,10.010292,11.21924
C2_elder_limited,W1,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W1,fallback_succeeded,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W1,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W1,mandatory_activity_incomplete,10,3.3,1.946507,3.0,1.0,8.0
C2_elder_limited,W1,activity_completion_rate,10,0.957545,0.015296,0.95884,0.92891,0.976415
C2_elder_limited,W1,necessary_activity_completion_rate,10,0.977543,0.01315,0.979655,0.945946,0.993197
C2_elder_limited,W1,walking_mode_share,10,0.013176,0.007719,0.01053,0.005236,0.028351
C2_elder_limited,W1,bus_mode_share,10,0.555518,0.026194,0.550709,0.52356,0.611253
C2_elder_limited,W1,metro_mode_share,10,0.360346,0.027878,0.365232,0.315271,0.408377
C2_elder_limited,W1,ride_hailing_mode_share,10,0.07096,0.016567,0.067684,0.048593,0.096059
C2_elder_limited,W1,mean_total_travel_time,10,62.5068,1.678388,62.659,60.334,65.264
C2_elder_limited,W1,mean_road_speed_kmh,10,17.6139,0.372229,17.6005,17.119,18.276
C2_elder_limited,W1,total_outdoor_exposure_minutes,10,7170.0781,184.171888,7145.5535,6920.213,7414.582
C2_elder_limited,W1,total_heat_risk_burden,10,56833.849881,2464.475359,56158.083604,53107.959286,60975.098833
C2_elder_limited,W2,coupon_reached,10,45.4,2.065591,45.0,43.0,49.0
C2_elder_limited,W2,coupon_participated,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W2,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C2_elder_limited,W2,coupon_redeemed,10,1.3,0.823273,1.5,0.0,2.0
C2_elder_limited,W2,coupon_induced_requests,10,1.0,0.942809,1.0,0.0,2.0
C2_elder_limited,W2,coupon_subsidy_yuan,10,5.987,3.952771,6.675,0.0,11.31
C2_elder_limited,W2,ride_hailing_requests,10,57.4,7.366591,55.5,49.0,71.0
C2_elder_limited,W2,successful_ride_hailing_requests,10,56.2,6.579429,54.5,49.0,69.0
C2_elder_limited,W2,ride_hailing_failed,10,1.2,1.316561,1.0,0.0,4.0
C2_elder_limited,W2,mean_ride_hailing_wait_minutes_per_request,10,11.409399,0.55197,11.382062,10.496544,12.16702
C2_elder_limited,W2,fallback_attempts,10,1.2,1.316561,1.0,0.0,4.0
C2_elder_limited,W2,fallback_succeeded,10,1.1,1.286684,1.0,0.0,4.0
C2_elder_limited,W2,transport_unmet,10,0.1,0.316228,0.0,0.0,1.0
C2_elder_limited,W2,mandatory_activity_incomplete,10,4.7,2.406011,3.5,2.0,8.0
C2_elder_limited,W2,activity_completion_rate,10,0.93425,0.019769,0.933164,0.909953,0.968889
C2_elder_limited,W2,necessary_activity_completion_rate,10,0.968055,0.016243,0.97605,0.944828,0.986207
C2_elder_limited,W2,walking_mode_share,10,0.006701,0.003406,0.005451,0.0,0.011019
C2_elder_limited,W2,bus_mode_share,10,0.390463,0.015167,0.385795,0.365854,0.415584
C2_elder_limited,W2,metro_mode_share,10,0.452413,0.02575,0.455035,0.41206,0.501355
C2_elder_limited,W2,ride_hailing_mode_share,10,0.150422,0.014475,0.144679,0.132791,0.173554
C2_elder_limited,W2,mean_total_travel_time,10,64.5617,1.868037,64.391,62.067,68.315
C2_elder_limited,W2,mean_road_speed_kmh,10,17.2218,0.343358,17.093,16.847,17.958
C2_elder_limited,W2,total_outdoor_exposure_minutes,10,7533.0052,233.810461,7530.537,7112.55,7918.31
C2_elder_limited,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C3_mixed,W0,coupon_reached,10,195.6,2.065591,195.5,193.0,198.0
C3_mixed,W0,coupon_participated,10,128.6,4.526465,129.0,122.0,137.0
C3_mixed,W0,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C3_mixed,W0,coupon_redeemed,10,6.3,2.162817,6.5,3.0,10.0
C3_mixed,W0,coupon_induced_requests,10,4.0,2.403701,4.0,1.0,9.0
C3_mixed,W0,coupon_subsidy_yuan,10,43.743,14.006523,47.36,22.22,61.51
C3_mixed,W0,ride_hailing_requests,10,27.5,6.059886,26.5,21.0,41.0
C3_mixed,W0,successful_ride_hailing_requests,10,27.3,5.888784,26.5,21.0,41.0
C3_mixed,W0,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
C3_mixed,W0,mean_ride_hailing_wait_minutes_per_request,10,10.710783,0.531451,10.675487,9.756091,11.615783
C3_mixed,W0,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
C3_mixed,W0,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
C3_mixed,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C3_mixed,W0,mandatory_activity_incomplete,10,3.3,1.636392,3.0,1.0,7.0
C3_mixed,W0,activity_completion_rate,10,0.981805,0.007948,0.983662,0.962085,0.991111
C3_mixed,W0,necessary_activity_completion_rate,10,0.977529,0.01107,0.97931,0.952703,0.993197
C3_mixed,W0,walking_mode_share,10,0.013682,0.006914,0.01031,0.007595,0.028133
C3_mixed,W0,bus_mode_share,10,0.563735,0.019781,0.566752,0.531969,0.604534
C3_mixed,W0,metro_mode_share,10,0.353582,0.025646,0.353839,0.311436,0.401535
C3_mixed,W0,ride_hailing_mode_share,10,0.069,0.013763,0.067911,0.053846,0.099757
C3_mixed,W0,mean_total_travel_time,10,62.2334,1.576838,62.6175,60.122,65.073
C3_mixed,W0,mean_road_speed_kmh,10,17.5693,0.325978,17.4435,17.249,18.33
C3_mixed,W0,total_outdoor_exposure_minutes,10,7332.6259,128.567262,7316.0615,7092.661,7495.592
C3_mixed,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C3_mixed,W1,coupon_reached,10,195.6,2.065591,195.5,193.0,198.0
C3_mixed,W1,coupon_participated,10,128.6,4.526465,129.0,122.0,137.0
C3_mixed,W1,coupon_awarded,10,40.0,0.0,40.0,40.0,40.0
C3_mixed,W1,coupon_redeemed,10,7.0,2.309401,7.5,3.0,10.0
C3_mixed,W1,coupon_induced_requests,10,4.1,1.72884,4.5,2.0,6.0
C3_mixed,W1,coupon_subsidy_yuan,10,46.853,14.953947,53.235,22.22,62.67
C3_mixed,W1,ride_hailing_requests,10,30.9,6.854844,28.5,23.0,45.0
C3_mixed,W1,successful_ride_hailing_requests,10,30.7,6.650814,28.5,23.0,45.0
C3_mixed,W1,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
C3_mixed,W1,mean_ride_hailing_wait_minutes_per_request,10,10.579932,0.417926,10.524411,9.814321,11.24652
C3_mixed,W1,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
C3_mixed,W1,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
